id	CAS	smiles	status	exp
136	2425-06-1	O=C1N(C(=O)C2CC=CCC12)SC(C(Cl)Cl)(Cl)Cl	Test	1
137	24307-26-4	C[N+]1(C)(CCCCC1)	Training	0
138	25057-89-0	O=C1c2ccccc2(NS(=O)(=O)N1C(C)C)	Training	0
139	25606-41-1	O=C(OCCC)NCCCN(C)C	Training	0
140	2593-15-9	n1c(nsc1OCC)C(Cl)(Cl)Cl	Test	0
141	26225-79-6	O=S(=O)(Oc1ccc2OC(OCC)C(c2(c1))(C)C)C	Test	0
142	2675-77-6	O(c1cc(c(OC)cc1Cl)Cl)C	Training	0
143	27314-13-2	O=C1C(=C(C=NN1c2cccc(c2)C(F)(F)F)NC)Cl	Training	0
144	28249-77-6	O=C(N(CC)CC)SCc1ccc(cc1)Cl	Training	0
145	28434-00-6	O=C(OC1C(=C(C(=O)C1)CC=C)C)C2C(C=C(C)C)C2(C)(C)	Test	0
146	29091-21-2	O=[N+]([O-])c1cc(c(N)c(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F	Training	0
147	29232-93-7	n1c(OP(OC)(OC)=S)cc(nc1N(CC)CC)C	Test	1
148	2971-36-0	Oc1ccc(cc1)C(c2ccc(O)cc2)C(Cl)(Cl)Cl	Training	1
149	298-00-0	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1	Test	1
150	298-04-4	O(CC)P(OCC)(=S)SCCSCC	Training	0
151	300-76-5	O=P(OC)(OC)OC(C(Cl)(Cl)Br)Br	Training	0
152	30560-19-1	O=C(NP(=O)(OC)SC)C	Training	0
153	31218-83-4	O=C(OC(C)C)C=C(OP(OC)(NCC)=S)C	Training	0
154	314-40-9	O=C1NC(=C(C(=O)N1C(C)CC)Br)C	Test	0
155	330-54-1	O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C	Training	0
156	330-55-2	O=C(Nc1ccc(c(c1)Cl)Cl)N(OC)C	Training	0
157	33089-61-1	N(=CN(C=Nc1ccc(cc1C)C)C)c2ccc(cc2C)C	Test	1
158	333-41-5	n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C	Training	0
159	3337-71-1	O=C(OC)NS(=O)(=O)c1ccc(N)cc1	Test	0
160	335-67-1	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Test	0
161	33629-47-9	O=[N+]([O-])c1cc(cc(c1(NC(C)CC))[N+](=O)[O-])C(C)(C)C	Test	0
162	3380-34-5	Oc2cc(ccc2(Oc1ccc(cc1Cl)Cl))Cl	Training	1
163	34014-18-1	O=C(NC)N(c1nnc(C(C)(C)C)s1)C	Training	0
164	34256-82-1	O=C(N(c1c(cccc1CC)C)COCC)CCl	Training	1
165	35554-44-0	n1ccn(c1)CC(OCC=C)c2ccc(cc2Cl)Cl	Test	0
166	35575-96-3	O=C2Oc1cc(cnc1N2CSP(=O)(OC)OC)Cl	Training	1
167	361377-29-9	Fc2c(ncnc2(Oc1ccccc1Cl))Oc4ccccc4(C(=NOC)C3=NOCCO3)	Training	0
168	36734-19-7	O=C(NC(C)C)N2C(=O)N(c1cc(cc(c1)Cl)Cl)C(=O)C2	Training	0
169	39515-41-8	N#CC(OC(=O)C1C(C)(C)C1(C)(C))c3cccc(Oc2ccccc2)c3	Test	0
170	40487-42-1	O=[N+]([O-])c1cc(c(c(c1(NC(CC)CC))[N+](=O)[O-])C)C	Training	0
171	41198-08-7	O=P(Oc1ccc(cc1Cl)Br)(OCC)SCCC	Training	0
173	42509-80-8	n1c(nn(c1Cl)C(C)C)OP(OCC)(OCC)=S	Test	0
174	42874-03-3	O=[N+]([O-])c2ccc(Oc1ccc(cc1Cl)C(F)(F)F)cc2(OCC)	Test	0
175	43121-43-3	O=C(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C	Training	0
177	4376-18-5	O=C(O)c1ccccc1(C(=O)OC)	Training	0
178	4376-20-9	O=C(O)c1ccccc1(C(=O)OCC(CC)CCCC)	Test	0
179	50-65-7	O=C(Nc1ccc(cc1Cl)[N+](=O)[O-])c2cc(ccc2(O))Cl	Training	1
180	50471-44-8	O=C1OC(C=C)(C(=O)N1c2cc(cc(c2)Cl)Cl)C	Test	0
181	50594-66-6	O=C(O)c2cc(Oc1ccc(cc1Cl)C(F)(F)F)ccc2[N+](=O)[O-]	Training	0
182	51-03-6	O1c2cc(c(cc2(OC1))CCC)COCCOCCOCCCC	Test	0
183	51218-45-2	O=C(N(c1c(cccc1CC)C)C(C)COC)CCl	Test	1
184	51235-04-2	O=C1N=C(N(C(=O)N1C2CCCCC2)C)N(C)C	Training	0
185	51338-27-3	O=C(OC)C(Oc2ccc(Oc1ccc(cc1Cl)Cl)cc2)C	Training	0
186	51707-55-2	O=C(Nc1ccccc1)Nc2cnns2	Training	1
187	52-68-6	O=P(OC)(OC)C(O)C(Cl)(Cl)Cl	Training	0
188	52315-07-8	N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	0
189	5234-68-4	O=C(Nc1ccccc1)C2=C(OCCS2)C	Test	0
190	52645-53-1	O=C(OCc2cccc(Oc1ccccc1)c2)C3C(C=C(Cl)Cl)C3(C)(C)	Test	0
191	53112-28-0	n1c(nc(cc1C)C)Nc2ccccc2	Training	0
192	533-74-4	C1(N(C)CN(C)CS1)(=S)	Test	0
