Id	CAS	SMILES	Set	Log SF
122	60-11-7	N(=Nc1ccc(cc1)N(C)C)c2ccccc2	Test	0.66
123	95-68-1	Nc1ccc(cc1C)C	Training	-0.7
124	57-97-6	c1ccc2c(c1)ccc4c2c(c3ccccc3c4C)C	Training	2.4
125	119-93-7	Nc1ccc(cc1C)c2ccc(N)c(c2)C	Training	1.04
126	79-44-7	O=C(N(C)C)Cl	Training	1.11
127	57-14-7	NN(C)C	Training	0.48
128	540-73-8	N(NC)C	Training	2.74
129	513-37-1	C(=C(C)C)Cl	Training	-1.35
130	42397-64-8	O=[N+]([O-])c3ccc1ccc4c2c(ccc3(c12))ccc4[N+](=O)[O-]	Training	2.08
131	42397-65-9	O=[N+]([O-])c4ccc1ccc2ccc(c3ccc4(c1c23))[N+](=O)[O-]	Test	1.08
132	121-14-2	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C	Test	-0.51
133	606-20-2	O=[N+]([O-])c1cccc(c1C)[N+](=O)[O-]	Training	0.18
134	123-91-1	O1CCOCC1	Test	-1
135	122-66-7	c1ccc(cc1)NNc2ccccc2	Training	-0.1
136	1937-37-7	O=C5C(=NNc1ccccc1)C(=Cc6cc(c(N=Nc2ccc(cc2)c4ccc(N=Nc3ccc(N)cc3(N))cc4)c(N)c56)S(=O)(=O)O)S(=O)(=O)O	Training	0.85
137	2602-46-2	O=C5C(=NNc1ccc(cc1)c2ccc(cc2)NN=C3C(=O)c4c(N)cc(cc4(C=C3S(=O)(=O)O))S(=O)(=O)O)C(=Cc6cc(cc(N)c56)S(=O)(=O)O)S(=O)(=O)O	Training	0.87
138	16071-86-6	O=C(O)c5cc(N=Nc1ccc(cc1)c2ccc(cc2)NN=C4C(=O)C=CC(=NNc3cc(ccc3(O))S(=O)(=O)O)C4(=O))ccc5(O)	Training	0.83
139	2475-45-8	O=C1c3c(N)ccc(N)c3(C(=O)c2c(N)ccc(N)c12)	Training	-2.35
140	106-89-8	O1CC1CCl	Training	-2
141	50-28-2	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	Training	1.59
142	140-88-5	O=C(OCC)C=C	Training	-1.32
143	100-41-4	c1ccc(cc1)CC	Test	-1.96
144	75-21-8	O1CC1	Training	-0.51
145	96-45-7	N1C(NCC1)=S	Training	-1.35
146	151-56-4	N1CC1	Training	1.81
147	133-07-3	O=C1c2ccccc2(C(=O)N1SC(Cl)(Cl)Cl)	Training	-2.46
148	72178-02-0	O=C(NS(=O)(=O)C)c2cc(Oc1ccc(cc1Cl)C(F)(F)F)ccc2[N+](=O)[O-]	Training	-0.72
149	67-45-8	O=C2OCCN2(N=Cc1oc(cc1)[N+](=O)[O-])	Test	0.58
150	531-82-8	O=C(Nc1nc(cs1)c2oc(cc2)[N+](=O)[O-])C	Training	0.18
151	60568-05-0	O=C(c1cc(oc1C)C)N(OC)C2CCCCC2	Training	-1.52
152	67730-11-4	n1c(N)ccc2nc3c(cccn3(c12))C	Test	0.68
153	67730-10-3	n2c(N)ccc3nc1ccccn1c23	Test	0.15
154	16568-02-8	O=CN(N=CC)C	Training	1
155	2784-94-3	O=[N+]([O-])c1cc(ccc1(NC))N(CCO)CCO	Training	-1.29
156	35822-46-9	O1c3cc(c(c(c3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl)Cl)Cl	Training	3.11
157	76-44-8	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Test	0.65
158	1024-57-3	O1C2C1C(C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	0.96
159	35065-30-6	c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	1.11
160	35065-29-3	c2c(c1cc(c(c(c1Cl)Cl)Cl)Cl)c(cc(c2Cl)Cl)Cl	Training	0.11
161	39635-31-9	c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl	Test	0.59
162	67562-39-4	o2c1c(cc(c(c1Cl)Cl)Cl)c3c2c(c(c(c3Cl)Cl)Cl)Cl	Training	3.11
163	118-74-1	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	Test	0.2
164	38380-08-4	c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl	Training	0.59
165	69782-90-7	c1cc(c(c(c1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl)Cl	Training	0.59
166	52663-72-6	c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(cc2Cl)Cl)Cl	Training	0.59
168	87-68-3	C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl	Test	-1.11
169	319-84-6	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	0.8
170	70648-26-9	o2c1cc(c(cc1c3c2c(c(c(c3Cl)Cl)Cl)Cl)Cl)Cl	Training	4.11
171	39227-28-6	O1c3cc(c(cc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl)Cl	Training	4.11
172	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Test	-1.4
173	121-82-4	O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1	Test	-0.96
174	55673-89-7	o2c1cc(c(c(c1c3c2c(c(c(c3Cl)Cl)Cl)Cl)Cl)Cl)Cl	Test	3.11
175	57653-85-7	O1c3cc(c(c(c3(Oc2cc(c(c(c12)Cl)Cl)Cl))Cl)Cl)Cl	Training	4.11
176	19408-74-3	O1c3cc(c(c(c3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl)Cl)Cl	Test	4.11
177	57117-44-9	o2c1cc(c(c(c1c3cc(c(c(c23)Cl)Cl)Cl)Cl)Cl)Cl	Test	4.11
178	72918-21-9	o2c1cc(c(c(c1c3c2cc(c(c3Cl)Cl)Cl)Cl)Cl)Cl	Test	4.11
179	60851-34-5	o2c1c(cc(c(c1Cl)Cl)Cl)c3cc(c(c(c23)Cl)Cl)Cl	Training	4.11
180	55684-94-1	o2c1ccc(c(c1c3c2c(c(c(c3Cl)Cl)Cl)Cl)Cl)Cl	Training	4.11
181	123-31-9	Oc1ccc(O)cc1	Training	-1.22
