35	35	14	2	0
0.28704	-0.07458	0.62876	-0.03132	0.21502	0.26269	0.26448	0.85083	4.13444	-0.13914	-0.17835	3.15573	0.34146	0.65854	66	32	32	32	32
0.31631	-0.03914	0.36592	-0.05852	0.14821	0.17087	0.13443	0.76036	3.13132	-0.13914	-0.17835	2.36324	0.69673	0.30327	32	32	32	32	32
0.43823	0.07197	0.21709	0.09935	0.21791	0.16784	0.15310	0.77100	2.60788	-0.13914	-0.17835	1.94971	0.96601	0.03399	65	32	32	32	32
0.53888	0.22855	-0.02448	0.28994	0.22253	0.23060	0.39514	0.69497	2.54278	-0.13914	-0.17835	1.90266	0.99929	0.00071	65	32	32	32	32
0.45673	0.10056	0.00157	0.14188	0.21587	0.03229	0.14078	0.74620	2.31432	-0.13914	-0.17835	1.93201	0.98803	0.01197	32	32	32	32	32
0.31312	0.18257	-0.27504	0.01205	0.08600	-0.49984	-0.19905	0.46345	0.83898	-0.13914	-0.17835	2.45409	0.97712	0.02288	32	32	32	32	32
0.28606	0.36872	-0.51787	0.02954	0.12059	-0.82140	-0.24648	0.15522	-0.26915	-0.13914	-0.17835	3.47799	0.97984	0.02016	32	32	32	32	32
0.29440	0.51478	-0.61731	0.19417	0.21209	-0.82147	-0.11684	-0.05978	-0.36118	-0.13901	-0.17835	4.04262	0.99714	0.00286	65	32	32	32	32
0.23168	0.09818	-0.27038	-0.46481	-0.07930	-1.10163	-0.40013	0.28622	-0.36118	-0.11734	-0.17835	3.99676	0.98375	0.01625	65	32	32	32	32
0.15621	0.04906	-0.25167	-0.32656	0.06126	-0.66797	-0.21303	0.62178	-0.36118	1.00640	-0.17835	3.58194	0.78598	0.21402	32	32	32	32	32
0.16992	0.17617	-0.37719	0.31035	0.52265	0.25995	0.27569	0.68223	-0.36118	5.04818	-0.17835	2.88868	0.20672	0.79328	66	32	32	32	32
0.23235	0.22083	-0.56679	0.58900	0.72208	0.70603	0.44183	0.56596	-0.36118	7.89589	-0.17835	1.66323	0.03167	0.96833	32	32	32	32	32
0.35576	0.25056	-0.70615	0.68551	0.78476	0.88095	0.48989	0.55605	-0.36118	10.05364	-0.17835	0.36893	0.02747	0.97253	66	32	32	32	32
