ID	CAS	SMILES	STATUS	EXP_VALUE
89	N.A.	CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)C5CC5C4(C)C3CCC21C	TRAINING	1
90	N.A.	CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)CCC4(C)C3CCC21C	TRAINING	1
91	N.A.	CC(=O)OC1(C(C)=O)CCC2C3CC(C)=C4CC(=O)CCC4(C)C3CCC21C	TRAINING	0
92	N.A.	CC(=O)OC1=C(C(CCC=C(C)C)C(=O)O)C2CC(O)C3C4(C)CCC(O)C(C)C4CCC3(C)C2(C)C1	TRAINING	1
93	N.A.	CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1N1CCCCC1	TRAINING	0
94	N.A.	CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1	TRAINING	0
95	N.A.	CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(c4cccnc4)=CCC32)C1	TRAINING	1
96	N.A.	CC(=O)OC1Cc2ccccc2N(C(N)=O)c2ccccc21	TRAINING	1
97	N.A.	CC(=O)OC=C1CSC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O	TRAINING	0
98	N.A.	CC(=O)OC=C1CSC2C(NC(=O)CSc3ccncc3)C(=O)N2C1C(=O)O	TRAINING	0
99	N.A.	CC(=O)OCC(=O)C1(O)C(C)CC2C3CC(F)=C4CC(=O)C=CC4(C)C3C(O)CC21C	TRAINING	1
100	N.A.	CC(=O)OCC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C	TRAINING	1
101	N.A.	CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C	TRAINING	0
102	N.A.	CC(=O)OCC(=O)C1(O)CCC2C3CC(C)=C4CC(=O)C=CC4(C)C3C(O)CC21C	TRAINING	1
103	N.A.	CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C	TRAINING	1
104	N.A.	CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3(F)C(O)CC21C	TRAINING	0
105	N.A.	CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(=O)CC21C	TRAINING	0
106	N.A.	CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C	TRAINING	1
107	N.A.	CC(=O)OCC(=O)C1(OC(C)=O)C(C)CC2C3CC(F)=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C	TRAINING	0
108	N.A.	CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)=C4CC(=O)C=CC4(C)C3(F)C(O)CC12C	TRAINING	0
109	N.A.	CC(=O)OCC(=O)C12OC3(CCCC3)OC1CC1C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC12C	TRAINING	0
110	N.A.	CC(=O)OCC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C	TRAINING	0
111	N.A.	CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1	TRAINING	1
112	N.A.	CC(=O)OCC(COC(C)=O)OC(C)=O	TRAINING	0
113	N.A.	CC(=O)OCC1OC(n2ncc(=O)[nH]c2=O)C(OC(C)=O)C1OC(C)=O	TRAINING	0
114	N.A.	CC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	TRAINING	0
115	N.A.	CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1	TRAINING	0
116	N.A.	CC(=O)OCC[N+](C)(C)C	TRAINING	0
117	N.A.	CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C	TRAINING	0
118	N.A.	CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1	TRAINING	1
119	N.A.	CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12	TRAINING	1
120	N.A.	CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341	TRAINING	0
121	N.A.	CC(=O)Oc1cccc(C)c1	TRAINING	0
122	N.A.	CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O	TRAINING	1
123	N.A.	CC(=O)SC1C=C2CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12	TRAINING	1
124	N.A.	CC(=O)SCC(C)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O	TRAINING	1
125	N.A.	CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1	TRAINING	1
126	N.A.	CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)C12C	TRAINING	1
127	N.A.	CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1	TRAINING	1
128	N.A.	CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2	TRAINING	1
129	N.A.	CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2	TRAINING	1
130	N.A.	CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1	TRAINING	1
131	N.A.	CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1	TRAINING	1
132	N.A.	CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1	TRAINING	1
133	N.A.	CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2	TRAINING	1
134	N.A.	CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2	TRAINING	1
135	N.A.	CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12	TRAINING	1
136	N.A.	CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1	TRAINING	1
137	N.A.	CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1	TRAINING	1
138	N.A.	CC(C(O)c1ccccc1)N(C)CC=Cc1ccccc1	TRAINING	0
139	N.A.	CC(C)(C(=O)O)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1	TRAINING	1
140	N.A.	CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1(C)C	TRAINING	0
141	N.A.	CC(C)(C)C(=O)Oc1ccc(S(=O)(=O)Nc2ccccc2C(=O)NCC(=O)O)cc1	TRAINING	0
142	N.A.	CC(C)(C)C(O)C=Cc1ccc2c(c1)OCO2	TRAINING	0
143	N.A.	CC(C)(C)CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C	TRAINING	1
144	N.A.	CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1	TRAINING	1
145	N.A.	CC(C)(C)NCC(O)COc1cccc2c1CCCC2=O	TRAINING	0
146	N.A.	CC(C)(C)NCC(O)CSc1nc(-c2ccc(C(N)=O)s2)cs1	TRAINING	0
147	N.A.	CC(C)(C)NCC(O)c1ccc(O)c(CO)n1	TRAINING	0
148	N.A.	CC(C)(C)NCC(O)c1ccccc1Cl	TRAINING	0
149	N.A.	CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1	TRAINING	1
150	N.A.	CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1	TRAINING	0
151	N.A.	CC(C)(CO)C(=O)C(O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)C(O)C(C)(C)CO	TRAINING	0
152	N.A.	CC(C)(CO)C(=O)C(O)NCCCC(=O)O	TRAINING	1
153	N.A.	CC(C)(N)Cc1ccc(Cl)cc1	TRAINING	0
154	N.A.	CC(C)(N)Cc1ccccc1Cl	TRAINING	0
155	N.A.	CC(C)(O)C#N	TRAINING	1
156	N.A.	CC(C)(O)C(Cl)(Cl)Cl	TRAINING	0
157	N.A.	CC(C)(O)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C	TRAINING	0
158	N.A.	CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O	TRAINING	1
159	N.A.	CC(C)(Oc1ccc(Cl)cc1)C(=O)OCCCOC(=O)C(C)(C)Oc1ccc(Cl)cc1	TRAINING	1
160	N.A.	CC(C)(S)C(=O)NC(CS)C(=O)O	TRAINING	1
161	N.A.	CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C	TRAINING	0
162	N.A.	CC(C)=CCOc1ccc(C=CC(=O)c2ccc(OCC=C(C)C)cc2OCC(=O)O)cc1	TRAINING	1
163	N.A.	CC(C)=CCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O	TRAINING	1
164	N.A.	CC(C)=O	TRAINING	0
165	N.A.	CC(C)C(=O)OCC(=O)C12OC(C3CCCCC3)OC1CC1C3CC=C4CC(=O)C=CC4(C)C3C(O)CC12C	TRAINING	0
166	N.A.	CC(C)C(=O)c1c(C(C)C)nn2ccccc12	TRAINING	1
167	N.A.	CC(C)C(Br)C(=O)NC(N)=O	TRAINING	1
168	N.A.	CC(C)C(N)C(=O)O	TRAINING	0
169	N.A.	CC(C)C(N)C(=O)OCCOCn1cnc2c(=O)[nH]c(=N)[nH]c21	TRAINING	1
170	N.A.	CC(C)CC(N)C(=O)O	TRAINING	0
171	N.A.	CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1	TRAINING	0
