Id	CAS	SMILES	Set	Log SF
147	19408-74-3	O1c3cc(c(c(c3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl)Cl)Cl	Training	4.12
148	57117-44-9	o2c1cc(c(c(c1c3cc(c(c(c23)Cl)Cl)Cl)Cl)Cl)Cl	Training	4.12
149	72918-21-9	o2c1cc(c(c(c1c3c2cc(c(c3Cl)Cl)Cl)Cl)Cl)Cl	Training	4.12
150	60851-34-5	o2c1c(cc(c(c1Cl)Cl)Cl)c3cc(c(c(c23)Cl)Cl)Cl	Training	4.12
151	55684-94-1	o2c1ccc(c(c1c3c2c(c(c(c3Cl)Cl)Cl)Cl)Cl)Cl	Test	4.12
152	76180-96-6	n1cccc3c1ccc2c3(nc(N)n2C)	Training	0.15
153	555-84-0	O=C2NCCN2(N=Cc1oc(cc1)[N+](=O)O)	Test	0.25
154	193-39-5	c1ccc2c(c1)c3ccc4ccc5cccc6cc2c3c4c56	Test	-0.41
155	303-34-4	O=C(OC2CCN1CC=C(COC(=O)C(O)(C(OC)C)C(O)(C)C)C12)C(=CC)C	Training	0.89
156	68006-83-7	n1c(N)c(cc3c1[nH]c2ccccc23)C	Test	0.08
157	3223-07-2	O=C(O)C(N)Cc1ccc(cc1)N(CCCl)CCCl	Training	2.11
158	99-59-2	O=[N+](O)c1ccc(OC)c(N)c1	Training	-1.31
159	60-34-4	NNC	Training	0.54
160	66-27-3	O=S(=O)(OC)C	Training	-1.01
161	1634-04-4	O(C)C(C)(C)C	Training	-3.04
162	129-15-7	O=C2c3ccccc3(C(=O)c1c2(ccc(c1[N+](=O)O)C))	Training	0.62
163	70-25-7	O=NN(C(=N[N+](=O)O)N)C	Training	0.92
164	82-28-0	O=C1c3ccccc3(C(=O)c2c(N)c(ccc12)C)	Training	-0.82
165	56-49-5	c1ccc5c(c1)ccc3c5(cc2ccc(c4c2c3CC4)C)	Test	1.34
166	3697-24-3	c1ccc2c(c1)ccc3c4ccccc4(cc(c23)C)	Training	0.59
167	75-09-2	C(Cl)Cl	Training	-4.46
168	838-88-0	Nc1ccc(cc1C)Cc2ccc(N)c(c2)C	Training	-0.04
169	101-14-4	Nc1ccc(cc1Cl)Cc2ccc(N)c(c2)Cl	Training	0.18
170	101-61-1	c1cc(ccc1N(C)C)Cc2ccc(cc2)N(C)C	Training	-1.34
171	101-77-9	Nc1ccc(cc1)Cc2ccc(N)cc2	Training	0.21
172	56-04-2	O=C1C=C(NC(N1)=S)C	Training	-0.41
173	90-94-8	O=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	-0.06
174	2385-85-5	C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	1.25
175	50-07-7	O=C(OCC4C=1C(=O)C(N)=C(C(=O)C=1N3CC2NC2C34(OC))C)N	Training	3.91
176	315-22-0	O=C1OC3CCN2CC=C(COC(=O)C(O)(C)C(O)(C)C1C)C23	Training	1.01
177	91-20-3	c1ccc2ccccc2(c1)	Training	-0.92
178	139-13-9	O=C(O)CN(CC(=O)O)CC(=O)O	Training	-2.28
179	602-87-9	O=[N+](O)c3ccc2c1c3(cccc1CC2)	Training	-0.89
180	98-95-3	O=[N+](O)c1ccccc1	Training	-0.85
181	7496-02-8	O=[N+](O)c2cc3c4ccccc4(ccc3(c1ccccc12))	Training	1.59
182	1836-75-5	O=[N+](O)c2ccc(Oc1ccc(cc1Cl)Cl)cc2	Training	-1.09
183	607-57-8	O=[N+](O)c2ccc3c1ccccc1Cc3(c2)	Training	-1.41
184	59-87-0	O=C(N)NN=Cc1oc(cc1)[N+](=O)O	Training	0.11
185	75-52-5	O=[N+](O)C	Training	-1.51
186	79-46-9	O=[N+](O)C(C)C	Training	0.98
187	5522-43-0	O=[N+](O)c4ccc1ccc2cccc3ccc4(c1c23)	Training	-0.41
188	57835-92-4	O=[N+](O)c4cc3cccc2ccc1cccc4(c1c23)	Training	-0.41
189	759-73-9	O=NN(C(=O)N)CC	Training	1.43
190	684-93-5	O=NN(C(=O)N)C	Training	2.08
191	615-53-2	O=NN(C(=O)OCC)C	Training	2.04
192	924-16-3	O=NN(CCCC)CCCC	Training	0.75
193	621-64-7	O=NN(CCC)CCC	Training	0.85
194	1116-54-7	O=NN(CCO)CCO	Training	0.45
195	55-18-5	O=NN(CC)CC	Training	2.18
196	62-75-9	O=NN(C)C	Training	1.69
197	86-30-6	O=NN(c1ccccc1)c2ccccc2	Training	-2.04
198	156-10-5	O=Nc1ccc(cc1)Nc2ccccc2	Training	-1.66
199	10595-95-6	O=NN(C)CC	Training	1.34
200	59-89-2	O=NN1CCOCC1	Training	0.82
201	16543-55-8	O=NN2CCCC2(c1cnccc1)	Training	0.15
202	100-75-4	O=NN1CCCCC1	Training	0.98
203	930-55-2	O=NN1CCCC1	Training	0.33
204	3268-87-9	O1c3c(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl	Training	1.60
205	39001-02-0	o1c3c(c2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl	Training	1.60
206	55738-54-0	O=[N+](O)c2oc(C=Cc1nnc(N=CN(C)C)o1)cc2	Training	-0.34
207	36088-22-9	O1c3cccc(c3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl	Training	5.12
208	57117-41-6	o2c1cc(c(cc1c3c2cc(c(c3Cl)Cl)Cl)Cl)Cl	Training	3.60
