Id	CAS	SMILES	Set	Exp Log mmol/L
76	10222-01-2	N#CC(C(=O)N)(Br)Br	Test	-2.441
77	131341-86-1	N#Cc1c[nH]cc1c3cccc2OC(F)(F)Oc23	Test	-2.528
78	122453-73-0	N#Cc2c(c1ccc(cc1)Cl)n(c(c2Br)C(F)(F)F)COCC	Training	-4.718
79	35691-65-7	N#CCCC(C#N)(CBr)Br	Training	-2.081
80	420-04-2	N#CN	Training	-1.118
81	6317-18-6	N#CSCSC#N	Test	-3.326
82	21564-17-0	N#CSCSc2nc1ccccc1s2	Training	-3.895
83	66215-27-8	n1c(nc(nc1N)NC2CC2)N	Training	-1.191
84	886-50-0	n1c(nc(nc1NC(C)(C)C)SC)NCC	Training	-1.814
85	95737-68-1	n1ccccc1OC(C)COc3ccc(Oc2ccccc2)cc3	Training	-2.905
86	60207-90-1	n1cnn(c1)CC2(OCC(O2)CCC)c3ccc(cc3Cl)Cl	Training	-1.671
87	148-79-8	n1cscc1c2nc3ccccc3([nH]2)	Training	-2.593
88	52-51-7	O=[N+]([O-])C(CO)(CO)Br	Training	-2.096
89	50-00-0	O=C	Training	-0.015
90	112-12-9	O=C(C)CCCCCCCCC	Training	-2.403
91	134-62-3	O=C(c1cccc(c1)C)N(CC)CC	Training	-0.408
92	86479-06-3	O=C(NC(=O)c1c(F)cccc1(F))Nc2cc(c(OC(F)(F)C(F)F)c(c2)Cl)Cl	Training	-6.603
93	34123-59-6	O=C(Nc1ccc(cc1)C(C)C)N(C)C	Training	-2.551
94	79-33-4	O=C(O)C(O)C	Training	0.921
95	110-44-1	O=C(O)C=CC=CC	Test	-0.205
96	65-85-0	O=C(O)c1ccccc1	Training	0.848
97	124-07-2	O=C(O)CCCCCCC	Training	-0.36
98	112-05-0	O=C(O)CCCCCCCC	Training	-0.217
99	143-07-7	O=C(O)CCCCCCCCCCC	Test	-1.746
100	79-14-1	O=C(O)CO	Training	-0.238
101	65733-16-6	O=C(OC(C)C)C=C(C=CCC(C)CCCC(OC)(C)C)C	Training	-2.936
102	22781-23-3	O=C(Oc1cccc2OC(Oc12)(C)C)NC	Training	-3.883
103	72490-01-8	O=C(OCC)NCCOc2ccc(Oc1ccccc1)cc2	Test	-2.845
104	72963-72-5	O=C(OCN1C(=O)N(CC#C)CC1(=O))C2C(C=C(C)C)C2(C)(C)	Test	-3.795
105	26530-20-1	O=C1C=CSN1CCCCCCCC	Training	-2.977
106	81-81-2	O=C1c3ccccc3(OC(O)=C1C(c2ccccc2)CC(=O)C)	Training	-0.48
107	28772-56-7	O=C1Oc5ccccc5(C(O)=C1C(c2ccccc2)CC(O)c3ccc(cc3)c4ccc(cc4)Br)	Test	-2.421
108	2527-66-4	O=C2c1ccccc1SN2C	Training	-2.254
109	4299-07-04	O=C2c1ccccc1SN2CCCC	Training	-3.33
110	83-79-4	O=C3c5ccc1OC(C(=C)C)Cc1c5(OC4COc2cc(OC)c(OC)cc2C34)	Training	-4.916
111	104-55-2	O=CC=Cc1ccccc1	Training	-1.273
112	111-30-8	O=CCCCC=O	Training	-1.061
113	64-18-6	O=CO	Training	0.517
114	731-27-1	O=S(=O)(N(c1ccc(cc1)C)SC(F)(Cl)Cl)N(C)C	Test	-3.261
115	1085-98-9	O=S(=O)(N(c1ccccc1)SC(F)(Cl)Cl)N(C)C	Test	-2.502
116	67564-91-4	O1C(C)CN(CC1C)CC(C)Cc2ccc(cc2)C(C)(C)C	Training	-2.112
117	75-21-8	O1CC1	Test	0.666
118	7747-35-5	O2CN1COCC1(C2)CC	Test	-0.533
119	67-63-0	OC(C)C	Training	2.225
120	94361-06-5	OC(c1ccc(cc1)Cl)(Cn2ncnc2)C(C)C3CC3	Test	-1.05
121	59-50-7	Oc1ccc(c(c1)C)Cl	Training	-1.853
122	120-32-1	Oc1ccc(cc1Cc2ccccc2)Cl	Test	-2.568
123	90-43-7	Oc1ccccc1c2ccccc2	Test	-1.903
124	106-24-1	OCC=C(C)CCC=C(C)C	Training	-0.981
125	100-51-6	OCc1ccccc1	Training	0.328
126	71-23-8	OCCC	Training	2.002
127	4719-04-04	OCCN1CN(CN(C1)CCO)CCO	Test	-0.924
128	7173-51-5	CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	Training	-4.303
129	122454-29-9	N#Cc1c([nH]c(c1Br)C(F)(F)F)c2ccc(cc2)Cl	Training	-5.365
130	120068-37-3	N#Cc1nn(c(N)c1S(=O)C(F)(F)F)c2c(cc(cc2Cl)C(F)(F)F)Cl	Training	-3.361
131	138261-41-3	O=[N+]([O-])N=C1NCCN1Cc2cnc(cc2)Cl	Training	-0.476
132	3691-35-8	O=C1c4ccccc4(C(=O)C1C(=O)C(c2ccccc2)c3ccc(cc3)Cl)	Training	-2.944
133	56073-07-5	O=C1Oc6ccccc6(C(O)=C1C5c2ccccc2CC(c3ccc(cc3)c4ccccc4)C5)	Training	-2.932
