id	CAS	SMILES	status	Exp -log10(mg/L)	LOO Prediction
186	000123-54-6	O=C(CC(=O)C)C	Training	-2.1697	-3.0284855265
187	001540-36-9	O=C(C)C(C(=O)C)CCCC	Training	-2.3200	-2.5304584125
188	000126-81-8	O=C(CC(CC1(=O))(C)C)C1	Training	-4.0548	-1.9714417513
189	000079-20-9	O=C(OC)C	Training	-2.5053	-2.0035310676
190	000141-78-6	O=C(OCC)C	Training	-2.5219	-2.0207264527
191	000109-60-4	O=C(OCCC)C	Training	-1.7769	-1.8544535555
192	000123-86-4	O=C(OCCCC)C	Training	-1.2528	-1.0336449659
193	000110-19-0	O=C(OCC(C)C)C	Training	-1.2282	-2.0190515389
194	000540-88-5	O=C(OC(C)(C)C)C	Training	-2.5123	-1.6838094229
195	000123-66-0	O=C(OCC)CCCCC	Training	-0.9466	-0.7846594884
196	000142-92-7	O=C(OCCCCCC)C	Training	-0.6386	-0.688260443
197	000515-84-4	O=C(OCC)C(Cl)(Cl)Cl	Training	-1.6427	-1.7863347067
198	000111-15-9	O=C(OCCOCC)C	Training	-1.6197	-2.7116638841
199	000706-14-9	O=C(OC(C1)CCCCCC)C1	Training	-1.2508	-0.9433518231
200	000105-53-4	O=C(OCC)CC(=O)OCC	Training	-1.3853	-1.0461696359
201	000141-28-6	O=C(OCC)CCCCC(=O)OCC	Training	-1.2538	-0.6422614002
202	000141-03-7	O=C(OCCCC)CCC(=O)OCCCC	Training	-0.6487	-0.4979715695
203	000105-99-7	O=C(OCCCC)CCCCC(=O)OCCCC	Training	-0.5595	-0.5299847607
204	000110-40-7	O=C(OCC)CCCCCCCCC(=O)OCC	Training	-0.4345	-0.9055000356
205	014064-10-9	O=C(OCC)C(C(=O)OCC)Cl	Training	0.0232	-1.4583901625
206	000095-08-9	O=C(OCCOCCOCCOC(=O)C(CC)CC)C(CC)CC	Training	-0.9709	-0.7146750968
207	000108-05-4	O=C(OC=C)C	Training	-0.3785	-1.3844568148
208	000096-33-3	O=C(OC)C=C	Training	-0.1445	-1.4904159384
209	000140-88-5	O=C(OCC)C=C	Training	-0.0773	-0.7410712817
210	000080-62-6	O=C(OC)C(=C)C	Training	-2.4467	-0.4392835624
211	004655-34-9	O=C(OC(C)C)C(=C)C	Training	-1.5777	-0.3581241819
212	000096-05-9	O=C(OCC=C)C(=C)C	Training	0.0084	-1.106649613
213	000141-32-2	O=C(OCCCC)C=C	Training	-0.3781	-0.6709924493
214	000106-63-8	O=C(OCC(C)C)C=C	Training	-0.3167	-0.5235101821
215	000097-88-1	O=C(OCCCC)C(=C)C	Training	-0.7460	-0.5912528626
216	002499-95-8	O=C(OCCCCCC)C=C	Training	-0.0415	-0.4039185221
217	000688-84-6	O=C(OCC(CCCC)CC)C(=C)C	Training	-0.4448	-0.3890046066
218	000352-87-4	O=C(OCC(F)(F)F)C(=C)C	Training	-0.9179	-1.0813307031
219	003066-71-5	O=C(OC(CCCC1)C1)C=C	Training	-0.1671	-0.5035628972
220	000818-61-1	O=C(OCCO)C=C	Training	-0.7476	-0.8295913585
221	000868-77-9	O=C(OCCO)C(=C)C	Training	-2.3546	-1.0458334727
222	000999-61-1	O=C(OCC(O)C)C=C	Training	-0.5326	-1.0247494524
223	002370-63-0	O=C(OCCOCC)C(=C)C	Training	-1.4402	-1.4681827493
224	000105-75-9	O=C(OCCCC)C=CC(=O)OCCCC	Training	0.3295	-0.4674133068
225	013048-33-4	O=C(OCCCCCCOC(=O)C=C)C=C	Training	0.4220	-0.3370415887
226	002867-47-2	O=C(OCCN(C)C)C(=C)C	Training	-1.2768	-1.1576429666
227	002439-35-2	O=C(OCCN(C)C)C=C	Training	-0.9276	-0.578486652
228	002455-24-5	O=C(OCC(OCC1)C1)C(=C)C	Training	-1.5381	-0.553908357
229	003006-82-4	O=C(OOC(C)(C)C)C(CCCC)CC	Training	-0.6603	-0.7457514016
230	000137-40-6	CCC(=O)O	Training	-3.5656	-2.5514558358
231	000142-62-1	O=C(O)CCCCC	Training	-2.5028	-1.945021314
232	000088-09-5	O=C(O)C(CC)CC	Training	-1.9271	-2.9560427348
233	000111-14-8	O=C(O)CCCCCC	Training	-1.8727	-1.8355971903
234	000112-05-0	O=C(O)CCCCCCCC	Training	-2.0148	-1.436553745
235	000143-07-7	O=C(O)CCCCCCCCCCC	Training	-0.6964	-1.0866315064
236	000144-62-7	O=C(O)C(=O)O	Training	-1.4304	-1.726381547
237	000124-04-9	O=C(O)CCCCC(=O)O	Training	-1.9851	-1.9149426699
238	000079-10-7	O=C(O)C=C	Training	-1.7910	-999
239	005536-61-8	OC(=O)C(=C)C	Training	-1.8179	-1.9915211083
240	000110-44-1	O=C(O)C=CC=CC	Training	-1.8734	-0.9939954407
241	000079-11-8	O=C(O)CCl	Training	-1.8564	-2.1728869998
242	000079-14-1	O=C(O)CO	Training	-1.8906	-2.300106362
243	000298-12-4	O=CC(=O)O	Training	-1.6118	-1.6690712428
244	000060-00-4	O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O	Training	-1.8680	-2.9886275583
245	000075-04-7	NCC	Training	-2.3513	-2.4250962718
246	000107-10-8	NCCC	Training	-2.4874	-2.4155626135
247	000109-73-9	NCCCC	Training	-2.4234	-2.4047968111
248	033966-50-6	CCC(N)C	Training	-2.4364	-2.4038531979
249	005813-64-9	CC(C)(C)CN	Training	-2.6755	-2.5428004343
250	000110-58-7	NCCCCC	Training	-2.2465	-2.2574428608
251	000598-74-3	NC(C)C(C)C	Training	-2.4490	-2.5796049745
252	000111-26-2	NCCCCCC	Training	-1.7513	-1.271990557
253	015673-00-4	CC(C)(C)CCN	Training	-2.7823	-2.2323638657
254	000111-68-2	NCCCCCCC	Training	-1.3372	-0.8817973271
255	000107-45-9	NC(CC(C)(C)C)(C)C	Training	-1.3886	-2.5495279405
256	000111-86-4	NCCCCCCCC	Training	-0.7106	-0.6016776234
257	000693-16-3	NC(CCCCCC)C	Training	-0.7071	-0.6098859201
258	000112-20-9	NCCCCCCCCC	Training	-0.3323	-0.1900042735
259	002016-57-1	NCCCCCCCCCC	Training	-0.0118	0.1663357041
260	007307-55-3	CCCCCCCCCCCN	Training	0.6800	0.4602804274
261	000124-22-1	NCCCCCCCCCCCC	Training	0.9974	0.4011566342
262	002869-34-3	NCCCCCCCCCCCCC	Training	1.1752	0.3630031191
263	000108-91-8	NC(CCCC1)C1	Training	-1.5160	-1.1397685147
264	006864-37-5	NC(C(CC(C1)CC(CCC(N)C2C)C2)C)C1	Training	-1.3400	-0.3378550124
265	000080-52-4	NC(C(CCC(N)(C1)C)C1)(C)C	Training	-1.8128	-1.1790604379
266	000768-94-5	C(N)(CC(CC1CC23)C2)(C1)C3	Training	-1.3967	-0.6506224261
267	000109-85-3	O(CCN)C	Training	-2.7154	-999
268	000109-89-7	N(CC)CC	Training	-2.2074	-2.1379506712
269	000143-16-8	N(CCCCCC)CCCCCC	Training	0.1109	-0.1996057788
270	052829-07-9	O=C(OC(CC(NC1(C)C)(C)C)C1)CCCCCCCCC(=O)OC(CC(NC2(C)C)(C)C)C2	Training	-0.7221	-0.6689685754
271	000101-83-7	N(C(CCCC1)C1)C(CCCC2)C2	Training	-1.0767	-0.537059989
272	000141-91-3	O(C(CNC1)C)C1C	Training	-2.5855	-2.4279244922
273	000121-44-8	N(CC)(CC)CC	Training	-1.3774	-2.4297917611
274	000102-69-2	N(CCC)(CCC)CCC	Training	-1.7043	-1.6624104932
275	000124-28-7	N(CCCCCCCCCCCCCCCCCC)(C)C	Training	1.1053	0.3325192465
276	000091-65-6	N(C(CCCC1)C1)(CC)CC	Training	-1.3275	-0.7893586667
277	007250-67-1	N1(CCCl)CCCC1	Training	-2.0781	-1.9317660502
278	006921-29-5	C#CCN(CC#C)CC#C	Training	-2.4681	-2.47
279	006948-86-3	CCOC(CN(C)CC(OCC)OCC)OCC	Training	-2.8002	-2.8018
280	000105-14-6	CCN(CC)CCCC(C)=O	Training	-2.5242	-1.5015174238
