id	CAS	SMILES	status	Exp -log10(mg/L)	LOO Prediction
645	013608-87-2	CC(=O)c1ccc(Cl)c(Cl)c1Cl	Training	-0.2996	-0.8677428194
646	000093-91-4	O=C(c(cccc1)c1)CC(=O)C	Training	-0.0391	-1.1064785017
647	001204-21-3	COc1ccc(OC)c(c1)C(=O)CBr	Training	1.1176	-1.7887439533
648	001126-46-1	O=C(OC)c(ccc(c1)Cl)c1	Training	-1.0410	-1.2320488541
649	002905-69-3	O=C(OC)c(c(ccc1Cl)Cl)c1	Training	-1.1431	-1.2095514618
650	000084-66-2	O=C(OCC)c(c(ccc1)C(=O)OCC)c1	Training	-1.4113	-0.0240695875
651	000084-69-5	O=C(OCC(C)C)c(c(ccc1)C(=O)OCC(C)C)c1	Training	-0.4728	-0.3317598292
652	000084-74-2	O=C(OCCCC)c(c(ccc1)C(=O)OCCCC)c1	Training	-0.2011	-0.3678938128
653	000117-81-7	O=C(OCC(CCCC)CC)c(c(ccc1)C(=O)OCC(CCCC)CC)c1	Training	-1.8730	-0.1037074273
654	000131-17-9	O=C(OCC=C)c(c(ccc1)C(=O)OCC=C)c1	Training	0.3579	-0.5283305302
655	003126-90-7	c1c(C(=O)OCCCC)cccc1C(=O)OCCCC	Training	0.0839	-0.3985292468
656	001962-75-0	CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC	Training	0.2312	-0.4457848148
657	000532-32-1	OC(=O)c1ccccc1	Training	-2.6118	-1.5128224922
658	000099-04-7	O=C(O)c(cccc1C)c1	Training	-1.9124	-2.0051065441
659	000099-94-5	O=C(O)c(ccc(c1)C)c1	Training	-1.8048	-2.0390912731
660	000069-72-7	O=C(O)c(c(O)ccc1)c1	Training	-1.5900	-1.3155755499
661	000099-96-7	O=C(O)c(ccc(O)c1)c1	Training	-1.9674	-1.7573312969
662	019715-19-6	O=C(O)c(c(O)c(cc1C(C)(C)C)C(C)(C)C)c1	Training	-0.4294	0.4449073445
663	000098-95-3	[O-][N+](=O)c(cccc1)c1	Training	-2.0982	-1.6272670231
664	000099-08-1	[O-][N+](=O)c(cccc1C)c1	Training	-1.4464	-1.2148955082
665	000088-72-2	[O-][N+](=O)c(c(ccc1)C)c1	Training	-1.5461	-1.4529931028
666	000099-99-0	[O-][N+](=O)c(ccc(c1)C)c1	Training	-1.5161	-1.5086334042
667	000099-51-4	[O-][N+](=O)c(ccc(c1C)C)c1	Training	-0.9682	-1.3077897742
668	000083-41-0	[O-][N+](=O)c(c(c(cc1)C)C)c1	Training	-0.7882	-1.3569979241
669	000100-14-1	[O-][N+](=O)c(ccc(c1)CCl)c1	Training	0.2154	-1.119951509
670	000350-46-9	[O-][N+](=O)c(ccc(F)c1)c1	Training	-1.4509	-0.9449711735
671	000100-00-5	[O-][N+](=O)c(ccc(c1)Cl)c1	Training	-0.7768	-1.0710730246
672	000088-73-3	[O-][N+](=O)c(c(ccc1)Cl)c1	Training	-1.4768	-0.8864838218
673	000089-59-8	[O-][N+](=O)c(c(ccc1Cl)C)c1	Training	-0.7937	-0.8170284731
674	000611-06-3	[O-][N+](=O)c(c(cc(c1)Cl)Cl)c1	Training	-0.8229	-0.6724958211
675	000083-42-1	[O-][N+](=O)c(c(c(cc1)Cl)C)c1	Training	-0.7137	-0.7833102936
676	000121-73-3	[O-][N+](=O)c(cccc1Cl)c1	Training	-1.2311	-0.9151212319
677	000618-62-2	[O-][N+](=O)c(cc(cc1Cl)Cl)c1	Training	-0.7029	-0.7013204585
678	000099-54-7	[O-][N+](=O)c(ccc(c1Cl)Cl)c1	Training	-0.6717	-0.7090962133
679	000089-61-2	[O-][N+](=O)c(c(ccc1Cl)Cl)c1	Training	-0.6929	-0.7038223708
680	003209-22-1	[O-][N+](=O)c(c(c(cc1)Cl)Cl)c1	Training	-0.6229	-0.7216620606
681	000082-68-8	[O-][N+](=O)c(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl	Training	0.4950	-0.3597785343
682	000350-30-1	Fc1ccc(cc1Cl)[N+](=O)[O-]	Training	-0.3006	-0.6728769741
683	000555-03-3	[O-][N+](=O)c(cccc1OC)c1	Training	-1.7698	-1.4066455109
684	000091-23-6	[O-][N+](=O)c(c(OC)ccc1)c1	Training	-1.6711	-1.5411654408
685	000552-89-6	O=Cc(c([N+](=O)[O-])ccc1)c1	Training	-1.1891	-1.4065897425
686	000555-16-8	O=Cc(ccc([N+](=O)[O-])c1)c1	Training	-1.0011	-1.5417781071
687	006361-21-3	O=Cc(c(ccc1[N+](=O)[O-])Cl)c1	Training	-0.5834	-0.8061195901
688	005465-65-6	Clc(ccc1C(=O)C)c(c1)[N+](=O)[O-]	Training	-0.7394	-0.8698142967
689	000619-50-1	O=C(OC)c(ccc([N+](=O)[O-])c1)c1	Training	-1.3716	-1.4377713519
690	005292-45-5	O=C(OC)c(ccc(c1[N+](=O)[O-])C(=O)OC)c1	Training	-0.8178	-1.3214338849
691	042087-80-9	COC(=O)c1ccc(Cl)cc1[N+](=O)[O-]	Training	-1.4374	-0.937867111
692	000619-80-7	O=C(N)c(ccc([N+](=O)[O-])c1)c1	Training	-2.1213	-1.2842620103
693	000100-25-4	[O-][N+](=O)c(ccc([N+](=O)[O-])c1)c1	Training	0.1489	-1.1954325703
694	000099-65-0	[O-][N+](=O)c(cccc1[N+](=O)[O-])c1	Training	-1.0787	-1.0767369153
695	000606-20-2	[O-][N+](=O)c(c(c([N+](=O)[O-])cc1)C)c1	Training	-1.5308	-0.986461046
696	000121-14-2	[O-][N+](=O)c(ccc(c1[N+](=O)[O-])C)c1	Training	-1.3872	-1.0309352129
697	006099-79-2	[O-][N+](=O)c1cc([N+](=O)[O-])c(OC)c(C(C)CC)c1	Training	-0.1449	-0.2726892963
698	000097-00-7	[O-][N+](=O)c(ccc(c1[N+](=O)[O-])Cl)c1	Training	0.7962	-0.1126098948
699	003698-83-7	[O-][N+](=O)c(c(cc(c1[N+](=O)[O-])Cl)Cl)c1	Training	1.3155	-0.01374421
700	006284-83-9	[O-][N+](=O)c(c(cc(c1[N+](=O)[O-])Cl)Cl)c1Cl	Training	0.6550	0.5414937567
701	000097-02-9	[O-][N+](=O)c(ccc(N)c1[N+](=O)[O-])c1	Training	-1.1903	-1.3312981969
702	000529-19-1	N#Cc(c(ccc1)C)c1	Training	-1.6487	-1.6968733098
703	006575-09-3	Clc(ccc1)c(c1C)C#N	Training	-1.1780	-1.3085030331
704	000873-32-5	N#Cc(c(ccc1)Cl)c1	Training	-1.5677	-1.0797051653
705	000368-77-4	FC(F)(F)c1cccc(C#N)c1	Training	-1.6803	-1.1016317344
706	000447-60-9	FC(F)(F)c1ccccc1C#N	Training	-1.6238	-1.1355811349
707	001891-95-8	Clc(cc(c1)C#N)c(O)c1Cl	Training	-1.3843	-0.7864832935
708	001689-84-5	Oc1c(Br)cc(C#N)cc1Br	Training	-1.0601	-0.6863877648
709	001689-83-4	Oc1c(I)cc(C#N)cc1I	Training	-0.8308	-0.65828528
710	005922-60-1	N#Cc(c(N)ccc1Cl)c1	Training	-1.4545	-1.3350207345
711	001129-35-7	COC(=O)c1ccc(C#N)cc1	Training	-1.6694	-1.5184008974
712	000619-24-9	N#Cc(cccc1[N+](=O)[O-])c1	Training	-1.6228	-1.4885762409
713	000091-15-6	C(#N)c(c(C(#N))ccc1)c1	Training	-1.3614	-1.4720617635
714	001953-99-7	Clc(c(Cl)c(Cl)c1C#N)c(Cl)c1C#N	Training	0.9208	0.1356380612
715	000055-21-0	O=C(N)c(cccc1)c1	Training	-2.8207	-2.2806961638
716	056108-12-4	NC(=O)c1ccc(C(C)(C)C)cc1	Training	-1.5044	-2.0998046457
717	000134-62-3	O=C(N(CC)CC)c(cccc1C)c1	Training	-2.0399	-1.5702365887
718	002008-58-4	NC(=O)c1c(Cl)cccc1Cl	Training	-2.5187	-1.3474988476
719	002447-79-2	NC(=O)c1ccc(Cl)cc1Cl	Training	-1.9792	-1.5095136673
720	022726-00-7	NC(=O)c1cc(Br)ccc1	Training	-1.9685	-1.8685692842
721	002439-77-2	COc1ccccc1C(=O)N	Training	-2.0782	-1.3590990386
722	000065-45-2	O=C(N)c(c(O)ccc1)c1	Training	-2.0046	-1.5947751017
723	000088-68-6	O=C(N)c(c(N)ccc1)c1	Training	-2.5945	-2.3761594628
724	071862-02-7	Cc1c(NC=O)cccc1Cl	Training	-1.6674	-0.9974496915
725	000483-63-6	CC=CC(=O)N(CC)c1c(C)cccc1	Training	-1.8734	-1.1799205244
726	000621-42-1	O=C(Nc(cccc1O)c1)C	Training	-3.0522	-1.9990257994
727	000103-90-2	O=C(Nc(ccc(O)c1)c1)C	Training	-2.9092	-2.4875439415
728	000614-80-2	O=C(Nc(c(O)ccc1)c1)C	Training	-1.3432	-2.9426960904
729	055792-61-5	CCCCCCCCOc1ccccc1NC(C)=O	Training	0.3499	-0.4270145892
730	051218-49-6	CCc1cccc(CC)c1N(C(=O)CCl)CCOCCC	Training	-0.3785	-0.2143024697
731	023184-66-9	CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC	Training	0.5546	-0.3157375963
732	015972-60-8	CCc1cccc(CC)c1N(COC)C(=O)CCl	Training	-0.6984	-0.3627171108
733	000709-98-8	CCC(=O)Nc1ccc(Cl)c(Cl)c1	Training	-0.9357	-1.5940349809
734	002626-83-7	CNC(=O)Oc1ccc(C(C)(C)C)cc1	Training	-0.9964	-0.8013677783
735	003766-81-2	O=C(Oc(c(ccc1)C(CC)C)c1)NC	Training	-0.9896	-0.5699269343
736	000114-26-1	CNC(=O)Oc1ccccc1OC(C)C	Training	-0.9431	-0.5506291296
737	002032-59-9	CNC(=O)Oc1ccc(N(C)C)c(C)c1	Training	-0.2881	-0.7341710521
738	001563-66-2	O=C(Oc(c(OC(C1)(C)C)c1cc2)c2)NC	Training	0.0756	-0.8150255071
739	000330-54-1	O=C(N(C)C)Nc(ccc(c1Cl)Cl)c1	Training	-1.1492	-1.1735502614
740	000100-63-0	N(N)c(cccc1)c1	Training	1.7970	-0.2849745434
741	005329-12-4	N(N)c(c(cc(c1)Cl)Cl)c1Cl	Training	0.0004	-0.6700714366
742	000108-98-5	Sc(cccc1)c1	Training	2.0469	-1.3239620563
743	000098-59-9	O=S(=O)(c(ccc(c1)C)c1)Cl	Training	-1.8856	-0.5672071091
744	027176-87-0	O=S(=O)(c1ccc(cc1)CCCCCCCCCCCC)O	Training	-0.6512	0.3492749385
745	009014-90-8	CCCCCCCCCc1ccc(cc1)OCCOCCOCCOCCOCCOCCOS(=O)(=O)O	Training	-1.3960	-0.9675613723
746	000786-19-6	CCOP(=S)(OCC)SCSc1ccc(Cl)cc1	Training	0.6209	-999
747	000115-90-2	CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O	Training	-1.6338	-999
748	026087-47-8	CC(C)OP(=O)(OC(C)C)SCc1ccccc1	Training	-0.5299	-0.9680903138
749	085785-20-2	c1ccccc1CSC(=O)N(CC)C(C)C(C)C	Training	-0.1122	-0.8317039075
750	028249-77-6	CCN(CC)C(=O)SCc1ccc(Cl)cc1	Training	-0.1127	-1.1773730962
751	001080-32-6	O=P(OCC)(OCC)Cc(cccc1)c1	Training	-2.5257	-0.903649252
752	000110-86-1	n(cccc1)c1	Training	-2.0106	-2.5127720089
753	000109-06-8	n(c(ccc1)C)c1	Training	-2.9498	-2.3538845037
754	000108-89-4	n(ccc(c1)C)c1	Training	-2.6058	-1.8380509369
755	000108-99-6	n(cccc1C)c1	Training	-2.1578	-2.5568572095
756	000100-71-0	n(c(ccc1)CC)c1	Training	-2.6170	-2.4155443128
757	000104-90-5	n(c(ccc1CC)C)c1	Training	-1.9097	-2.5827721704
758	018368-63-3	Clc(nc(c1)C)cc1	Training	-2.3649	-2.6738547794
759	002176-62-7	n(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl	Training	0.3279	0.3808948338
760	010500-57-9	n(ccc1)c(CCC2)c1C2	Training	-1.5667	-1.8511475518
761	000100-55-0	n(cccc1CO)c1	Training	-2.9673	-1.9365226804
762	002859-67-8	n(cccc1CCCO)c1	Training	-2.1747	-2.1240695788
763	000500-22-1	O=Cc(cccn1)c1	Training	-1.2115	-2.5432408025
764	001122-54-9	O=C(c(ccnc1)c1)C	Training	-2.2232	-2.2266127206
765	000499-83-2	O=C(O)c(nc(cc1)C(=O)O)c1	Training	-2.5073	-1.7013477729
766	004214-79-3	Oc1ccc(Cl)cn1	Training	-3.0558	-2.5413254011
767	006636-78-8	Oc1cccnc1Cl	Training	-2.7928	-2.6097345452
768	016879-02-0	Oc1cccc(Cl)n1	Training	-2.3308	-2.7516088759
769	006602-32-0	Oc1cccnc1Br	Training	-2.6710	-2.6236984166
770	015128-82-2	Oc1cccnc1[N+](=O)[O-]	Training	-2.2239	-1.4774784887
771	000769-28-8	n(c(cc1C)C)c(O)c1C#N	Training	-2.1974	-2.565336989
772	000100-43-6	n(ccc(c1)C=C)c1	Training	0.0011	-2.0498376119
773	000100-69-6	n(c(ccc1)C=C)c1	Training	-0.8118	-1.9545233303
774	000504-29-0	n(c(N)ccc1)c1	Training	-1.0405	-1.3924555248
775	000462-08-8	n(cccc1N)c1	Training	-0.9336	-1.3552984498
776	000504-24-5	n(ccc(N)c1)c1	Training	-0.5306	-1.4769421286
777	001072-97-5	Nc1ccc(Br)cn1	Training	-2.2476	-1.2564851955
778	005683-33-0	n1ccccc1N(C)C	Training	-2.1041	-1.1561474391
779	000100-70-9	C(#N)c(nccc1)c1	Training	-2.8586	-1.3827174757
780	002921-88-2	CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl	Training	0.2969	0.2976
781	005600-21-5	Cc1cc(Cl)nc(N)n1	Training	-2.1566	-2.1914127502
782	013481-25-9	c1nc(C#N)c(C#N)nc1	Training	-0.3013	-2.371107877
783	000333-41-5	O(P(OCC)(Oc(nc(nc1C)C(C)C)c1)=S)CC	Training	-0.9690	-0.9694
784	017584-12-2	Cc1nnc(N)nc1C	Training	-2.9782	-1.55651801
785	000110-00-9	O1C=CC=C1	Training	-1.7896	-1.8343571096
786	000625-86-5	O1C(C)=CC=C1C	Training	-1.8510	-1.6453004261
787	004412-91-3	OCc1ccoc1	Training	-2.7102	-2.2906504952
788	000623-15-4	O=C(C=CC(OC=C1)=C1)C	Training	-1.3209	-1.3934529331
789	000110-02-1	S1C=CC=C1	Training	-1.4904	-999
790	000872-31-1	C1=CC(Br)=CS1	Training	-0.7918	-0.9811188832
791	000109-97-7	C1=CC=CN1	Training	-2.3234	-2.4109000985
792	000932-16-1	O=C(C(N(C=C1)C)=C1)C	Training	-2.1965	-2.0101667741
793	000693-93-6	Cc1cocn1	Training	-3.1399	-2.5830435555
794	020662-84-4	O(C(=N1)C)C(=C1C)C	Training	-2.6543	-2.6128651905
795	000693-98-1	N(C=CN1)=C1C	Training	-2.4544	-1.7527450858
796	002034-22-2	BrC1=NC(Br)=C(Br)N1	Training	-0.8439	-0.9009
797	000674-82-8	O=C(OC1=C)C1	Training	-0.9433	-0.5646250657
798	040220-08-4	O=C1N(CCOC(=O)C=C)C(=O)N(C(=O)N1CCOC(=O)C=C)CCOC(=O)C=C	Training	-0.8314	-999
799	000314-40-9	N1C(=O)N(C(C)CC)C(=O)C(Br)=C1C	Training	-2.2673	-2.3422928987
800	000077-71-4	O=C(NC(C1=O)(C)C)N1	Training	-4.2155	-2.3742091888
801	000057-43-2	CCC1(CCC(C)C)C(=O)NC(=O)NC1=O	Training	-1.9301	-1.6194103294
802	005217-47-0	O=C(N(C(N(C1=O)CC)=S)CC)C1	Training	-3.6535	-2.1809749328
803	000309-43-3	C1(=O)NC(=O)NC(=O)C1(C(CCC)C)CC=C	Training	-1.3331	-1.8184675942
804	000071-73-8	C1(=O)N=C(S)NC(=O)C1(C(CCC)C)CC	Training	-1.3792	-1.9335863869
805	006165-51-1	c(cccc1)(c1)C(c(c(ccc2C)C)c2)C	Training	0.5104	0.0320037678
806	000901-44-0	O(c(ccc(c1)C(c(ccc(OCCO)c2)c2)(C)C)c1)CCO	Training	-1.3205	-0.788068957
807	000115-32-3	OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl	Training	0.3859	0.2684108199
808	003923-52-2	c1ccccc1C(C#C)(O)c1ccccc1	Training	-1.0441	-1.0322156752
809	000101-84-8	O(c(cccc1)c1)c(cccc2)c2	Training	-0.4882	-0.7491191173
810	000103-50-4	O(Cc(cccc1)c1)Cc(cccc2)c2	Training	-0.8310	-0.7487434167
811	068972-96-3	c1ccccc1COCC=CCOCc2ccccc2	Training	-0.6612	-0.4219070907
812	000080-43-3	O(OC(c(cccc1)c1)(C)C)C(c(cccc2)c2)(C)C	Training	0.3296	-0.3723794627
813	000330-93-8	Fc2ccc(Oc1ccc(F)cc1)cc2	Training	-0.0633	-0.703077117
814	013826-35-2	O(c(cccc1CO)c1)c(cccc2)c2	Training	-0.5785	-0.4231396948
815	000067-36-7	O=Cc2ccc(Oc1ccccc1)cc2	Training	-0.6640	-0.3950766727
816	069770-23-6	CC(C)(C)c2ccc(Oc1cccc(C=O)c1)cc2	Training	0.4346	-0.6163576511
817	079124-76-8	Clc2ccc(Oc1cccc(C=O)c1)cc2Cl	Training	0.5241	-0.0823914137
818	000119-61-9	O=C(c(cccc1)c1)c(cccc2)c2	Training	-1.1794	-1.0353859949
819	000620-92-8	Oc(ccc(c1)Cc(ccc(O)c2)c2)c1	Training	-1.1126	-0.5998175777
820	000599-64-4	Oc(ccc(c1)C(c(cccc2)c2)(C)C)c1	Training	-0.0776	-1.0210656079
821	000080-05-7	Oc(ccc(c1)C(c(ccc(O)c2)c2)(C)C)c1	Training	-0.7790	-0.5608954828
822	006807-17-6	CC(c1ccc(cc1)O)(c2ccc(cc2)O)CC(C)C	Training	-0.4296	-0.5662332296
823	000070-30-4	Oc(c(c(c(c1)Cl)Cl)Cc(c(c(cc2Cl)Cl)Cl)c2O)c1Cl	Training	1.6795	-0.0197680241
824	000097-23-4	Oc(c(cc(c1)Cl)Cc(c(O)ccc2Cl)c2)c1	Training	0.5104	0.1746001402
825	000079-95-8	Oc(c(cc(c1)C(c(cc(c(O)c2Cl)Cl)c2)(C)C)Cl)c1Cl	Training	-0.1227	0.395959983
826	000079-94-7	Oc(c(cc(c1)C(c(cc(c(O)c2Br)Br)c2)(C)C)Br)c1Br	Training	-0.9632	-0.0164413797
827	000101-77-9	Nc(ccc(c1)Cc(ccc(N)c2)c2)c1	Training	-1.3210	-0.6825184155
828	000101-14-4	Nc(c(cc(c1)Cc(ccc(N)c2Cl)c2)Cl)c1	Training	0.2155	-0.1890607035
829	000831-82-3	O(c(ccc(O)c1)c1)c(cccc2)c2	Training	-0.6900	-0.6148700729
830	001965-09-9	O(c(ccc(O)c1)c1)c(ccc(O)c2)c2	Training	-0.7166	-0.6749744673
831	003380-34-5	O(c(c(O)cc(c1)Cl)c1)c(c(cc(c2)Cl)Cl)c2	Training	0.1746	0.126545169
832	001484-26-0	Nc2cccc(Oc1ccccc1)c2	Training	-0.9270	-0.7129023772
833	000620-88-2	c1ccccc1Oc2ccc([N+](=O)[O-])cc2	Training	-0.4220	-0.5411891173
834	039145-47-6	[O-][N+](=O)c1c(Oc2c(Cl)cccc2)cccc1	Training	-0.2846	-0.3083251156
835	000131-57-7	O=C(c(cccc1)c1)c(c(O)cc(OC)c2)c2	Training	-0.5786	-1.2978511642
836	031127-54-5	Oc1c(O)c(O)c(C(=O)c2ccc(O)cc2)cc1	Training	-1.5553	-0.4947771851
837	002894-51-1	Nc1ccccc1C(=O)c2ccc(Cl)cc2	Training	-0.3240	-0.4599473782
838	000118-55-8	O=C(Oc(cccc1)c1)c(c(O)ccc2)c2	Training	-0.0708	-0.8414623641
839	000133-11-9	Oc1cc(N)ccc1C(=O)Oc2ccccc2	Training	-0.6152	-0.2788406889
840	000122-39-4	N(c(cccc1)c1)c(cccc2)c2	Training	-0.6972	-0.3553024359
841	000620-93-9	Cc1ccc(cc1)Nc2ccc(cc2)C	Training	0.3680	-0.8664808946
842	000793-24-8	N(c(ccc(Nc(cccc1)c1)c2)c2)C(CC(C)C)C	Training	1.5393	-0.1137854575
843	000087-17-2	O=C(Nc(cccc1)c1)c(c(O)ccc2)c2	Training	-0.5968	-0.7149632423
844	000086-30-6	O=NN(c(cccc1)c1)c(cccc2)c2	Training	-0.9991	-0.2605755185
845	000097-39-2	N=C(Nc(c(ccc1)C)c1)Nc(c(ccc2)C)c2	Training	-1.2776	-1.1142715008
846	000102-06-7	N=C(Nc(cccc1)c1)Nc(cccc2)c2	Training	-1.2295	-0.7110967816
847	000607-00-1	O=CN(c(cccc1)c1)c(cccc2)c2	Training	-1.4514	-0.3309774911
848	002465-27-2	CN(C)c1ccc(cc1)C(=N)c2ccc(cc2)N(C)C	Training	-0.7768	-0.9394255493
849	001689-82-3	Oc(ccc(N=Nc(cccc1)c1)c2)c2	Training	-0.0618	-0.3940663574
850	000060-09-3	N(=Nc(cccc1)c1)c(ccc(N)c2)c2	Training	0.4568	-0.2637939116
851	000782-74-1	N(Nc(c(ccc1)Cl)c1)c(c(ccc2)Cl)c2	Training	1.0007	0.4975826564
852	000122-66-7	N(Nc(cccc1)c1)c(cccc2)c2	Training	1.3676	-0.4665669233
853	000882-33-7	S(Sc(cccc1)c1)c(cccc2)c2	Training	1.1013	-1.2349988634
854	000945-51-7	O=S(c(cccc1)c1)c(cccc2)c2	Training	-1.9424	-0.6751760536
855	000621-08-9	O=S(Cc(cccc1)c1)Cc(cccc2)c2	Training	-1.9016	-1.0414838072
856	002104-64-5	CCOP(=S)(Oc1ccc(cc1)N(=O)=O)c2ccccc2	Training	1.1053	-0.5294971373
857	014548-46-0	O=C(c(cccc1)c1)c(ccnc2)c2	Training	-2.0120	-1.0234426443
858	014548-45-9	Brc1ccc(cc1)C(=O)c2cccnc2	Training	-1.3083	-1.3751992614
859	001151-97-9	[O-][N+](=O)c(ccc(c1[N+](=O)[O-])Cc(nccc2)c2)c1	Training	-1.3611	-0.7845696679
860	004916-57-8	C(Cc1ccncc1)c2ccncc2	Training	-2.1763	-1.5558744921
861	002232-08-8	Cc1ccc(cc1)S(=O)(=O)n2ccnc2	Training	-1.6200	-2.7739614065
862	000092-52-4	c(c(cccc1)c1)(cccc2)c2	Training	-0.5897	0.0248641489
863	005707-44-8	CCc2ccc(cc2)c1ccccc1	Training	0.2234	-0.0320541775
864	000092-69-3	Oc(ccc(c(cccc1)c1)c2)c2	Training	-0.5302	-0.7610179998
865	000092-88-6	Oc(ccc(c(ccc(O)c1)c1)c2)c2	Training	-1.1127	-0.7531475614
866	000090-43-7	Oc(c(c(cccc1)c1)ccc2)c2	Training	-0.6292	-0.6969453574
867	000119-93-7	Nc(c(cc(c(ccc(N)c1C)c1)c2)C)c2	Training	-1.1126	-0.4880684496
868	000091-94-1	Nc(c(cc(c(ccc(N)c1Cl)c1)c2)Cl)c2	Training	0.2931	0.1553163001
869	000939-23-1	n(ccc(c1)c(cccc2)c2)c1	Training	-1.2078	-1.0300831116
870	000096-09-3	O(C1c(cccc2)c2)C1	Training	-0.9430	-2.0988264535
871	030171-80-3	Brc2c(c(cc(c2)OCC1OC1)C)Br	Training	-0.1132	-999
872	000050-06-6	CCC1(C(=O)NC(=O)NC1(=O))c2ccccc2	Training	-2.6839	-1.3809774288
873	000827-43-0	N(C(=CN1)C)=C1c(cccc2)c2	Training	-1.6522	-0.9619883918
874	002759-28-6	C1CN(CCN1)Cc2ccccc2	Training	-1.6745	-1.820260775
875	000091-20-3	c(c(ccc1)ccc2)(c1)c2	Training	-0.7865	-0.3860596092
876	000091-57-6	c(c(ccc1C)ccc2)(c2)c1	Training	-0.2773	-0.4147939434
877	000090-12-0	c(c(c(cc1)C)ccc2)(c2)c1	Training	-0.7544	-0.2859872573
878	000573-98-8	Cc2ccc1ccccc1c2C	Training	-0.3602	-0.3815424892
879	000575-41-7	Cc2cc(C)c1ccccc1c2	Training	-0.2537	-0.4076061004
880	000582-16-1	c(cc(ccc1C)c2c1)c(c2)C	Training	-0.2537	-0.4076061004
881	029253-36-9	CC(c1cccc2c1cccc2)C	Training	0.1324	-0.2862463459
882	000090-13-1	c(c(c(cc1)Cl)ccc2)(c2)c1	Training	-0.2295	-0.9805375
883	000085-01-8	c(c(c(c(c1)ccc2)c2)ccc3)(c1)c3	Training	-0.1450	-0.4348465162
884	000129-00-0	c(c(c(cc1)ccc2)c2cc3)(c1ccc4)c34	Training	0.0010	-0.4636781051
885	000083-32-9	c(c(ccc1)ccc2)(c1CC3)c23	Training	-0.2368	-0.1611074298
886	000090-15-3	Oc(c(c(ccc1)cc2)c1)c2	Training	-0.6619	-0.7161413011
887	000135-19-3	Oc(ccc(c1ccc2)c2)c1	Training	-0.6009	-0.7366164617
888	101836-92-4	c1cc2c(O)c([N+](=O)[O-])cc([N+](=O)[O-])c2cc1	Training	-0.5307	-0.6665486353
889	000091-59-8	c(c(ccc1N)ccc2)(c2)c1	Training	-0.5899	-1.1227779721
890	002243-62-1	Nc1cccc2c(N)cccc12	Training	-1.2294	-0.2621382285
891	000479-27-6	c(c(c(N)cc1)c(N)cc2)(c1)c2	Training	-0.7471	-0.4206162268
892	000063-25-2	O=C(Oc(c(c(ccc1)cc2)c1)c2)NC	Training	-0.9495	-0.9141503751
893	000091-22-5	n(c(c(ccc1)cc2)c1)c2	Training	-1.6919	-999
894	000148-24-3	n(c(c(ccc1)cc2)c1O)c2	Training	-0.3970	-1.0079401335
895	000091-53-2	O(c(ccc(NC(C=C1C)(C)C)c12)c2)CC	Training	-0.8243	-1.238110659
896	000085-41-6	O=C(NC(=O)c1cccc2)c12	Training	-1.9993	-1.4433943655
897	005394-18-3	c12C(=O)N(CCCCBr)C(=O)c1cccc2	Training	-0.7915	-1.6446619626
898	022509-74-6	O=C(OCC)N(C(=O)c(c1ccc2)c2)C1=O	Training	-0.1452	-1.3108034953
899	000089-40-7	O=C(NC(=O)c1ccc([N+](=O)[O-])c2)c12	Training	-1.0410	-1.6025680492
900	000095-31-8	N(c(c(S1)ccc2)c2)=C1SNC(C)(C)C	Training	-0.1451	-0.4665110424
901	005331-91-9	S(C(S)=N1)c(ccc2Cl)c1c2	Training	-0.5054	-0.5281916511
902	000095-16-9	c1ccc2ncsc2c1	Training	-1.5905	-0.8030209241
903	000095-33-0	N(c(c(S1)ccc2)c2)=C1SNC(CCCC3)C3	Training	-0.3212	-0.3809318217
904	000095-32-9	O(CCN(SSC(=Nc(c1ccc2)c2)S1)C3)C3	Training	0.3105	-0.580365843
905	000496-16-2	O(c(c(ccc1)C2)c1)C2	Training	-1.9093	-0.9669898252
906	000271-89-6	c1ccc2ccoc2c1	Training	-1.1433	-0.5795797118
907	022720-75-8	c12SC(C(=O)C)=Cc1cccc2	Training	-0.9990	-1.2352313862
908	000094-62-2	O=C(N(CCCC1)C1)C=CC=Cc(ccc(OCO2)c23)c3	Training	-0.8930	-0.8693308809
909	000083-34-1	c1ccc2c(C)cnc2c1	Training	-0.9461	-1.307272097
910	000058-27-5	c1cc2C(=O)C=C(C)C(=O)c2cc1	Training	0.9576	-999
911	000117-80-6	c1ccc2C(=O)C(Cl)=C(Cl)C(=O)c2c1	Training	1.5092	-0.2815916756
912	000058-08-2	CN1C(=O)N(C)c2ncn(C)c2C1(=O)	Training	-2.1785	-2.1782
913	000086-50-0	S=P(OC)(OC)SCN1N=Nc2ccccc2C1(=O)	Training	1.1941	1.1981
914	000716-79-0	N(c(c(N1)ccc2)c2)=C1c(cccc3)c3	Training	-0.9337	-1.0451311648
915	000525-82-6	c1ccc2C(=O)C=C(c3ccccc3)Oc2c1	Training	-0.5443	-0.5591708477
