ID	CAS	SMILES	Status	logLOEL
175	5977-14-0	O=C(N)CC(=O)C	Training	2.948
176	99911-45-2	O=C(NS(=O)(=O)O)CC(=O)C	Training	3.668
177	79-06-1	O=C(N)C=C	Training	0.000
178	1646-88-4	O=C(ON=CC(C)(C)S(=O)(=O)C)NC	Training	0.301
179	101-05-3	n1c(nc(nc1Cl)Cl)Nc2ccccc2Cl	Training	2.903
180	25057-89-0	O=C1c2ccccc2(NS(=O)(=O)N1C(C)C)	Training	1.000
181	271-89-6	o1ccc2ccccc12	Training	1.796
182	119-53-9	O=C(c1ccccc1)C(O)c2ccccc2	Training	1.398
183	108-60-1	O(C(C)CCl)C(C)CCl	Training	2.398
184	80-05-7	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Training	2.053
185	514-78-3	O=C2C(=C(C=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC1=C(C(=O)CCC1(C)C)C)C)C)C)C)C(C)(C)CC2)C	Training	3.000
186	105-60-2	O=C1NCCCCC1	Training	2.398
187	57775-29-8	OC(COc2cccc3[nH]c1ccccc1c23)CNC(C)C	Training	1.483
188	96-23-1	OC(CCl)CCl	Training	1.000
189	609-20-1	Nc1cc(c(N)c(c1)Cl)Cl	Training	2.301
190	23851-46-9	O=C(O)C(O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	Training	2.346
191	156-60-5	C(=CCl)Cl	Training	2.682
192	94-75-7	O=C(O)COc1ccc(cc1Cl)Cl	Training	0.699
193	616-23-9	OCC(CCl)Cl	Training	1.544
194	542-75-6	C(=CCl)CCl	Training	1.000
195	147-24-0	O(CCN(C)C)C(c1ccccc1)c2ccccc2	Training	1.491
196	57-41-0	O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3	Training	2.087
197	2104-64-5	O=[N+]([O-])c2ccc(OP(OCC)(c1ccccc1)=S)cc2	Training	0.097
198	107-07-3	OCCCl	Training	1.829
199	96-45-7	N1C(NCC1)=S	Training	1.283
200	2164-17-2	O=C(Nc1cccc(c1)C(F)(F)F)N(C)C	Training	1.875
201	77182-82-2	O=C(O)C(N)CCP(=O)(O)C	Training	0.505
202	87-82-1	c1(c(c(c(c(c1Br)Br)Br)Br)Br)Br	Training	0.301
203	87-68-3	C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl	Training	0.398
204	77-47-4	C=1(C(=C(C(C=1Cl)(Cl)Cl)Cl)Cl)Cl	Training	1.279
205	5036-02-2	N2=C1N(CCS1)CC2c3ccccc3	Training	1.602
206	1634-78-2	O=C(OCC)CC(C(=O)OCC)SP(=O)(OC)OC	Training	2.602
207	108-31-6	O=C1OC(=O)C=C1	Training	2.000
208	108-78-1	n1c(nc(nc1N)N)N	Training	2.530
209	85-91-6	O=C(OC)c1ccccc1(NC)	Training	1.778
210	41372-08-1	O=C(O)C(N)(C)Cc1ccc(O)c(O)c1	Training	2.852
211	150-68-5	O=C(Nc1ccc(cc1)Cl)N(C)C	Training	2.176
212	556-88-7	O=[N+]([O-])N=C(N)N	Training	3.000
213	32536-52-0	O(c1cc(c(c(c1Br)Br)Br)Br)c2cc(c(c(c2Br)Br)Br)Br	Training	0.699
214	2691-41-0	O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1	Training	2.176
215	23696-28-8	O=C(NCCO)C2=C(N([O-])c1ccccc1[N+]2(=O))C	Training	0.699
216	53716-50-0	O=C(OC)Nc1nc2ccc(cc2([nH]1))S(=O)c3ccccc3	Training	0.886
217	76738-62-0	OC(C(n1ncnc1)Cc2ccc(cc2)Cl)C(C)(C)C	Training	1.796
218	40487-42-1	O=[N+]([O-])c1cc(c(c(c1(NC(CC)CC))[N+](=O)[O-])C)C	Training	2.398
219	76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	Training	2.398
220	78-11-5	O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]	Training	3.150
221	108-45-2	Nc1cccc(N)c1	Training	1.255
222	61-76-7	Oc1cccc(c1)C(O)CNC	Training	2.450
223	23950-58-5	O=C(NC(C#C)(C)C)c1cc(cc(c1)Cl)Cl	Training	0.875
224	1918-16-7	O=C(N(c1ccccc1)C(C)C)CCl	Training	2.125
225	122-42-9	O=C(OC(C)C)Nc1ccccc1	Training	2.000
226	51630-58-1	N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3	Training	0.875
227	130-89-2	OC(c2ccnc1ccc(OC)cc12)C3N4CCC(C3)C(C=C)C4	Training	2.000
228	62-74-8	O=C(O)CF	Training	-0.699
229	127-69-5	O=S(=O)(Nc1onc(c1C)C)c2ccc(N)cc2	Training	3.000
230	2783-94-0	O=C3C=Cc1cc(ccc1C3(=NNc2ccc(cc2)S(=O)(=O)O))S(=O)(=O)O	Training	3.150
231	630-20-6	C(C(Cl)(Cl)Cl)Cl	Training	2.699
232	58-90-2	Oc1c(cc(c(c1Cl)Cl)Cl)Cl	Training	2.000
233	3689-24-5	O(CC)P(OCC)(OP(OCC)(OCC)=S)=S	Training	0.000
234	124-64-1	OC[P+](CO)(CO)CO	Training	0.875
235	79-01-6	C(=C(Cl)Cl)Cl	Training	3.301
236	95-95-4	Oc1cc(c(cc1Cl)Cl)Cl	Training	2.477
237	75-01-4	C=CCl	Training	2.000
238	32534-81-9	O(c1ccc(cc1Br)Br)c2cc(c(cc2Br)Br)Br	Training	0.548
239	598-77-6	CC(C(Cl)Cl)Cl	Training	2.176
240	93-65-2	O=C(O)C(Oc1ccc(cc1C)Cl)C	Training	0.954
241	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	0.845
242	95-49-8	c1ccc(c(c1)C)Cl	Training	1.903
243	834-12-8	n1c(nc(nc1NC(C)C)SC)NCC	Training	1.934
244	74-83-9	CBr	Training	0.851
245	78-83-1	OCC(C)C	Training	3.000
246	91-20-3	c1ccc2ccccc2(c1)	Training	2.152
247	95-48-7	Oc1ccccc1C	Training	2.243
248	33820-53-0	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(C)C	Training	1.681
249	98-01-1	O=Cc1occc1	Training	0.898
250	107-19-7	C#CCO	Training	1.176
251	505-29-3	C1CSCCS1	Training	2.176
252	75-25-2	C(Br)(Br)Br	Training	1.553
253	124-48-1	C(Cl)(Br)Br	Training	1.632
254	148-18-5	C(N(CC)CC)(=S)S	Training	2.000
