35
35
1,1,543,545,566
9,26,530,744
11,26,312
13,26,434
15,26,359
19,26,677
21,26,233,636
23,26,334,370
27,26,211
31,26,721
32,26,423
33,26,10,12
34,26,620
35,26,257,258,259
1,27,442
4,27,240,282,771
12,27,287,337
16,27,739
23,27,374
24,27,737
25,27,210,613
27,27,255,642
28,27,381,625
29,27,79
30,27,223
35,27,380
6,28,220
13,28,188
16,28,44
18,28,358,361
19,28,58,360
22,28,246
29,28,464
30,28,463
32,28,193,194
33,28,224,722
35,28,526
1,29,356,657
8,29,70,305
9,29,72
11,29,421
14,29,535,745
15,29,497
23,29,753
26,29,433,735
27,29,89
31,29,329
35,29,531,538
3,30,99
12,30,213,273
15,30,420
18,30,173,429
22,30,234
24,30,84
29,30,54
32,30,498
33,30,301
1,31,656
5,31,544
9,31,770,783
12,31,649
14,31,681
19,31,41,43
20,31,113,344
21,31,629
22,31,112,116,719
24,31,626
27,31,92
28,31,134,426
31,31,379
33,31,36
34,31,633
35,31,215,476,493
1,32,422
4,32,662
9,32,16,94
11,32,460
14,32,228
18,32,430,517
19,32,628
23,32,167
24,32,779
25,32,308
26,32,60
27,32,204
28,32,11
29,32,8,27
32,32,152
35,32,644
1,33,171,668
4,33,798
5,33,191,698
9,33,155
11,33,222
12,33,207,461
13,33,144,145,146,147
16,33,760
17,33,679
18,33,513
19,33,516
20,33,514
21,33,133
22,33,281
29,33,784,785
31,33,686,717
32,33,290
35,33,151,403
3,34,132,178
8,34,77,88
9,34,688
10,34,271
11,34,440
15,34,182,438
17,34,117,766
21,34,651
22,34,652
30,34,624
31,34,499
35,34,48,250
1,35,485
2,35,678,788
3,35,377
5,35,189,405
8,35,87,638
10,35,375,647
11,35,153
13,35,81,85,477,492
14,35,181,776
15,35,427,702
16,35,707
17,35,313,404
19,35,245,267
20,35,142,143
21,35,29
22,35,774
23,35,272,751
24,35,696
25,35,122,431,736
26,35,51
28,35,654,720
29,35,767
30,35,520
31,35,251,389
33,35,23,47
34,35,300
35,35,13,268,390,518
