No	CAS	SMILES	Set	EXP (Log L/Kg)	yc_weighted (pred pesata)
615	36734-19-7	O=C(NC(C)C)N2C(=O)N(c1cc(cc(c1)Cl)Cl)C(=O)C2	Training	2.85	2.53
616	37680-65-2	c1ccc(c(c1)c2cc(ccc2Cl)Cl)Cl	Training	4.4	4.703
617	37680-66-3	c1ccc(c(c1)c2ccc(cc2Cl)Cl)Cl	Training	4.84	4.625
618	37680-73-2	c1cc(c(cc1Cl)c2cc(c(cc2Cl)Cl)Cl)Cl	Training	5.22	5.221
619	37764-25-3	O=C(N(CC=C)CC=C)C(Cl)Cl	Training	1.6	1.754
620	37924-13-3	O=S(=O)(Nc1ccc(cc1C)S(=O)(=O)c2ccccc2)C(F)(F)F	Training	3.08	3.095
621	38379-99-6	c1cc(c(cc1Cl)c2c(ccc(c2Cl)Cl)Cl)Cl	Training	5.55	5.313
622	38380-02-8	c1cc(c(c(c1c2cc(ccc2Cl)Cl)Cl)Cl)Cl	Training	4.62	5.529
623	38380-04-0	c2cc(c(c(c1cc(c(cc1Cl)Cl)Cl)c2Cl)Cl)Cl	Training	5.79	5.948
624	38380-07-3	c1cc(c(c(c1c2ccc(c(c2Cl)Cl)Cl)Cl)Cl)Cl	Training	5.66	5.869
625	38411-22-2	c2cc(c(c(c1c(ccc(c1Cl)Cl)Cl)c2Cl)Cl)Cl	Training	6.01	6.113
626	38727-55-8	O=C(OCC)CN(C(=O)CCl)c1c(cccc1CC)CC	Training	2	2.894
627	39108-81-1	O=C(NC(C#C)(C)C)c1ccc(OC)cc1	Training	1.83	1.913
628	39108-91-3	O=C(NC(C#C)(C)C)c1ccc(cc1)C	Training	1.76	1.727
629	40487-42-1	O=[N+]([O-])c1cc(c(c(c1(NC(CC)CC))[N+](=O)[O-])C)C	Training	3.7	3.479
630	41198-08-7	O=P(Oc1ccc(cc1Cl)Br)(OCC)SCCC	Training	3.03	3.072
631	41394-05-2	O=C1C(=NN=C(N1(N))C)c2ccccc2	Training	2.17	1.612
632	41464-51-1	c2cc(c1cc(c(cc1Cl)Cl)Cl)c(c(c2)Cl)Cl	Training	5.69	4.907
633	41814-78-2	n1nc3n(c1)c2c(cccc2s3)C	Training	3.09	3.446
634	42509-80-8	n1c(nn(c1Cl)C(C)C)OP(OCC)(OCC)=S	Training	2.01	2.59
635	42576-02-3	O=C(OC)c2cc(Oc1ccc(cc1Cl)Cl)ccc2[N+](=O)[O-]	Training	4	3.136
636	42874-03-3	O=[N+]([O-])c2ccc(Oc1ccc(cc1Cl)C(F)(F)F)cc2(OCC)	Training	5	3.644
637	43121-43-3	O=C(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C	Training	2.71	2.83
638	50471-44-8	O=C1OC(C=C)(C(=O)N1c2cc(cc(c2)Cl)Cl)C	Training	2.7	2.842
639	50723-80-3	O=C1c2ccccc2(NS(=O)(=O)N1C(C)C)	Training	1.54	1.62
640	51218-45-2	O=C(N(c1c(cccc1CC)C)C(C)COC)CCl	Training	2.46	2.319
641	51235-04-2	O=C1N=C(N(C(=O)N1C2CCCCC2)C)N(C)C	Training	1.73	2.519
642	51338-27-3	O=C(OC)C(Oc2ccc(Oc1ccc(cc1Cl)Cl)cc2)C	Training	4.2	3.158
643	51630-58-1	N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3	Training	3.73	5.129
644	51707-55-2	O=C(Nc1ccccc1)Nc2cnns2	Training	2.04	2.292
645	52315-07-8	N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	5	4.677
646	52645-53-1	O=C(OCc2cccc(Oc1ccccc1)c2)C3C(C=C(Cl)Cl)C3(C)(C)	Training	4.8	4.887
647	52712-05-7	c1cc(c(cc1Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl	Training	5.95	5.947
648	53404-31-2	O=C(OCCOCCCC)C(Oc1ccc(cc1Cl)Cl)C	Training	3	3.474
649	53780-34-0	O=C(Nc1cc(NS(=O)(=O)C(F)(F)F)c(cc1C)C)C	Training	2.3	2.376
650	54593-83-8	O(CC)P(OCC)(OC(C(Cl)(Cl)Cl)Cl)=S	Training	3.6	2.984
651	55219-65-3	OC(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C	Training	2.7	2.673
652	55283-68-6	O=[N+]([O-])c1cc(cc(c1N(CC(=C)C)CC)[N+](=O)[O-])C(F)(F)F	Training	3.6	3.901
653	55290-64-7	O=S1(=O)(C(=C(C)S(=O)(=O)CC1)C)	Training	0.48	1.718
654	55335-06-3	O=C(O)COc1nc(c(cc1Cl)Cl)Cl	Training	1.67	2.147
655	55861-78-4	O=C(Nc1noc(c1)C(C)(C)C)N(C)C	Training	2.47	1.818
656	56070-16-7	O=S(=O)(CSP(OCC)(OCC)=S)C(C)(C)C	Training	2.18	2.722
657	57018-04-9	O(c1c(cc(cc1Cl)C)Cl)P(OC)(OC)=S	Training	3.7	3.232
658	57057-83-7	Oc1cc(c(c(c1(OC))Cl)Cl)Cl	Training	2.8	2.814
659	57837-19-1	O=C(OC)C(N(C(=O)COC)c1c(cccc1C)C)C	Training	1.57	2.128
660	57966-95-7	N#CC(=NOC)C(=O)NC(=O)NCC	Training	2.09	1.168
661	58138-08-2	O1CC1(c2cc(cc(c2)Cl)Cl)CC(Cl)(Cl)Cl	Training	3.75	4.137
662	59261-08-4	c2c(cc(c(c1c(cc(cc1Br)Br)Br)c2Br)Br)Br	Training	4.87	5.824
663	59669-26-0	O=C(ON=C(C)SC)N(C)SN(C(=O)ON=C(C)SC)C	Training	2.54	2.91
664	59756-60-4	O=C1C(=CN(C=C1c2cccc(c2)C(F)(F)F)C)c3ccccc3	Training	2.85	3.831
665	60168-88-9	OC(c1cncnc1)(c2ccc(cc2)Cl)c3ccccc3Cl	Training	2.78	2.964
666	60207-90-1	n1cnn(c1)CC2(OCC(O2)CCC)c3ccc(cc3Cl)Cl	Training	3.39	2.785
667	62476-59-9	O=C(O)c2cc(Oc1ccc(cc1Cl)C(F)(F)F)ccc2[N+](=O)[O-]	Training	2.05	3.825
668	62924-70-3	O=[N+]([O-])c1cc(cc(c1N(Cc2c(F)cccc2Cl)CC)[N+](=O)[O-])C(F)(F)F	Training	4	3.463
669	63075-06-9	O=C(OCCCCC)Nc1ccccc1	Training	2.61	2.524
670	64532-97-4	O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccc(cc3)CCCCCCCCC	Training	4.06	5.062
671	64902-72-3	O=C(Nc1nc(nc(n1)C)OC)NS(=O)(=O)c2ccccc2Cl	Training	2.19	2.146
672	66215-27-8	n1c(nc(nc1N)NC2CC2)N	Training	2.3	2.092
673	66441-23-4	O=C(OCC)C(Oc3ccc(Oc1nc2ccc(cc2(o1))Cl)cc3)C	Training	3.98	3.347
674	66841-25-6	N#CC(OC(=O)C1C(C(C(Br)(Br)Br)Br)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	5	4.847
675	67485-29-4	FC(F)(F)c3ccc(C=CC(=NN=C1NCC(C)(C)CN1)C=Cc2ccc(cc2)C(F)(F)F)cc3	Training	5.86	4.777
676	67747-09-5	O=C(n1cncc1)N(CCOc2c(cc(cc2Cl)Cl)Cl)CCC	Training	2.7	3.383
677	68085-85-8	N#CC(OC(=O)C1C(C=C(C(F)(F)F)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	5.26	4.764
678	68359-37-5	N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3ccc(F)c(Oc2ccccc2)c3	Training	5	4.746
679	68925-41-7	n1c(nc(c(c1N)SC)Cl)N	Training	2.08	1.824
680	69409-94-5	N#CC(OC(=O)C(Nc1ccc(cc1Cl)C(F)(F)F)C(C)C)c3cccc(Oc2ccccc2)c3	Training	5.705	5.053
681	69806-40-2	O=C(OC)C(Oc2ccc(Oc1ncc(cc1Cl)C(F)(F)F)cc2)C	Training	1.88	3.563
682	69806-50-4	O=C(OCCCC)C(Oc2ccc(Oc1ncc(cc1)C(F)(F)F)cc2)C	Training	3.62	4.167
683	70124-77-5	N#CC(OC(=O)C(c1ccc(OC(F)F)cc1)C(C)C)c3cccc(Oc2ccccc2)c3	Training	5	5.195
684	71626-11-4	O=C(OC)C(N(C(=O)Cc1ccccc1)c2c(cccc2C)C)C	Training	3.54	2.958
685	72178-02-0	O=C(NS(=O)(=O)C)c2cc(Oc1ccc(cc1Cl)C(F)(F)F)ccc2[N+](=O)[O-]	Training	1.78	3.024
686	72490-01-8	O=C(OCC)NCCOc2ccc(Oc1ccccc1)cc2	Training	3	2.942
687	74051-80-2	O=C1CC(CC(=O)C1C(=NOCC)CCC)CC(C)SCC	Training	2	3.352
688	74115-24-5	n1nc(nnc1c2ccccc2Cl)c3ccccc3Cl	Training	4.66	3.199
689	74222-97-2	O=C(OC)c1ccccc1S(=O)(=O)NC(=O)Nc2nc(cc(n2)C)C	Training	1.62	1.754
690	74223-56-6	O=C(O)c1ccccc1S(=O)(=O)NC(=O)Nc2nc(cc(n2)C)C	Training	1.8	1.917
691	74223-64-6	O=C(OC)c1ccccc1S(=O)(=O)NC(=O)Nc2nc(nc(n2)C)OC	Training	1.54	1.689
692	76578-14-8	O=C(OCC)C(Oc3ccc(Oc1nc2ccc(cc2(nc1))Cl)cc3)C	Training	2.71	3.846
693	76674-21-0	Fc1ccc(cc1)C(O)(c2ccccc2(F))Cn3ncnc3	Training	1.88	1.865
694	76738-62-0	OC(C(n1ncnc1)Cc2ccc(cc2)Cl)C(C)(C)C	Training	2.7	2.571
695	77182-82-2	O=C(O)C(N)CCP(=O)(O)C	Training	2.63	1.146
696	77501-63-4	O=C(OC(C(=O)OCC)C)c2cc(Oc1ccc(cc1Cl)C(F)(F)F)ccc2[N+](=O)[O-]	Training	4	4.891
697	78508-44-8	O=C(N)Nc2ccc(Oc1ccccc1)cc2	Training	2.56	2.366
698	78508-45-9	O=C(N)Nc1ccc(F)c(c1)C	Training	1.75	1.581
699	78508-46-0	O=C(N)Nc1ccc(c(c1)C)Br	Training	2.37	2.253
700	78587-05-0	O=C(NC1CCCCC1)N3C(=O)SC(c2ccc(cc2)Cl)C3C	Training	3.79	3.119
701	79277-27-3	O=C(OC)c1c(ccs1)S(=O)(=O)NC(=O)Nc2nc(nc(n2)C)OC	Training	1.45	1.695
702	80045-50-7	O=C(NC(C#C)(C)C)c1ccc(cc1)Br	Training	2.01	1.984
703	80045-51-8	O=C(NC(C#C)(C)C)c1ccc(F)cc1	Training	1.68	1.868
704	80045-52-9	O=C(NC(C#C)(C)C)c1ccc(cc1)C(C)C	Training	2.17	2.221
705	81334-34-1	O=C(O)c2cccnc2(C1=NC(C(=O)N1)(C)C(C)C)	Training	2	1.632
706	81335-37-7	O=C(O)c2cc3ccccc3(nc2(C1=NC(C(=O)N1)(C)C(C)C))	Training	1.3	2.051
707	81335-77-5	O=C(O)c2cc(cnc2(C1=NC(C(=O)N1)(C)C(C)C))CC	Training	0.85	2.226
708	81777-89-1	O=C1N(OCC1(C)C)Cc2ccccc2Cl	Training	2.44	2.799
709	82097-50-5	O=C(Nc1nc(nc(n1)C)OC)NS(=O)(=O)c2ccccc2(OCCCl)	Training	2.02	1.865
710	82558-50-7	O=C(Nc1onc(c1)C(C)(CC)CC)c2c(OC)cccc2(OC)	Training	2.4	2.639
711	82657-04-3	O=C(OCc2cccc(c1ccccc1)c2C)C3C(C=C(C(F)(F)F)Cl)C3(C)(C)	Training	5.35	4.766
712	83055-99-6	O=C(OC)c1ccccc1CS(=O)(=O)NC(=O)Nc2nc(OC)cc(n2)OC	Training	2.5	1.769
713	85509-19-9	Fc1ccc(cc1)[Si](c2ccc(F)cc2)(C)Cn3ncnc3	Training	3.22	2.956
714	86209-51-0	O=C(OC)c1ccccc1S(=O)(=O)NC(=O)Nc2nc(OC(F)F)cc(n2)OC(F)F	Training	1.08	1.927
715	87818-31-3	O(Cc1ccccc1C)C3CC2(OC3(C)(CC2))C(C)C	Training	2.6	2.948
716	88671-89-0	N#CC(c1ccc(cc1)Cl)(Cn2ncnc2)CCCC	Training	2.7	2.887
717	90982-32-4	O=C(OCC)c1ccccc1S(=O)(=O)NC(=O)Nc2nc(OC)cc(n2)Cl	Training	2.04	1.903
718	97780-06-8	O=C(OC)c1ccccc1S(=O)(=O)NC(=O)Nc2nc(nc(n2)NC)OCC	Training	1.93	1.842
719	98967-40-9	O=S(=O)(Nc1c(F)cccc1(F))c2nc3nc(ccn3(n2))C	Training	1.45	2.453
720	101200-48-0	O=C(OC)c1ccccc1S(=O)(=O)NC(=O)N(c2nc(nc(n2)C)OC)C	Training	1.72	1.592
721	111991-09-4	O=C(Nc1nc(OC)cc(n1)OC)NS(=O)(=O)c2ncccc2(C(=O)N(C)C)	Training	1.48	1.838
722	120162-55-2	O=C(Nc1nc(OC)cc(n1)OC)NS(=O)(=O)c2c(cnn2C)c3nnn(n3)C	Training	1.89	1.681
723	122931-48-0	O=C(Nc1nc(OC)cc(n1)OC)NS(=O)(=O)c2ncccc2S(=O)(=O)CC	Training	1.71	1.83
724	123343-16-8	O=C(O)c1c(cccc1Sc2nc(OC)cc(n2)OC)Cl	Training	1.15	2.774
725	126535-15-7	O=C(OC)c1cccc(c1S(=O)(=O)NC(=O)Nc2nc(nc(n2)N(C)C)OCC(F)(F)F)C	Training	1.84	1.526
726	144740-54-5	O=C(OC)c1ccc(nc1S(=O)(=O)NC(O)=Nc2nc(OC)cc(n2)OC)C(F)(F)F	Training	1.46	1.831
727	NOCAS_876006	n2nc1c(cccc1CCCC)[nH]2	Training	2.16	2.075
728	NOCAS_878864	Fc1cccc2[nH]nnc12	Training	1.87	1.767
729	NOCAS_878862	n2nc1c(cccc1Cl)[nH]2	Training	1.98	1.605
