Name	Standardized SMILES	SMILES (ionized)	Exp (logK)	Prediction	Set	AD evaluation	ALOGP	P_VSA_i_2	MLOGP	P_VSA_p_3	Eta_betaP	CATS2D_00_LL	C.	PCD	Ui	N.	totalcharge	CATS2D_00_PP	C.024	nCsp2	MLOGP2	GATS1i	SpMax2_Bh.p.	nBM	MATS5e	AMW	F01.C.N.	T.O..O.	J_D.Dt	SpMax_AEA.dm.
Vardenafil	O=C1NC(=Nn2c(nc(c12)C)CCC)c3cc(ccc3(OCC))S(=O)(=O)N4CCN(CC)CC4	CCCC1=NC(C)=C2N1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(CC)CC1	1.278753601	1.27476837048	TS		2.873	108.773	2.537	114.581	17	10	34.8	2.707	3.392	9.1	0	0	3	11	6.436	1.647	3.838	15	-0.095	7.404	12	36	14.8283	4.727
Imatinib	O=C(Nc3ccc(c(N=C1N=C(C=CN1)c2cnccc2)c3)C)c4ccc(cc4)CN5CCN(C)CC5	C[NH+]1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC(=CC=N3)C3=CN=CC=C3)=C2)CC1	1.278753601	1.2351015193	TS		2.66	177.271	-0.777	177.271	26.5	15	42	4.413	3.807	10.1	1	1	10	22	0.603	1.428	3.852	25	-0.066	7.169	16	0	12.0714	3.573
Trimetrexate	N=C3NC(=N)c1c(ccc(c1C)CNc2cc(OC)c(OC)c(OC)c2)N3	COC1=CC(NCC2=C(C)C3=C(NC(=[NH2+])N=C3N)C=C2)=CC(OC)=C1OC	1.278753601	1.16389988464	TS		1.262	116.513	1.966	116.513	17.5	8	37.3	2.721	3.17	9.8	1	2	4	14	3.866	1.358	3.815	14	-0.27	7.264	8	10	15.0792	3.433
Delorazepam (Chlordesmethyldiazepam)	O=C1C=NC(c2cc(ccc2(N1))Cl)c3ccccc3Cl	ClC1=CC=C2NC(=O)C=NC(C3=CC=CC=C3Cl)C2=C1	1.269696036	1.25627589668	TS		3.703	96.215	3.087	174.512	15.5	11	50	2.673	3.17	6.7	0	0	7	14	9.531	1.05	3.779	14	-0.014	10.172	4	0	16.3536	3.628
Trimipramine	c1ccc3c(c1)N(c2ccccc2CC3)CC(C)CN(C)C	CC(CN1C2=CC=CC=C2CCC2=CC=CC=C12)C[NH+](C)C	1.269696036	1.13157076114	TS		3.276	122.593	0.42	122.593	12.5	14	40.8	2.436	2.807	4.1	1	1	8	12	0.176	1.395	3.748	12	-0.062	6.03	6	0	18.8762	3.435
Ceftriaxone	O=C(O)C4=C(CSC1=NC(=O)C(=O)NN1C)CSC3N4(C(=O)C3(NC(=O)C(=NOC)C2=CSC(=N)N2))	CON=C(C(=O)NC1C2SCC(CSC3=NC(=O)C([O-])=NN3C)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1	1.260804994	0.97288666415	TS		-0.862	66.544	1.404	162.261	16.5	4	34.6	1.664	3.524	15.4	-2	1	0	12	1.971	1.252	3.821	13	-0.133	10.627	14	184	13.8306	4.629
Clozapine	N=2c4cc(ccc4(Nc1ccccc1C=2N3CCN(C)CC3))Cl	C[NH+]1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12	1.235069119	1.1313156311	TS		2.387	100.437	-0.719	139.586	14.5	9	41.9	2.86	3	9.3	1	1	7	13	0.517	1.433	3.752	13	0.021	7.625	10	0	18.2619	3.457
Bupivacaine	O=C(Nc1c(cccc1C)C)C2N(CCCC)CCCC2	CCCC[NH+]1CCCCC1C(=O)NC1=C(C)C=CC=C1C	1.226783967	0.87788345223	TS		2.856	85.621	-0.569	85.621	8	13	36	1.16	2.322	4	1	1	3	7	0.324	1.476	3.765	7	-0.085	5.79	5	0	13.2776	3.786
R-Apomorphine	Oc1ccc4c(c1(O))c2cccc3c2C(N(C)CC3)C4	C[NH+]1CCC2=C3C1CC1=CC=C(O)C(O)=C1C3=CC=C2	1.218636837	1.05343172204	TS		1.505	78.88	-1.113	78.88	13	12	44.7	2.531	2.807	2.6	1	1	5	12	1.24	1.049	3.717	12	-0.017	7.062	3	3	22.3062	3.596
Azimilide	O=C3N(N=Cc1oc(cc1)c2ccc(cc2)Cl)C=C(O)N3CCCCN4CCN(C)CC4	CN1CC[NH+](CCCCN2C(=O)CN(N=CC3=CC=C(O3)C3=CC=C(Cl)C=C3)C2=O)CC1	1.194976603	1.13183530467	TS		2.157	120.675	-1.283	159.823	14.5	10	37.7	2.619	3.248	8.2	1	1	6	13	1.645	1.601	3.726	14	-0.043	7.525	12	17	11.4993	4.001
Clindamycin	O=C(NC(C1OC(C(O)C(O)C1(O))SC)C(C)Cl)C2N(C)CC(CCC)C2	CCCC1CC([NH+](C)C1)C(=O)NC(C(C)Cl)C1OC(SC)C(O)C(O)C1O	1.194976603	0.6458472697	TS		-0.178	47.651	-3.437	119.019	1.5	8	29.5	0.051	1	3.3	1	1	0	1	11.814	1.536	3.727	1	-0.018	6.985	5	46	14.1632	4.444
Prazosin	O=C(c1occc1)N4CCN(C2=NC(=N)c3cc(OC)c(OC)cc3(N2))CC4	COC1=C(OC)C=C2C(N)=NC(=[NH+]C2=C1)N1CCN(CC1)C(=O)C1=CC=CO1	1.194976603	1.11704843674	TS		2.004	109.418	1.241	109.418	16.5	5	38	2.919	3.322	10	1	2	4	13	1.541	1.585	3.759	17	-0.138	7.689	11	54	13.2081	3.696
Diazoxide	O=S2(=O)(N=C(Nc1ccc(cc12)Cl)C)	CC1=NS(=O)(=O)C2=CC(Cl)=CC=C2N1	1.194976603	0.90397919084	TS		1.669	47.39	1.901	92.346	11	5	38.1	1.824	2.807	9.5	0	0	3	7	3.613	1.365	3.555	9	-0.137	10.985	3	2	14.9709	4.718
Flavopiridol	O=C1C=C(Oc2c1c(O)cc(O)c2C3CCN(C)CC3(O))c4ccccc4Cl	C[NH+]1CCC(C(O)C1)C1=C2OC(=CC(O)=C2C([O-])=CC1=O)C1=CC=CC=C1Cl	1.194976603	1.09485860582	TS		-0.91	105.444	-1.963	144.593	13.5	12	43.8	2.6	3.17	2.1	0	1	4	15	3.854	1.121	3.828	11	-0.096	8.372	3	50	15.9504	3.738
Piritramide	N#CC(c1ccccc1)(c2ccccc2)CCN4CCC(C(=O)N)(N3CCCCC3)CC4	NC(=O)C1(CC[NH+](CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)N1CCCCC1	1.187335757	1.01988035969	TS		1.955	148.176	-0.818	148.176	16.5	19	40.3	1.362	3.322	6	1	2	10	13	0.669	1.287	3.818	14	0.001	6.443	8	0	11.5591	4.521
Digitoxin	Oc1occ(c1)C6CCC7(O)(C8CCC5CC(OC4OC(C)C(OC3OC(C)C(OC2OC(C)C(O)C(O)C2)C(O)C3)C(O)C4)CCC5(C)C8(CCC67(C)))	CC1OC(CC(O)C1O)OC1C(O)CC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CCC4(C)C(CCC54O)C4=COC(=O)C4)C3)OC2C)OC1C	1.150802941	0.92988012269	TS		2.603	100.065	1.662	100.065	2.5	25	34.7	0.3	1.585	0	0	0	0	3	2.763	1.384	3.826	2	0.056	6.483	0	885	15.3448	4.088
Cyclosporine	O=C1NC(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)NC(C(=O)N(C)CC(=O)N(C)C(C(=O)NC(C(=O)N(C)C(C(=O)NC1C)CC(C)C)C(C)C)CC(C)C)CC)C(O)C(C)CC=CC)C(C)C)CC(C)C)CC(C)C)C	CCC1NC(=O)C(C(O)C(C)CC=CC)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C	1.136907	0.87189727268	TS		5.614	296.82	-0.321	296.82	17.5	32	31.6	0.281	3.7	5.6	0	0	0	13	0.103	1.864	3.724	12	0.03	6.137	29	729	94.9551	4.039
Cefoperazone	O=C(O)C5=C(CSc1nnnn1C)CSC4N5(C(=O)C4(NC(=O)C(NC(=O)N2C(=O)C(=O)N(CC)CC2)c3ccc(O)cc3))	CCN1CCN(C(=O)NC(C(=O)NC2C3SCC(CSC4=NN=NN4C)=C(N3C2=O)C([O-])=O)C2=CC=C(O)C=C2)C(=O)C1=O	1.123384909	0.6448205395	TS		-0.958	102.873	0.872	167.312	21.5	9	35.7	1.659	3.755	12.9	-1	0	4	15	0.76	1.345	3.842	18	0.004	9.211	16	242	13.6582	4.622
Amitriptyline	c1ccc3c(c1)C(=CCCN(C)C)c2ccccc2CC3	C[NH+](C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12	1.123384909	1.05995707131	TS		3.211	127.716	1.077	127.716	13.5	17	44.4	2.793	3	2.2	1	1	8	14	1.159	1.17	3.748	13	0.007	6.188	3	0	18.8009	3.274
Papaverine	n2ccc1cc(OC)c(OC)cc1c2Cc3ccc(OC)c(OC)c3	COC1=CC=C(CC2=NC=CC3=CC(OC)=C(OC)C=C23)C=C1OC	1.103756874	1.24782411385	TS		3.504	144.034	2.443	144.034	18	10	43.5	3.426	3.248	2.2	0	0	6	15	5.969	1.309	3.827	17	-0.154	7.379	2	46	15.1259	3.312
Idarubicin	O=C(C)C3(O)(C=C(OC1OC(C)C(O)C(N)C1)c2c(O)c4c(O)c5ccccc5(c(O)c4(c(O)c2C3)))	CC1OC(CC([NH3+])C1O)OC1=CC(O)(CC2=C1C(O)=C1C(O)=C3C=CC=CC3=C(O)C1=C2O)C(C)=O	1.084858379	0.9502709488	TS		-0.238	97.5	-3.772	97.5	19	15	40.6	3.998	3.459	1.6	1	1	4	17	14.228	0.946	3.844	18	0.08	7.79	1	232	22.0815	4.187
Haloperidol	O=C(c1ccc(F)cc1)CCCN3CCC(O)(c2ccc(cc2)Cl)CC3	OC1(CC[NH+](CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1	1.06069784	1.02160397631	TS		2.327	116.391	0.322	155.54	13.5	15	42	1.865	3	2	1	1	8	13	0.104	1.071	3.858	13	0.05	7.538	3	9	11.2331	3.802
Terazosin	O=C(N3CCN(C1=NC(=N)c2cc(OC)c(OC)cc2(N1))CC3)C4OCCC4	COC1=C(OC)C=C2C(N)=NC(=[NH+]C2=C1)N1CCN(CC1)C(=O)C1CCCO1	1.06069784	0.56926725109	TS		1.384	82.938	1.399	82.938	12.5	5	35.2	2.342	2.907	9.3	1	2	2	9	1.956	1.676	3.699	12	-0.147	7.194	11	54	13.2081	3.867
Daptomycin	O=C(O)CC3NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CCCCCCCCC)Cc2c[nH]c1ccccc12)CC(=O)N)CC(=O)O)C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3(=O))CO)C(C)CC(=O)O)CC(=O)c4ccccc4(N))C)CCCN)CC(=O)O)C	CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NC(CC(N)=O)C(=O)NC(CC([O-])=O)C(=O)NC1C(C)OC(=O)C(CC(=O)C2=CC=CC=C2N)NC(=O)C(NC(=O)C(CO)NC(=O)CNC(=O)C(CC([O-])=O)NC(=O)C(C)NC(=O)C(CC([O-])=O)NC(=O)C(CCC[NH3+])NC(=O)CNC1=O)C(C)CC([O-])=O	1.043291243	0.88243935866	TS		-7.633	288.456	-9.272	288.456	44.5	33	33.8	1.764	4.858	8	-3	3	8	34	85.977	1.498	3.892	36	0.197	7.596	31	4465	45.5381	3.917
Valproic Acd	O=C(O)C(CCC)CCC	CCCC(CCC)C([O-])=O	1.037616188	0.64792350605	TS		2.047	34.503	2.06	34.503	1.5	7	32	0.149	1	0	-1	0	0	1	4.244	1.562	3.348	1	-0.189	5.729	0	2	9	3.722
Alfentanil	O=C1N(N=NN1CCN3CCC(N(C(=O)CC)c2ccccc2)(COC)CC3)CC	CCN1N=NN(CC[NH+]2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O	1.026447744	0.65643013033	TS		0.685	110.376	-1.153	110.376	10.5	10	33.3	1.159	2.807	9.5	1	1	5	8	1.329	1.615	3.732	9	-0.08	6.629	10	26	12.2601	3.941
Mebendazole	O=C(N=C1Nc2ccc(cc2(N1))C(=O)c3ccccc3)OC	COC(=O)NC1=NC2=CC(=CC=C2N1)C(=O)C1=CC=CC=C1	1.026447744	1.1530919611	TS		3.055	111.148	2.417	111.148	17.5	10	45.7	3.09	3.459	8.6	0	0	8	15	5.841	1.218	3.819	18	-0.107	8.438	6	20	12.7048	3.644
Folinic acid	O=CN1C=3C(=O)NC(=N)NC=3(NCC1CNc2ccc(cc2)C(=O)NC(C(=O)O)CCC(=O)O)	NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)NC(CCC([O-])=O)C([O-])=O)N2C=O)N1	1.020951525	0.91363277421	TS		-2.717	93.946	0.167	93.946	17	7	36.4	1.978	3.459	12.7	-2	1	4	14	0.028	1.517	3.737	13	-0.015	8.572	14	204	15.1831	3.777
Gefitinib	Fc4ccc(N=C2N=CNc3cc(OC)c(OCCCN1CCOCC1)cc23)cc4Cl	COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC=C(F)C(Cl)=C3)=NC=NC2=C1	1.01012837	1.12556481716	TS		4.203	122.422	2.907	161.571	17.5	8	40	3.35	3.248	7.3	0	0	5	14	8.449	1.345	3.819	17	0.081	8.126	9	20	14.31	3.319
Lorazepam	O=C2Nc1ccc(cc1C(NC2(=O))c3ccccc3Cl)Cl	ClC1=CC=C2NC(=O)C(=O)NC(C3=CC=CC=C3Cl)C2=C1	1.004798883	1.01477571897	TS		2.999	91.872	2.685	170.169	15.5	11	48.4	2.389	3.17	6.5	0	0	7	14	7.211	1.033	3.779	14	-0.035	10.36	4	3	16.7739	3.87
Pancuronium	O=C(OC4CC6CCC1C(CCC2(C)(C(OC(=O)C)C(CC12)[N+]3(C)(CCCCC3)))C6(C)(CC4[N+]5(C)(CCCCC5)))C	CC(=O)OC1C(CC2C3CCC4CC(OC(C)=O)C(CC4(C)C3CCC12C)[N+]1(C)CCCCC1)[N+]1(C)CCCCC1	1.004798883	0.84679094742	TS		2.793	107.848	-2.029	107.848	3	23	34.7	0.082	1.585	2	2	2	0	2	4.116	1.623	3.852	2	0.009	5.673	8	52	19.753	3.941
Brotizolam	n1nc3n(c1C)c2c(cc(Br)s2)C(=NC3)c4ccccc4Cl	CC1=NN=C2CN=C(C3=C(SC(Br)=C3)N12)C1=CC=CC=C1Cl	0.994298021	1.08197278163	TS		4.081	123.708	4.697	194.134	15.5	11	46.9	3.343	3.322	12.5	0	0	5	13	22.06	1.048	3.817	17	-0.09	12.303	7	0	17.1539	3.51
Verapamil	N#CC(c1ccc(OC)c(OC)c1)(CCCN(C)CCc2ccc(OC)c(OC)c2)C(C)C	COC1=CC=C(CC[NH+](C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC	0.989124339	1.16346854443	TS		3.974	182.198	-0.454	182.198	17	15	37.5	1.895	3.17	2.8	1	1	6	12	0.206	1.478	3.861	13	-0.113	6.329	4	66	15.1864	4.443
Pyrimethamine	N=C2NC(=N)C(c1ccc(cc1)Cl)=C(N2)CC	CCC1=[NH+]C(N)=NC(N)=C1C1=CC=C(Cl)C=C1	0.978924974	0.91498736242	TS		2.647	66.12	3.048	105.269	12	9	38.7	2.332	2.807	12.9	1	3	4	10	9.293	1.146	3.649	12	-0.311	8.056	6	0	12.0236	3.239
Finasteride	O=C1C=CC4(C)(C(N1)CCC2C4(CCC3(C)(C(C(=O)NC(C)(C)C)CCC23)))	CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C	0.978924974	1.07662366389	TS		3.174	87.695	3.652	87.695	4.5	19	36.5	0.48	2	3.2	0	0	0	4	13.334	1.338	3.774	3	-0.144	5.914	4	11	20.57	3.914
Biperiden	OC(c1ccccc1)(CCN2CCCCC2)C4CC3C=CC4(C3)	OC(CC[NH+]1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1	0.968916016	0.78090836127	TS		2.088	91.044	0.275	91.044	7	17	39.6	1.036	2.322	1.9	1	1	5	8	0.076	1.237	3.812	7	-0.045	5.897	3	0	10.5453	3.914
Ertapenem	O=C(O)c1cccc(c1)NC(=O)C2NCC(C2)SC4=C(C(=O)O)N3C(=O)C(C(O)C)C3C4C	CC(O)C1C2C(C)C(SC3C[NH2+]C(C3)C(=O)NC3=CC(=CC=C3)C([O-])=O)=C(N2C1=O)C([O-])=O	0.954242509	0.77105899646	TS		-2.954	93.284	-2.267	125.504	14	11	38.6	1.549	3.17	5.3	-1	1	4	12	5.141	1.228	3.858	11	-0.059	8.326	7	203	13.2276	4.651
Erythromycin	O=C3OC(CC)C(O)(C)C(O)C(C(=O)C(C)CC(O)(C)C(OC1OC(C)CC(N(C)C)C1(O))C(C)C(OC2OC(C)C(O)C(OC)(C)C2)C3C)C	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)[NH+](C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O	0.954242509	0.57627691478	TS		0.091	139.11	-3.823	139.11	3	18	31.1	0.063	1.585	0.8	1	1	0	2	14.616	1.64	3.723	2	-0.021	6.177	3	564	27.5028	3.948
Risperidone	O=C1C(=C(N=C2N1CCCC2)C)CCN5CCC(c4noc3cc(F)ccc34)CC5	CC1=C(CC[NH+]2CCC(CC2)C2=NOC3=CC(F)=CC=C23)C(=O)N2CCCCC2=N1	0.954242509	0.91912853709	TS		1.757	93.146	-0.071	93.146	12.5	13	39.7	2.814	3.17	6.9	1	1	3	11	0.005	1.265	3.827	13	-0.041	7.096	9	11	13.6032	3.841
Triazolam	n4nc1n(c3ccc(cc3(C(=NC1)c2ccccc2Cl))Cl)c4C	CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=CC(Cl)=CC=C3N12	0.954242509	1.01345190796	TS		4.391	100.806	4.972	179.104	17.5	12	48.6	3.612	3.392	11.4	0	0	7	15	24.718	1.138	3.8	18	0.026	9.807	7	0	18.2754	3.491
Fluticasone propionate	O=C(OC3(C(=O)SCF)(C(C)CC2C4CC(F)=C1CC(=O)C=CC1(C)C4(F)(C(O)CC23(C))))CC	CCC(=O)OC1(C(C)CC2C3CC(F)=C4CC(=O)C=CC4(C)C3(F)C(O)CC12C)C(=O)SCF	0.954242509	1.11525020557	TS		3.462	101.891	3.412	134.111	7	18	38.5	0.928	2.585	0	0	0	0	7	11.64	0.966	3.827	5	0	7.702	0	68	23.4874	4.872
Fluorescein	O=C4OC2(c3ccc(O)cc3(Oc1cc(O)ccc12))c5ccccc45	OC1=CC=C2C(OC3=CC(O)=CC=C3C22OC(=O)C3=CC=CC=C23)=C1	0.907997321	1.20519274765	TS		3.686	125.183	2.714	125.183	21	14	54.1	3.637	3.459	0	0	0	10	19	7.363	0.814	3.786	19	-0.197	8.982	0	56	19.7805	4.402
Promazine	c1ccc3c(c1)N(c2ccccc2S3)CCCN(C)C	C[NH+](C)CCCN1C2=CC=CC=C2SC2=CC=CC=C12	0.907997321	0.9246320961	TS		2.515	107.964	-0.422	140.183	13	10	41.5	2.452	2.807	4.9	1	1	8	12	0.178	1.281	3.707	12	-0.068	6.963	6	0	17.3012	4.606
Cocaine	O=C(OC2CC1N(C)C(CC1)C2(C(=O)OC))c3ccccc3	COC(=O)C1C2CCC(CC1OC(=O)C1=CC=CC=C1)[NH+]2C	0.865301426	0.50500154467	TS		0.558	91.833	-1.27	91.833	9	10	38.6	1.032	2.585	2.3	1	1	5	8	1.614	1.418	3.828	8	-0.21	6.918	3	24	12.6527	3.886
Doxycycline	O=C(N)C3C(=O)C(N(C)C)C4C(O)C2C(C(=O)c1c(O)cccc1C2(C))C(=O)C4(O)(C3(=O))	CC1C2C(O)C3C([NH+](C)C)C([O-])=C(C(N)=O)C(=O)C3(O)C(O)=C2C(=O)C2=C(O)C=CC=C12	0.865301426	0.320372318505	TS		-3.206	86.527	-4.559	86.527	14	11	39.3	2.171	3.17	3.6	0	2	3	13	20.788	1.087	3.832	11	0.015	7.937	4	158	25.4555	4.373
Drotaverine	N2=C(c1cc(OCC)c(OCC)cc1CC2)Cc3ccc(OCC)c(OCC)c3	CCOC1=CC=C(CC2=NCCC3=CC(OCC)=C(OCC)C=C23)C=C1OCC	0.865301426	1.14686486054	TS		4.934	141.514	2.996	141.514	15.5	14	40	2.627	3	1.7	0	0	5	13	8.979	1.375	3.821	13	-0.095	6.626	2	46	15.9148	3.414
Etoposide	O=C5OCC6C(OC1OC2COC(OC2(C(O)C1(O)))C)c3cc7OCOc7(cc3C(c4cc(OC)c(O)c(OC)c4)C56)	COC1=CC(=CC(OC)=C1O)C1C2C(COC2=O)C(OC2OC3COC(C)OC3C(O)C2O)C2=CC3=C(OCO3)C=C12	0.865301426	1.01354919926	TS		0.91	122.772	0.133	122.772	16	11	39.2	2.106	3	0	0	0	4	13	0.018	1.323	3.781	13	-0.013	7.954	0	598	19.3856	3.959
Hydralazine	N(N)=C1NN=Cc2ccccc12	NNC1=[NH+]N=CC2=CC=CC=C12	0.865301426	0.50885573849	TS		0.667	54.426	1.522	54.426	9.5	6	38.1	2.38	2.7	19	1	2	4	8	2.316	0.783	3.253	11	-0.322	7.677	3	0	14.2273	3.064
Lormetazepam	O=C1N(c3ccc(cc3(C(=NC1(O))c2ccccc2Cl))Cl)C	CN1C2=CC=C(Cl)C=C2C(=NC(O)C1=O)C1=CC=CC=C1Cl	0.865301426	1.13759611351	TS		3.709	98.321	3.597	176.618	15.5	11	47.1	2.593	3.17	5.9	0	0	7	14	12.938	1.191	3.782	14	-0.071	9.859	5	3	17.2642	3.902
Nortriptyline	c1ccc3c(c1)C(=CCCNC)c2ccccc2CC3	C[NH2+]CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12	0.865301426	0.98131329559	TS		3.005	119.32	0.849	119.32	13.5	17	45.2	2.768	3	2.4	1	1	8	14	0.721	1.034	3.748	13	-0.008	6.296	2	0	19.0069	3.274
Paclitaxel	O=C(OC3C5C6(OC(=O)C)(COC6(CC(O)C5(C(=O)C(OC(=O)C)=C4C(C)C(OC(=O)C(O)C(NC(=O)c1ccccc1)c2ccccc2)CC3(O)C4(C)C)(C))))c7ccccc7	CC1C(CC2(O)C(OC(=O)C3=CC=CC=C3)C3C4(COC4CC(O)C3(C)C(=O)C(OC(C)=O)=C1C2(C)C)OC(C)=O)OC(=O)C(O)C(NC(=O)C1=CC=CC=C1)C1=CC=CC=C1	0.865301426	1.06475105904	TS		2.926	261.346	2.322	261.346	28.5	31	41.6	1.859	4.087	0.9	0	0	15	26	5.393	1.182	3.886	25	0.021	7.557	2	661	21.1883	4.312
Beclomethasone dipropionate	O=C(OCC(=O)C3(OC(=O)CC)(C(C)CC2C4CC=C1CC(=O)C=CC1(C)C4(C(O)CC23(C))Cl))CC	CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(Cl)C(O)CC12C	0.8255759	1.13030928886	TS		3.576	120.19	3.104	159.338	8.5	21	38.4	0.953	2.807	0	0	0	0	8	9.635	1.26	3.828	6	-0.011	7.138	0	144	22.7363	4.433
Budesonide	O=C5C=CC3(C(=CCC2C4CC1OC(OC1(C(=O)CO)C4(C)(CC(O)C23))CCC)C5)(C)	CCCC1OC2CC3C4CC=C5CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO	0.8255759	0.72728039545	TS		1.711	83.924	2.014	83.924	5.5	18	38.5	0.886	2.322	0	0	0	0	6	4.058	1.207	3.824	4	-0.073	6.624	0	95	23.8184	4.426
Nafcillin	O=C(O)C4N3C(=O)C(NC(=O)c2c(OCC)ccc1ccccc12)C3SC4(C)(C)	CCOC1=CC=C2C=CC=CC2=C1C(=O)NC1C2SC(C)(C)C(N2C1=O)C([O-])=O	0.8255759	1.28942824094	TS		1.84	117.624	2.604	149.844	15	13	42	2.505	3.248	4	-1	0	6	13	6.781	1.204	3.888	14	-0.038	8.27	5	64	15.1895	4.952
Nitrazepam	O=C2C=NC(c1ccccc1)c3cc(ccc3(N2))[N+](=O)[O-]	[O-][N+](=O)C1=CC=C2NC(=O)C=NC(C3=CC=CC=C3)C2=C1	0.8255759	0.89804411191	TS		2.269	101.447	2.057	101.447	18.5	10	46.9	2.754	3.459	9.4	0	0	8	14	4.232	1.016	3.774	16	-0.056	8.79	5	18	16.0816	3.787
Probenecid	O=C(O)c1ccc(cc1)S(=O)(=O)N(CCC)CCC	CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C([O-])=O	0.8255759	0.67893253389	TS		2.143	76.287	1.979	82.094	10.5	9	35.1	1.367	2.807	2.7	-1	0	4	7	3.915	1.545	3.653	9	-0.303	7.686	2	32	12.6165	4.725
Propranolol	OC(COc1cccc2ccccc12)CNC(C)C	CC(C)[NH2+]CC(O)COC1=CC=CC2=CC=CC=C12	0.8255759	0.69208179012	TS		1.31	101.072	-1.15	101.072	10.5	11	39	2.336	2.7	2.4	1	1	7	10	1.323	1.223	3.601	11	-0.047	6.351	2	3	13.6643	3.176
Selegiline	C#CCN(C)C(C)Cc1ccccc1	CC(CC1=CC=CC=C1)[NH+](C)CC#C	0.8255759	0.68845005193	TS		2.234	112.78	-0.385	112.78	8	10	40.6	1.284	2.585	3.1	1	1	5	6	0.148	1.361	3.596	7	0.066	5.885	3	0	10.0777	3.121
Quinacrine	N(=C1c3ccc(cc3(Nc2ccc(OC)cc12))Cl)C(C)CCCN(CC)CC	CC[NH+](CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=[NH+]C2=CC=C(OC)C=C12	0.8255759	0.7895026953	TS		4.002	126.537	0.224	165.686	14	14	38.3	3.543	3.17	5	2	2	6	13	0.05	1.41	3.721	16	0.154	6.7	7	0	17.9826	3.316
Melphalan	O=C(O)C(N)Cc1ccc(cc1)N(CCCl)CCCl	[NH3+]C(CC1=CC=C(C=C1)N(CCCl)CCCl)C([O-])=O	0.788370416	0.36209539188	TS		0.763	63.007	-1.309	141.304	8	8	35.1	1.237	2.322	5.4	0	1	4	7	1.715	1.414	3.512	7	0.022	8.249	4	2	12.5809	3.735
Nadolol	OC(COc1cccc2c1CC(O)C(O)C2)CNC(C)(C)C	CC(C)(C)[NH2+]CC(O)COC1=CC=CC2=C1CC(O)C(O)C2	-0.788370416	-0.69213527138	TS		-0.084	78.286	-2.326	78.286	6.5	10	34	1.26	2	2	1	1	3	6	5.411	1.331	3.664	6	0.084	6.209	2	34	14.9122	3.381
Vinblastine	O=C(OC2C(O)(C(=O)OC)C5N(c1cc(OC)c(cc1C45(CCN3CC=CC2(CC)C34))C9(C(=O)OC)(c7[nH]c6ccccc6c7CCN8CC(CC(O)(C8)CC)C9))C)C	CCC1(O)CC2C[NH+](C1)CCC1=C(NC3=CC=CC=C13)C(C2)(C(=O)OC)C1=C(OC)C=C2N(C)C3C4(CC[NH+]5CC=CC(CC)(C45)C(OC(C)=O)C3(O)C(=O)OC)C2=C1	0.788370416	0.46513092751	TS		1.766	215.672	-4.673	215.672	20.5	25	38.7	3.7	3.7	3.4	2	2	6	19	21.839	1.392	4.035	20	0.003	6.833	11	281	25.4791	4.415
