No.	CAS	SMILES	Set	Exp KOA	Pred (weighted)
141	142-92-7	O=C(OCCCCCC)C	Training	4.58	4.4993
142	142-96-1	O(CCCC)CCCC	Training	3.89	3.9256
143	156-59-2	C(=CCl)Cl	Training	2.56	2.8763
144	206-44-0	c1ccc2c(c1)c4cccc3cccc2c34	Training	8.88	8.9344
145	309-00-2	C1=CC2CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl	Training	8.08	9.7372
146	540-54-5	CCCCl	Training	2.24	2.1714
147	541-73-1	c1cc(cc(c1)Cl)Cl	Training	4.12	4.5399
148	563-80-4	O=C(C)C(C)C	Training	3.04	2.7480
149	591-78-6	O=C(C)CCCC	Training	3.68	3.5843
150	592-41-6	C=CCCCC	Training	2.41	2.7480
151	608-93-5	c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	6.49	6.6063
152	628-55-7	O(CC(C)C)CC(C)C	Training	3.4	3.5848
153	628-63-7	O=C(OCCCCC)C	Training	4.12	3.8791
154	628-73-9	N#CCCCCC	Training	4.08	4.0259
155	629-96-9	OCCCCCCCCCCCCCCCCCCCC	Training	12.06	9.7878
156	634-66-2	c1cc(c(c(c1Cl)Cl)Cl)Cl	Training	5.64	5.7901
157	634-90-2	c1c(cc(c(c1Cl)Cl)Cl)Cl	Training	5.55	5.7894
158	693-65-2	O(CCCCC)CCCCC	Training	4.8	4.9578
159	789-02-6	c1ccc(c(c1)C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	9.45	9.1073
160	959-98-8	O=S1OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Training	8.64	11.4753
161	1634-04-4	O(C)C(C)(C)C	Training	2.58	2.4806
162	1746-01-6	O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl	Training	10.05	9.6933
163	1825-30-5	c2cc1c(cccc1Cl)c(c2)Cl	Training	6.65	6.9322
164	1825-31-6	c1ccc2c(c1)c(ccc2Cl)Cl	Training	6.78	6.9322
165	2050-47-7	O(c1ccc(cc1)Br)c2ccc(cc2)Br	Training	8.64	8.5779
166	2050-68-2	c1cc(ccc1c2ccc(cc2)Cl)Cl	Training	7.68	7.3376
167	2050-69-3	c1ccc2c(c1)ccc(c2Cl)Cl	Training	6.89	6.8915
168	2051-61-8	c1ccc(cc1)c2cccc(c2)Cl	Training	6.82	7.0921
169	2051-62-9	c1ccc(cc1)c2ccc(cc2)Cl	Training	6.8	7.0921
170	2198-77-8	c1cc(cc2cc(ccc12)Cl)Cl	Training	6.7	6.9322
171	2234-13-1	c12(c(c(c(c(c1Cl)Cl)Cl)Cl)c(c(c(c2Cl)Cl)Cl)Cl)	Training	11.05	10.5385
172	3268-87-9	O1c3c(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl	Training	12.05	11.0024
173	5103-71-9	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Training	8.895	9.7025
174	3734-49-4	C2(=C(C3(C1C(C(C(C1Cl)Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Training	9.43	10.5768
175	5436-43-1	O(c1ccc(cc1Br)Br)c2ccc(cc2Br)Br	Training	10.53	10.3357
176	13029-08-8	c1ccc(c(c1)c2ccccc2Cl)Cl	Training	7.18	7.3376
177	15862-07-4	c1ccc(cc1)c2cc(c(cc2Cl)Cl)Cl	Training	8	8.1004
178	16606-02-3	c1cc(ccc1c2cc(ccc2Cl)Cl)Cl	Training	7.92	8.0570
179	19408-74-3	O1c3cc(c(c(c3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl)Cl)Cl	Training	11.01	10.1884
180	20020-02-4	c1ccc2c(c1)c(c(c(c2Cl)Cl)Cl)Cl	Training	8.3	8.4914
181	27304-13-8	O1C2C3C(C(C12Cl)Cl)C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl	Training	8.39	10.0370
182	29446-15-9	O1c3ccccc3(Oc2cc(c(cc12)Cl)Cl)	Training	8.5	8.4537
