ID	CAS	MDL SMILES Structure	Status	Log BCF exp	LOO Knn Prediction
101	89-93-0	NCc1ccccc1C	Training	0.475	0.6791243906
102	90-20-0	O=S(=O)(O)c1cc(O)c2c(N)cc(cc2(c1))S(=O)(=O)O	Training	0.46	0.2817844506
103	90-30-2	c1ccc(cc1)Nc3cccc2ccccc23	Training	3.316	2.5285107849
104	90-41-5	Nc1ccccc1c2ccccc2	Training	1.47	1.7658337634
105	90-51-7	O=S(=O)(O)c1cc(O)c2cc(N)ccc2(c1)	Training	0.159	0.4718400549
106	90-94-8	O=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	1.591	1.3949335948
107	91-15-6	N#Cc1ccccc1(C#N)	Training	0.401	0.7324611262
108	91-20-3	c1ccc2ccccc2(c1)	Training	2.36	3.2585444293
109	91-22-5	n1cccc2ccccc12	Training	0.396	2.0415341374
110	91-23-6	O=[N+]([O-])c1ccccc1(OC)	Training	0.486	0.8603587123
111	91-57-6	c1ccc2cc(ccc2(c1))C	Training	3.11	3.288076537
112	91-58-7	c1ccc2cc(ccc2(c1))Cl	Training	3.63	2.7137047444
113	91-66-7	c1ccc(cc1)N(CC)CC	Training	2.065	1.1665695044
114	91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	Training	2.289	2.8864731089
115	91-96-3	O=C(Nc1ccc(cc1C)c2ccc(NC(=O)CC(=O)C)c(c2)C)CC(=O)C	Training	-0.247	1.4795885568
116	92-69-3	Oc1ccc(cc1)c2ccccc2	Training	1.677	1.8708419772
117	92-70-6	O=C(O)c1cc2ccccc2(cc1(O))	Training	0.318	0.9041167659
118	92-77-3	O=C(Nc1ccccc1)c2cc3ccccc3(cc2(O))	Training	0.698	1.3729427158
119	92-84-2	c1ccc3c(c1)Nc2ccccc2S3	Training	2.671	2.3733391934
120	92-86-4	c1cc(ccc1c2ccc(cc2)Br)Br	Training	3.995	3.2170453194
121	94-52-0	O=[N+]([O-])c1ccc2[nH]cnc2(c1)	Training	0.232	0.5231699306
122	95-48-7	Oc1ccccc1C	Training	1.03	0.9251368775
123	95-49-8	c1ccc(c(c1)C)Cl	Training	1.905	1.7805894588
124	95-50-1	c1ccc(c(c1)Cl)Cl	Training	2.5	2.7871203225
125	95-51-2	Nc1ccccc1Cl	Training	0.913	0.8610168972
126	95-56-7	Oc1ccccc1Br	Training	1.514	1.1625788202
127	95-57-8	Oc1ccccc1Cl	Training	1.061	1.075479989
128	95-63-6	c1cc(c(cc1C)C)C	Training	2.256	2.5709768443
129	95-64-7	Nc1ccc(c(c1)C)C	Training	0.645	0.6557862568
130	95-69-2	Nc1ccc(cc1C)Cl	Training	1.205	0.7477716331
131	95-76-1	Nc1ccc(c(c1)Cl)Cl	Training	1.148	1.7413170973
132	95-77-2	Oc1ccc(c(c1)Cl)Cl	Training	1.811	1.5807854452
133	95-78-3	Nc1cc(ccc1C)C	Training	0.487	0.867729622
134	95-80-7	Nc1ccc(c(N)c1)C	Training	1.199	0.7748760993
135	95-82-9	Nc1cc(ccc1Cl)Cl	Training	1.287	1.6888664855
136	95-94-3	c1c(c(cc(c1Cl)Cl)Cl)Cl	Training	3.705	3.4374354687
137	95-95-4	Oc1cc(c(cc1Cl)Cl)Cl	Training	2.455	1.8507866737
138	96-12-8	C(C(CBr)Br)Cl	Training	1.146	0.9681968742
139	96-18-4	C(C(CCl)Cl)Cl	Training	1.022	0.9898991531
140	96-29-7	ON=C(C)CC	Training	0.179	0.2391953783
141	96-45-7	N1C(NCC1)=S	Training	-0.289	0.0777874318
142	96-69-5	Oc1cc(c(cc1C(C)(C)C)Sc2cc(c(O)cc2C)C(C)(C)C)C	Training	0.818	2.4060530136
143	96-73-1	O=[N+]([O-])c1ccc(c(c1)S(=O)(=O)O)Cl	Training	0.48	0.835419613
144	96-76-4	Oc1ccc(cc1C(C)(C)C)C(C)(C)C	Training	2.511	3.3817566396
145	96-96-8	O=[N+]([O-])c1cc(OC)ccc1(N)	Training	0.724	0.6710090286
146	97-23-4	Oc1ccc(cc1Cc2cc(ccc2(O))Cl)Cl	Training	2.097	2.1871618103
147	98-08-8	FC(F)(F)c1ccccc1	Training	1.685	2.7780438968
148	98-10-2	O=S(=O)(N)c1ccccc1	Training	0.356	0.1975337703
149	98-15-7	FC(F)(F)c1cccc(c1)Cl	Training	2.32	2.6231324659
150	98-47-5	O=[N+]([O-])c1cccc(c1)S(=O)(=O)O	Training	0.7	0.247026723
151	98-54-4	Oc1ccc(cc1)C(C)(C)C	Training	1.753	1.1305183904
152	98-73-7	O=C(O)c1ccc(cc1)C(C)(C)C	Training	0.341	0.7143637884
153	98-83-9	C=C(c1ccccc1)C	Training	1.972	2.6905635153
154	98-84-0	NC(c1ccccc1)C	Training	0.641	0.565821791
155	98-95-3	O=[N+]([O-])c1ccccc1	Training	0.641	0.9739032215
156	99-08-1	O=[N+]([O-])c1cccc(c1)C	Training	0.95	1.0199364094
157	99-09-2	O=[N+]([O-])c1cccc(N)c1	Training	0.533	0.6938395793
158	99-54-7	O=[N+]([O-])c1ccc(c(c1)Cl)Cl	Training	1.917	1.8229815834
159	99-65-0	O=[N+]([O-])c1cccc(c1)[N+](=O)[O-]	Training	0.773	0.4504213321
160	99-71-8	Oc1ccc(cc1)C(C)CC	Training	1.387	1.5363753798
161	99-99-0	O=[N+]([O-])c1ccc(cc1)C	Training	0.913	1.0302566158
162	100-00-5	O=[N+]([O-])c1ccc(cc1)Cl	Training	1.618	1.364401657
163	100-01-6	O=[N+]([O-])c1ccc(N)cc1	Training	0.69	0.6517135581
164	100-02-7	O=[N+]([O-])c1ccc(O)cc1	Training	0.756	1.1127571865
165	100-17-4	O=[N+]([O-])c1ccc(OC)cc1	Training	0.779	0.7309593052
166	100-25-4	O=[N+]([O-])c1ccc(cc1)[N+](=O)[O-]	Training	-0.397	0.5346850016
167	100-26-5	O=C(O)c1ncc(cc1)C(=O)O	Training	0.355	-999
168	100-40-3	C=CC1CC=CCC1	Training	2.252	2.7737520381
169	100-43-6	n1ccc(C=C)cc1	Training	1.907	0.359831402
170	100-61-8	c1ccc(cc1)NC	Training	0.664	0.7992183714
171	101-02-0	O(c1ccccc1)P(Oc2ccccc2)Oc3ccccc3	Training	2.394	2.0936149381
172	101-14-4	Nc1ccc(cc1Cl)Cc2ccc(N)c(c2)Cl	Training	2.407	2.2449070089
173	101-53-1	Oc1ccc(cc1)Cc2ccccc2	Training	1.465	1.3240315347
174	101-77-9	Nc1ccc(cc1)Cc2ccc(N)cc2	Training	1.054	1.6723813239
175	101-81-5	c1ccc(cc1)Cc2ccccc2	Training	2.995	3.2832519193
176	101-84-8	O(c1ccccc1)c2ccccc2	Training	2.637	2.0628541462
177	102-06-7	N=C(Nc1ccccc1)Nc2ccccc2	Training	0.801	1.6775663324
178	102-70-5	C=CCN(CC=C)CC=C	Training	0.515	0.195
179	102-71-6	OCCN(CCO)CCO	Training	0.097	-0.1735892679
180	103-44-6	O(C=C)CC(CC)CCCC	Training	3.094	1.9405766403
181	103-50-4	O(Cc1ccccc1)Cc2ccccc2	Training	2.518	1.7086283187
182	103-69-5	c1ccc(cc1)NCC	Training	0.993	1.0466711681
183	103-83-3	c1ccc(cc1)CN(C)C	Training	0.948	0.4198524485
184	104-40-5	Oc1ccc(cc1)CCCCCCCCC	Training	2.546	2.327601019
185	104-88-1	O=Cc1ccc(cc1)Cl	Training	0.32	0.9751001594
186	105-05-5	c1cc(ccc1CC)CC	Training	2.734	2.7946692054
187	106-37-6	c1cc(ccc1Br)Br	Training	2.285	2.7950807492
188	106-41-2	Oc1ccc(cc1)Br	Training	1.242	1.2390999599
189	106-43-4	c1cc(ccc1C)Cl	Training	1.836	1.6463715864
190	106-46-7	c1cc(ccc1Cl)Cl	Training	2.67	2.8176518306
191	106-47-8	Nc1ccc(cc1)Cl	Training	0.599	0.8684666268
192	106-48-9	Oc1ccc(cc1)Cl	Training	1.347	1.0919696023
