Name	Standardized SMILES	SMILES (ionized)	Exp (square root of fraction unbound)	Prediction	Set	AD evaluation	ALOGP	P_VSA_i_2	MLOGP	P_VSA_p_3	Eta_betaP	CATS2D_00_LL	C.	PCD	Ui	CATS2D_01_LL	nCar	SpMin1_Bh.i.	Eta_betaP_A	SM12_AEA.ri.	N.	nN.	totalcharge	CATS2D_00_PP	SpMax2_Bh.m.	C.024
Amiodarone 	O=C(c1cc(c(OCCN(CC)CC)c(c1)I)I)c2c3ccccc3(oc2CCCC)	CCCCC1=C(C(=O)C2=CC(I)=C(OCC[NH+](CC)CC)C(I)=C2)C2=CC=CC=C2O1	0.014142136	0.227283918	TS		5.678	134.772	1.422	134.772	16	17	41	3.191	3.322	10	14	1.945	0.516	4.106	1.6	1	1	1	10.692	6
Verlukast	O=C(O)CCSC(c3cccc(C=Cc1nc2cc(ccc2(cc1))Cl)c3)SCCC(=O)N(C)C	CN(C)C(=O)CCSC(SCCC([O-])=O)C1=CC=CC(C=CC2=CC=C3C=CC(Cl)=CC3=N2)=C1	0.02	0.1121877039	TS		4.998	156.665	4.384	260.253	20.5	19	43.3	4.144	3.644	12	15	2.019	0.603	3.76	3.3	0	-1	0	4.082	9
Atovaquone	Oc1c(O)c(c(O)c2ccccc12)C4=CCC(c3ccc(cc3)Cl)CC4	OC1=C(O)C(=C(O)C2=CC=CC=C12)C1=CCC(CC1)C1=CC=C(Cl)C=C1	0.031622777	0.1976397533	TS		5.826	111.093	4.228	150.242	19	19	48.9	3.689	3.392	18	16	2.067	0.731	3.692	0	0	0	0	3.997	8
Bromfenac	O=C(O)Cc2cccc(C(=O)c1ccc(cc1)Br)c2(N)	NC1=C(C=CC=C1CC([O-])=O)C(=O)C1=CC=C(Br)C=C1	0.033166248	0.2119990068	TS		2.197	142.039	3.736	142.039	15.5	12	48.4	2.312	3.17	9	12	1.958	0.775	3.677	3.2	0	-1	1	3.953	7
Tesaglitazar	O=C(O)C(OCC)Cc2ccc(OCCc1ccc(OS(=O)(=O)C)cc1)cc2	CCOC(CC1=CC=C(OCCC2=CC=C(OS(C)(=O)=O)C=C2)C=C1)C([O-])=O	0.033166248	0.1878309538	TS		2.771	129.652	2.33	137.402	17.5	13	39.2	2.361	3.322	10	12	1.916	0.625	3.646	0	0	-1	0	3.895	8
Amsalog	O=C(NC)c2cccc3C(=Nc1ccc(cc1(OC))NS(=O)(=O)C)c4cccc(c4(Nc23))C	CNC(=O)C1=CC=CC2=C(NC3=CC=C(NS(C)(=O)=O)C=C3OC)C3=CC=CC(C)=C3[NH+]=C12	0.033166248	0.1890262729	TS		3.861	154.605	1.886	160.412	25	14	41.4	4.908	3.907	10	19	2.131	0.758	4.443	6.9	1	1	1	4.176	9
Ziprasidone	Oc1cc2cc(c(cc2([nH]1))Cl)CCN5CCN(c3nsc4ccccc34)CC5	ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1	0.034641016	0.2028130253	TS		4.259	95.435	3.443	165.636	16.5	12	42.9	3.196	3.322	8	13	1.913	0.589	4.087	8.2	0	0	0	4.067	6
Paricalcitol	OC3CC(=CC=C1CCCC2(C)(C1CCC2(C(C=CC(C)C(O)(C)C)C)))CC(O)C3	CC(C=CC(C)C(C)(C)O)C1CCC2C(CCCC12C)=CC=C1CC(O)CC(O)C1	0.04	0.1950418844	TS		4.863	108.678	4.472	108.678	4	24	36.5	1.373	2	22	0	1.93	0.133	3.327	0	0	0	0	3.778	0
Diflunisal	O=C(O)c1cc(ccc1(O))c2ccc(F)cc2(F)	OC1=CC=C(C=C1C([O-])=O)C1=CC=C(F)C=C1F	0.04	0.2613360452	TS		2.419	91.371	3.993	91.371	14	9	52	2.409	3	7	12	1.967	0.778	3.807	0	0	-1	0	3.752	6
Itraconazole	O=C1N(N=CN1c2ccc(cc2)N7CCN(c6ccc(OCC3OC(OC3)(c4ccc(cc4Cl)Cl)Cn5ncnc5)cc6)CC7)C(C)CC	CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=NC=N3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1	0.04472136	0.2259430294	TS		6.467	197.969	5.127	276.266	27	17	40.2	3.65	3.858	7	20	1.903	0.551	3.8	9.2	0	0	0	3.96	11
Montelukast	O=C(O)CC1(CC1)CSC(c4cccc(C=Cc2nc3cc(ccc3(cc2))Cl)c4)CCc5ccccc5C(O)(C)C	CC(C)(O)C1=CC=CC=C1CCC(SCC1(CC([O-])=O)CC1)C1=CC=CC(C=CC2=CC=C3C=CC(Cl)=CC3=N2)=C1	0.04472136	0.0983121166	TS		7.581	203.798	5.658	275.166	25	30	46.1	4.957	3.858	24	21	2.02	0.61	3.993	1.3	0	-1	0	4.047	13
Hydroxystaurosporine, 7-	O=C1NC(O)c8c1c3c2ccccc2n6c3c5c8(c4ccccc4n5C7(OC6CC(NC)C7(OC))(C))	C[NH2+]C1CC2OC(C)(C1OC)N1C3=C(C=CC=C3)C3=C1C1=C(C4=CC=CC=C4N21)C1=C3C(O)NC1=O	0.046904158	0.2767305398	TS		2.249	136.393	-1.295	136.393	19.5	16	44.4	5.329	3.807	13	18	2.027	0.542	4.71	6.3	1	1	1	3.986	8
Micafungin	O=C(NC1C(=O)NC(C(=O)N4CC(O)CC4(C(=O)NC(C(=O)NC(C(=O)N2CC(C)C(O)C2(C(=O)NC(O)C(O)C1))C(O)CC(=O)N)C(O)C(O)c3ccc(O)c(OS(=O)(=O)O)c3))C(O)C)c5ccc(cc5)c6noc(c6)c7ccc(OCCCCC)cc7	CCCCCOC1=CC=C(C=C1)C1=CC(=NO1)C1=CC=C(C=C1)C(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(NC(=O)C(NC(=O)C2CC(O)CN2C(=O)C(NC1=O)C(C)O)C(O)C(O)C1=CC=C(O)C(OS([O-])(=O)=O)=C1)C(O)CC(N)=O	0.047958315	0.4095099401	TS		-3.153	233.273	-4.204	242.241	38.5	26	35.2	3.736	4.492	17	21	1.919	0.433	4.079	5.7	0	-1	1	4.035	12
Nisoldipine	O=C(OC)C2=C(N=C(C)C(C(=O)OCC(C)C)C2(c1ccccc1[N+](=O)[O-]))C	COC(=O)C1=C(C)N=C(C)C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C	0.054772256	0.2814011985	TS		2.873	117.705	2.767	117.705	15	13	38.5	2.233	3.322	9	6	1.976	0.536	3.878	3.8	0	0	0	3.807	4
Suramin	O=C(Nc1cccc(c1)C(=O)Nc2cc(ccc2C)C(=O)Nc3ccc(c4cc(cc(c34)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)Nc5cccc(c5)C(=O)Nc6cc(ccc6C)C(=O)Nc7ccc(c8cc(cc(c78)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O	CC1=CC=C(C=C1NC(=O)C1=CC(NC(=O)NC2=CC=CC(=C2)C(=O)NC2=CC(=CC=C2C)C(=O)NC2=CC=C(C3=CC(=CC(=C23)S([O-])(=O)=O)S([O-])(=O)=O)S([O-])(=O)=O)=CC=C1)C(=O)NC1=CC=C(C2=CC(=CC(=C12)S([O-])(=O)=O)S([O-])(=O)=O)S([O-])(=O)=O	0.054772256	0.3271403683	TS		0.228	304.472	-0.841	348.053	72.5	34	42.5	10.134	5.358	24	44	2.152	0.843	4.992	5	0	-6	0	4.791	22
Aminocamptothecin, 9-	O=C2OCC=1C(=O)N4C(=CC=1C2(O)CC)c3nc5cccc(N)c5(cc3C4)	CCC1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC=C(N)C1=C3)C2=O	0.054772256	0.3977277095	TS		0.999	99.879	1.662	99.879	16.5	11	45.5	3.31	3.392	7	9	2.016	0.611	4.174	6.8	0	0	1	3.906	4
Meloxicam	O=C(N=C1NC=C(C)S1)C3C(=O)c2ccccc2S(=O)(=O)N3(C)	CN1C(C(=O)N=C2NC=C(C)S2)=C([O-])C2=CC=CC=C2S1(=O)=O	0.054772256	0.4178558192	TS		0.533	83.382	1.166	121.409	14.5	7	40	2.501	3.322	4	6	2.034	0.63	3.825	8.6	0	-1	0	4.041	4
Oxybutynin	O=C(OCC#CCN(CC)CC)C(O)(c1ccccc1)C2CCCCC2	CC[NH+](CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1	0.058309519	0.4077677598	TS		3.086	133.052	-0.424	133.052	9.5	16	37.9	1.346	2.807	13	6	1.938	0.365	3.066	1.7	1	1	1	3.714	5
Felodipine	O=C(OCC)C2=C(N=C(C)C(C(=O)OC)C2(c1cccc(c1Cl)Cl))C	CCOC(=O)C1=C(C)N=C(C)C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC	0.06	0.2225322532	TS		3.465	103.648	3.217	181.946	12	12	40.9	1.974	3	6	6	1.962	0.48	3.822	2.3	0	0	0	3.866	3
Clevidipine	O=C(OCOC(=O)CCC)C2=C(N=C(C)C(C(=O)OC)C2(c1cccc(c1Cl)Cl))C	CCCC(=O)OCOC(=O)C1=C(C)N=C(C)C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC	0.06164414	0.1827585261	TS		4.061	117.967	3.483	196.264	13.5	14	39.6	1.963	3.17	8	6	1.962	0.45	3.822	1.9	0	0	0	3.867	3
Maxipost	O=C2Nc1cc(ccc1C2(F)c3cc(ccc3(OC))Cl)C(F)(F)F	COC1=CC=C(Cl)C=C1C1(F)C(=O)NC2=CC(=CC=C12)C(F)(F)F	0.06164414	0.2406196701	TS		4.244	101.262	3.903	140.411	14.5	10	47.1	2.374	3	6	12	1.935	0.604	3.897	2.9	0	0	0	3.916	6
DHA Paclitaxel	O=C(OC3C5C6(OC(=O)C)(COC6(CC(O)C5(C(=O)C(OC(=O)C)=C4C(C)C(OC(=O)C(OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)C(NC(=O)c1ccccc1)c2ccccc2)CC3(O)C4(C)C)(C))))c7ccccc7	CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(C(NC(=O)C1=CC=CC=C1)C1=CC=CC=C1)C(=O)OC1CC2(O)C(OC(=O)C3=CC=CC=C3)C3C4(COC4CC(O)C3(C)C(=O)C(OC(C)=O)=C(C1C)C2(C)C)OC(C)=O	0.06164414	0.210215884	TS		9.973	411.353	5.237	411.353	36	52	41.6	2.964	4.585	45	18	2.022	0.424	3.854	0.6	0	0	0	3.914	15
Azapropazone	O=C2C(=C(O)N3C(=Nc1ccc(cc1N23)C)N(C)C)CCC	CCCC1=C([O-])N2N(C1=O)C1=CC(C)=CC=C1[NH+]=C2N(C)C	0.063245553	0.6021600524	TS		1.523	90.767	3.07	90.767	11	9	38.1	2.119	2.807	7	6	1.92	0.5	3.763	9.5	1	0	1	3.714	3
Telmisartan	O=C(O)c6ccccc6(c1ccc(cc1)Cn2c3cc(cc(c3(nc2CCC))C)c5nc4ccccc4n5C)	CCCC1=NC2=C(C)C=C(C=C2N1CC1=CC=C(C=C1)C1=CC=CC=C1C([O-])=O)C1=NC2=CC=CC=C2N1C	0.063245553	0.1320926948	TS		7.096	204.95	5.702	204.95	29.5	24	48.5	6.337	4.17	22	26	1.994	0.756	4.559	5.9	0	-1	0	4.025	14
Teniposide	O=C6OCC7C(OC1OC2COC(OC2(C(O)C1(O)))c3cccs3)c4cc8OCOc8(cc4C(c5cc(OC)c(O)c(OC)c5)C67)	COC1=CC(=CC(OC)=C1O)C1C2C(COC2=O)C(OC2OC3COC(OC3C(O)C2O)C2=CC=CS2)C2=CC3=C(OCO3)C=C12	0.066332496	0.2205935779	TS		2.486	141.907	0.55	173.185	20	13	41	2.557	3.392	10	16	2.012	0.435	4.06	0	0	0	0	4.068	6
Amlodipine	O=C(OCC)C2=C(N=C(C)C(C(=O)OC)C2(c1ccccc1Cl))COCCN	CCOC(=O)C1=C(COCC[NH3+])N=C(C)C(C1C1=CC=CC=C1Cl)C(=O)OC	0.070710678	0.5910619772	TS		0.487	112.089	-2.043	151.238	12	11	37	1.858	3	7	6	1.962	0.429	3.69	3.7	1	1	1	3.827	4
Mibefradil	O=C(OC2(CCc1cc(F)ccc1C2(C(C)C))(CCN(C)CCCc3nc4ccccc4([nH]3)))COC	COCC(=O)OC1(CC[NH+](C)CCCC2=NC3=CC=CC=C3N2)CCC2=CC(F)=CC=C2C1C(C)C	0.070710678	0.2162002719	TS		4.026	154.04	0.779	154.04	15.5	18	38.7	2.816	3.322	14	13	2.001	0.431	4.02	4	1	1	1	3.991	7
Cilomilast	N#CC3(c2ccc(OC)c(OC1CCCC1)c2)(CCC(C(=O)O)CC3)	COC1=CC=C(C=C1OC1CCCC1)C1(CCC(CC1)C([O-])=O)C#N	0.077459667	0.249422398	TS		3.471	96.577	2.567	96.577	11.5	14	40.8	1.344	2.807	13	6	1.963	0.46	3.537	2	0	-1	0	3.746	3
Ibuprofen	O=C(O)C(c1ccc(cc1)CC(C)C)C	CC(C)CC1=CC=C(C=C1)C(C)C([O-])=O	0.077459667	0.3765727787	TS		2.904	80.001	3.23	80.001	7.5	12	40.6	1.279	2.322	12	6	1.938	0.5	3.097	0	0	-1	0	3.546	4
Suprofen	O=C(O)C(c1ccc(cc1)C(=O)c2cccs2)C	CC(C([O-])=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1	0.077459667	0.1914989849	TS		2.611	92.909	2.554	124.187	13	11	48.3	1.999	3.087	9	10	1.931	0.722	3.569	0	0	-1	0	3.877	6
Ketorolac	O=C(c1ccccc1)c2ccc3n2CCC3(C(=O)O)	[O-]C(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1	0.082462113	0.34888656	TS		2.129	91.521	2.002	91.521	13	10	48.4	2.126	3.087	8	10	1.891	0.684	3.627	3.2	0	-1	0	3.807	7
Fluvastatin	O=C(O)CC(O)CC(O)C=Cc3c(c1ccc(F)cc1)c2ccccc2n3C(C)C	CC(C)N1C(C=CC(O)CC(O)CC([O-])=O)=C(C2=CC=CC=C12)C1=CC=C(F)C=C1	0.088881944	0.1675292159	TS		3.541	147.163	3.348	147.163	17	17	43.6	3.581	3.459	11	14	1.959	0.567	3.659	1.8	0	-1	0	3.793	8
Ketoprofen	O=C(O)C(c1cccc(c1)C(=O)c2ccccc2)C	CC(C([O-])=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	0.089442719	0.1716427626	TS		2.658	115.516	3.374	115.516	15	14	50	2.281	3.17	14	12	1.961	0.789	3.546	0	0	-1	0	3.776	9
Tenoxicam	O=C(N=C1C=CC=CN1)C3C(=O)c2c(ccs2)S(=O)(=O)N3(C)	CN1C(=C(O)NC2=CC=CC=N2)C(=O)C2=C(C=CS2)S1(=O)=O	0.092195445	0.3351900709	TS		1.892	76.125	0.497	113.21	16.5	5	39.4	2.621	3.392	2	9	1.918	0.75	3.783	9.1	0	0	0	4.106	4
Quercetin	O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccc(O)c(O)c3	OC1=CC=C(C=C1O)C1OC2=CC([O-])=CC(=O)C2=C(O)C1=O	0.09486833	0.5019116209	TS		-0.636	74.03	-0.67	74.03	14.5	7	48.4	2.368	3.17	3	6	1.935	0.659	3.886	0	0	-1	0	3.816	3
Aripiprazole	O=C4Nc3cc(OCCCCN2CCN(c1cccc(c1Cl)Cl)CC2)ccc3CC4	ClC1=C(Cl)C(=CC=C1)N1CC[NH+](CCCCOC2=CC=C3CCC(=O)NC3=C2)CC1	0.1	0.2744385663	TS		3.438	107.765	-0.074	186.062	15	13	39.7	2.198	3	7	12	1.928	0.5	3.93	5.2	1	1	1	3.939	6
Eltanolone	O=C(C)C2CCC3C4CCC1CC(O)CCC1(C)C4(CCC23(C))	CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C	0.1	0.2744981659	TS		3.735	54.42	4.254	54.42	1.5	19	36.8	0.086	1	20	0	2.018	0.065	3.548	0	0	0	0	3.786	0
Indomethacin	O=C(O)Cc3c1cc(OC)ccc1n(C(=O)c2ccc(cc2)Cl)c3C	COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(CC([O-])=O)C2=C1	0.1	0.1474712948	TS		3.533	122.585	3.318	161.734	17.5	13	47.5	3.089	3.459	8	14	1.934	0.7	3.779	2.5	0	-1	0	3.975	7
Nefazodone	O=C1N(N=C(N1CCOc2ccccc2)CC)CCCN4CCN(c3cccc(c3)Cl)CC4	CCC1=NN(CCCN2CCN(CC2)C2=CC=CC(Cl)=C2)C(=O)N1CCOC1=CC=CC=C1	0.1	0.2044945722	TS		4.416	136.617	4.236	175.766	16	13	38.5	2.095	3.17	7	12	1.879	0.485	3.627	7.7	0	0	0	3.867	9
Nicardipine	O=C(OC)C3=C(N=C(C)C(C(=O)OCCN(C)Cc1ccccc1)C3(c2cccc(c2)[N+](=O)[O-]))C	COC(=O)C1=C(C)N=C(C)C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OCC[NH+](C)CC1=CC=CC=C1	0.1	0.2745248696	TS		1.843	163.229	-0.603	163.229	21	16	40	2.708	3.7	13	12	1.973	0.6	3.89	4.6	1	1	1	3.861	9
Tacrolimus	O=C2OC(C(=CC1CCC(O)C(OC)C1)C)C(C)C(O)CC(=O)C(=CC(C)CC(C)CC(OC)C4OC(O)(C(=O)C(=O)N3CCCCC23)C(C)CC4(OC))CC=C	COC1CC(CCC1O)C=C(C)C1OC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(C(CC2C)OC)C(CC(C)CC(C)C=C(CC=C)C(=O)CC(O)C1C)OC	0.1	0.306028421	TS		4.869	179.49	1.321	179.49	9.5	27	34.9	0.899	3	21	0	1.885	0.167	3.506	0.8	0	0	0	3.834	0
Chlorambucil	O=C(O)CCCc1ccc(cc1)N(CCCl)CCCl	[O-]C(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl	0.1	0.3085191152	TS		3.194	68.076	3.432	146.373	8	10	37.8	1.237	2.322	7	6	1.911	0.421	2.939	2.7	0	-1	0	3.761	4
Conivaptan	O=C(Nc1ccc(cc1)C(=O)N4c2ccccc2c3[nH]c(nc3CC4)C)c6ccccc6(c5ccccc5)	CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1	0.1	0.2027543068	TS		5.298	213.254	4.781	213.254	32	24	50	5.584	4.129	21	27	1.981	0.842	4.106	6.3	0	0	0	3.965	17
Tamsulosin	O=S(=O)(N)c1cc(ccc1(OC))CC(NCCOc2ccccc2(OCC))C	CCOC1=CC=CC=C1OCC[NH2+]C(C)CC1=CC=C(OC)C(=C1)S(N)(=O)=O	0.1	0.402969909	TS		1.612	129.159	-1.96	134.966	16.5	11	35.1	2.258	3.17	7	12	1.982	0.589	3.802	3.5	1	1	2	3.866	7
Ethinylestradiol-3-Sulfate	O=S(=O)(O)Oc1ccc2c(c1)CCC4C2CCC3(C)(C4(CCC3(O)(C#C)))	CC12CCC3C(CCC4=CC(OS([O-])(=O)=O)=CC=C34)C1CCC2(O)C#C	0.104880885	0.1716881849	TS		3.79	104.428	3.84	113.395	11.5	18	40.8	1.521	3	18	6	2.027	0.442	3.992	0	0	-1	0	4.026	3
Furosemide	O=C(O)c2cc(c(cc2(NCc1occc1))Cl)S(=O)(=O)N	NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C([O-])=O	0.109544512	0.4640896046	TS		1.037	74.907	0.434	119.863	15	6	38.7	2.127	3.248	2	10	1.976	0.714	3.928	6.5	0	-1	1	3.937	4
NK 611	O=C5OCC6C(OC1OC2COC(OC2(C(O)C1(N(C)C)))C)c3cc7OCOc7(cc3C(c4cc(OC)c(O)c(OC)c4)C56)	COC1=CC(=CC(OC)=C1O)C1C2C(COC2=O)C(OC2OC3COC(C)OC3C(O)C2[NH+](C)C)C2=CC3=C(OCO3)C=C12	0.114017543	0.5065798794	TS		0.027	139.565	-3.168	139.565	16	11	37.8	2.092	3	9	12	2.012	0.364	4.06	1.2	1	1	1	3.861	4
Ethinylestradiol	C#CC3(O)(CCC2C4CCc1cc(O)ccc1C4(CCC23(C)))	CC12CCC3C(CCC4=CC(O)=CC=C34)C1CCC2(O)C#C	0.118321596	0.1738652493	TS		4.861	99.184	4.004	99.184	8.5	18	43.5	1.377	2.585	18	6	2.024	0.386	3.911	0	0	0	0	3.822	3
Bevantolol	OC(COc1cccc(c1)C)CNCCc2ccc(OC)c(OC)c2	COC1=CC=C(CC[NH2+]CC(O)COC2=CC=CC(C)=C2)C=C1OC	0.122474487	0.3110388511	TS		2.033	130.365	-1.352	130.365	13.5	11	37.7	1.942	2.807	9	12	1.895	0.54	3.648	1.9	1	1	1	3.849	7
Warfarin	O=C1Oc3ccccc3(C(O)=C1C(c2ccccc2)CC(=O)C)	CC(=O)CC(C1=CC=CC=C1)C1=C([O-])C2=CC=CC=C2OC1=O	0.122474487	0.1783495199	TS		1.984	128.538	3.204	128.538	17	15	50	2.545	3.322	13	12	1.972	0.739	3.612	0	0	-1	0	3.817	9
Estradiol	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	CC12CCC3C(CCC4=CC(O)=CC=C34)C1CCC2O	0.126491106	0.210414229	TS		3.813	58.832	3.635	58.832	6.5	16	40.9	1.222	2	17	6	2.023	0.325	3.607	0	0	0	0	3.795	3
Propofol	Oc1c(cccc1C(C)C)C(C)C	CC(C)C1=CC=CC(C(C)C)=C1O	0.126491106	0.2793904103	TS		3.951	70.101	3.386	70.101	6.5	11	38.7	1.241	2	10	6	1.94	0.5	2.875	0	0	0	0	3.428	3
Diprafenone	O=C(c1ccccc1(OCC(O)CNC(C)(C)CC))CCc2ccccc2	CCC(C)(C)[NH2+]CC(O)COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1	0.130384048	0.3129481236	TS		3.025	142.812	-0.255	142.812	14	17	39	2.211	3	13	12	1.92	0.519	3.445	1.7	1	1	1	3.813	9
Doxazosin	O=C(N3CCN(C1=NC(=N)c2cc(OC)c(OC)cc2(N1))CC3)C4Oc5ccccc5(OC4)	COC1=C(OC)C=C2C(N)=NC(=[NH+]C2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1	0.130384048	0.2618780379	TS		2.488	126.261	1.319	126.261	19.5	7	39	3.318	3.392	4	14	2	0.591	3.821	8.5	1	1	2	3.902	6
Eprosartan	O=C(O)c1ccc(cc1)CN3C(N=CC3(=CC(C(=O)O)Cc2cccs2))=CCCC	CCCC=C1[NH+]=CC(=CC(CC2=CC=CS2)C([O-])=O)N1CC1=CC=C(C=C1)C([O-])=O	0.130384048	0.3927760242	TS		1.562	137.285	3.012	168.562	17.5	16	43.4	2.634	3.524	12	10	1.907	0.583	3.673	3.8	1	-1	1	3.951	6
Reboxetine	O(c3ccccc3(OC(c1ccccc1)C2OCCNC2))CC	CCOC1=CC=CC=C1OC(C1C[NH2+]CCO1)C1=CC=CC=C1	0.137840488	0.3560715433	TS		1.847	121.18	-1.451	121.18	13	11	40.4	1.849	2.807	9	12	1.913	0.565	3.558	2.1	1	1	1	3.797	9
Atomoxetine	O(c1ccccc1C)C(c2ccccc2)CCNC	C[NH2+]CCC(OC1=CC=CC=C1C)C1=CC=CC=C1	0.141421356	0.345585259	TS		2.346	118.763	-0.154	118.763	12.5	13	41.5	1.988	2.807	11	12	1.917	0.658	3.532	2.4	1	1	1	3.794	9
Carvedilol	OC(COc2cccc3[nH]c1ccccc1c23)CNCCOc4ccccc4(OC)	COC1=CC=CC=C1OCC[NH2+]CC(O)COC1=CC=CC2=C1C1=C(N2)C=CC=C1	0.141421356	0.2215976366	TS		2.784	153.682	-1.489	153.682	19.5	13	42.1	4.118	3.524	10	18	1.971	0.65	3.8	3.5	1	1	1	3.856	11
Darifenacin	O=C(N)C(c1ccccc1)(c2ccccc2)C5CN(CCc3ccc4OCCc4(c3))CC5	NC(=O)C(C1CC[NH+](CCC2=CC=C3OCCC3=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1	0.141421356	0.2459802004	TS		2.997	164.395	0.286	164.395	20	22	44.4	2.174	3.459	22	18	1.988	0.625	3.924	3.2	1	1	2	3.927	13
Entacapone	N#CC(=Cc1cc(O)c(O)c(c1)[N+](=O)[O-])C(=O)N(CC)CC	CCN(CC)C(=O)C(=CC1=CC(O)=C([O-])C(=C1)[N+]([O-])=O)C#N	0.141421356	0.5269181377	TS		0.93	85.492	1.111	85.492	15.5	7	38.9	2.016	3.322	4	6	1.921	0.705	3.668	8.3	0	-1	0	3.731	2
Ergotamine	O=C(NC1(OC3(O)(N(C1(=O))C(C(=O)N2CCCC23)Cc4ccccc4))C)C7=CC8c6cccc5[nH]cc(c56)CC8(N(C)C7)	C[NH+]1CC(=CC2C1CC1=CNC3=CC=CC2=C13)C(=O)NC1(C)OC2(O)C3CCCN3C(=O)C(CC3=CC=CC=C3)N2C1=O	0.141421356	0.2440443563	TS		1.707	157.478	-1.203	157.478	20	20	41.8	3.224	3.7	17	14	2.031	0.465	3.968	6.3	1	1	1	3.994	8
Pantoprazole	O=S(c1nc2cc(OC(F)F)ccc2([nH]1))Cc3nccc(OC)c3(OC)	COC1=C(OC)C(CS(=O)C2=NC3=CC(OC(F)F)=CC=C3N2)=NC=C1	0.141421356	0.2899386071	TS		2.951	103.259	0.635	122.392	17	4	39	3.118	3.322	1	12	1.882	0.654	4.025	7.3	0	0	0	3.945	4
Solifenacin	O=C(OC2CN1CCC2(CC1))N5CCc3ccccc3C5(c4ccccc4)	O=C(OC1C[NH+]2CCC1CC2)N1CCC2=CC=CC=C2C1C1=CC=CC=C1	0.141421356	0.3373585048	TS		2.469	117.632	-0.371	117.632	13.5	16	42.6	2.086	3	15	12	1.992	0.5	3.454	3.7	1	1	1	3.883	9
Diazepam	O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2))Cl)C	CN1C2=CC=C(Cl)C=C2C(=NCC1=O)C1=CC=CC=C1	0.151657509	0.2411339951	TS		3.385	106.402	3.355	145.551	15.5	11	48.5	2.559	3.17	8	12	1.94	0.775	3.567	6.1	0	0	0	3.818	8
Dexloxiglumide	O=C(O)CCC(NC(=O)c1ccc(c(c1)Cl)Cl)C(=O)N(CCCOC)CCCCC	CCCCCN(CCCOC)C(=O)C(CCC([O-])=O)NC(=O)C1=CC=C(Cl)C(Cl)=C1	0.154919334	0.2964417027	TS		2.939	98.459	3.082	176.756	10.5	13	35.6	1.08	2.807	7	6	1.883	0.35	3.312	3.4	0	-1	0	3.781	3
Pimobendan	O=C4NN=C(c1ccc2[nH]c(nc2(c1))c3ccc(OC)cc3)C(C)C4	COC1=CC=C(C=C1)C1=NC2=CC(=CC=C2N1)C1=NNC(=O)CC1C	0.154919334	0.3347987334	TS		2.936	114.269	2.738	114.269	17.5	12	44.2	3.453	3.459	9	13	1.932	0.7	3.774	9.3	0	0	0	3.826	7
Levonorgestrel	O=C4CC3=CCC2C(CCC1(CC)(C2(CCC1(O)(C#C))))C3CC4	CCC12CCC3C(CC=C4CC(=O)CCC34)C1CCC2(O)C#C	0.158113883	0.2130456967	TS		4.21	89.783	4.05	89.783	4.5	19	41.2	0.659	2.322	19	0	2.008	0.196	3.45	0	0	0	0	3.791	0
