Name	Standardized SMILES	SMILES (ionized)	Exp (square root of fraction unbound)	Prediction	Set	AD evaluation	ALOGP	P_VSA_i_2	MLOGP	P_VSA_p_3	Eta_betaP	CATS2D_00_LL	C.	PCD	Ui	CATS2D_01_LL	nCar	SpMin1_Bh.i.	Eta_betaP_A	SM12_AEA.ri.	N.	nN.	totalcharge	CATS2D_00_PP	SpMax2_Bh.m.	C.024
Sildenafil	O=C1NC(=Nc2c(nn(c12)C)CCC)c3cc(ccc3(OCC))S(=O)(=O)N4CCN(C)CC4	CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1	0.2	0.3127844913	EVS	reliable	2.772	106.239	1.51	112.046	17	8	34.9	2.713	3.392	4	9	1.992	0.515	4.361	9.5	0	0	0	4.027	3
Tiagabine	O=C(O)C3CN(CCC=C(c1c(ccs1)C)c2c(ccs2)C)CCC3	CC1=C(SC=C1)C(=CCC[NH+]1CCCC(C1)C([O-])=O)C1=C(C)C=CS1	0.2	0.3597713647	EVS	reliable	3.023	94.286	-0.14	156.842	11	14	40	1.667	3	8	8	1.852	0.44	3.707	2	1	0	1	4.146	2
Nifedipine	O=C(OC)C2=C(N=C(C)C(C(=O)OC)C2(c1ccccc1[N+](=O)[O-]))C	COC(=O)C1C(C2=CC=CC=C2[N+]([O-])=O)C(C(=O)OC)=C(C)N=C1C	0.20976177	0.2906186632	EVS	reliable	1.682	106.346	2.07	106.346	15	10	39.5	2.268	3.322	7	6	1.976	0.6	3.878	4.7	0	0	0	3.805	4
Tetrahydrocannabinol, D9-	Oc1cc(cc2OC(C)(C)C3CCC(=CC3(c12))C)CCCCC	CCCCCC1=CC2=C(C3C=C(C)CCC3C(C)(C)O2)C(O)=C1	0.223606798	0.1461502192	EVS	reliable	6.084	93.737	4.495	93.737	8	18	39.6	1.586	2.322	15	6	2.011	0.348	3.409	0	0	0	0	3.706	2
Ketanserin	O=C1Nc4ccccc4(C(=O)N1CCN3CCC(C(=O)c2ccc(F)cc2)CC3)	FC1=CC=C(C=C1)C(=O)C1CC[NH+](CCN2C(=O)NC3=CC=CC=C3C2=O)CC1	0.234520788	0.401401489	EVS	reliable	1.43	121.665	-0.713	121.665	17	13	42.3	2.172	3.322	10	12	1.921	0.586	3.787	5.8	1	1	1	3.905	8
Chlorpromazine	c1ccc3c(c1)N(c2cc(ccc2S3)Cl)CCCN(C)C	C[NH+](C)CCCN1C2=CC=CC=C2SC2=CC=C(Cl)C=C12	0.236643191	0.2934000179	EVS	reliable	3.179	101.988	0.084	173.356	13	10	41.5	2.454	2.807	4	12	1.965	0.619	3.66	4.9	1	1	1	3.853	7
Piretanide	O=C(O)c2cc(c(Oc1ccccc1)c(c2)S(=O)(=O)N)N3CCCC3	NS(=O)(=O)C1=CC(=CC(N2CCCC2)=C1OC1=CC=CC=C1)C([O-])=O	0.240831892	0.2713453301	EVS	reliable	1.768	100.309	1.371	106.116	17.5	10	40.5	2.377	3.322	7	12	1.984	0.7	3.914	4.8	0	-1	1	3.893	7
Bunazosin	O=C(N3CCN(C1=NC(=N)c2cc(OC)c(OC)cc2(N1))CCC3)CCC	CCCC(=O)N1CCCN(CC1)C1=NC(N)=C2C=C(OC)C(OC)=CC2=[NH+]1	0.244948974	0.5191432889	EVS	reliable	2.13	89.706	2.138	89.706	12.5	7	34.5	2.371	2.907	3	8	1.999	0.463	3.569	9.1	1	1	2	3.751	2
Paroxetine	Fc1ccc(cc1)C4CCNCC4(COc2ccc3OCOc3(c2))	FC1=CC=C(C=C1)C1CC[NH2+]CC1COC1=CC=C2OCOC2=C1	0.244948974	0.2990978609	EVS	reliable	1.999	112.359	-0.395	112.359	13.5	11	42.2	2.091	2.807	8	12	1.943	0.562	3.69	2.2	1	1	1	3.881	7
Ropivacaine	O=C(Nc1c(cccc1C)C)C2N(CCC)CCCC2	CCC[NH+]1CCCCC1C(=O)NC1=C(C)C=CC=C1C	0.244948974	0.5336879473	EVS	reliable	2.4	83.086	-0.807	83.086	8	12	36.2	1.174	2.322	9	6	1.918	0.4	3.183	4.3	1	1	1	3.799	3
Dexmedetomidine	n1c[nH]cc1C(c2cccc(c2C)C)C	CC(C1=CNC=N1)C1=CC=CC(C)=C1C	0.244948974	0.3416479537	EVS	reliable	3.134	84.884	2.753	84.884	10	10	41.9	1.935	2.7	10	9	1.95	0.667	3.526	6.5	0	0	0	3.766	3
Oxacillin	O=C(O)C4N3C(=O)C(NC(=O)c1c(noc1C)c2ccccc2)C3SC4(C)(C)	CC1=C(C(=O)NC2C3SC(C)(C)C(N3C2=O)C([O-])=O)C(=NO1)C1=CC=CC=C1	0.264575131	0.3863206523	EVS	reliable	1.146	104.558	2.217	136.777	14.5	11	41.3	2.155	3.248	6	9	1.89	0.518	3.77	6.5	0	-1	0	3.973	5
Perphenazine	OCCN1CCN(CC1)CCCN4c2ccccc2Sc3ccc(cc34)Cl	OCC[NH+]1CCN(CCCN2C3=CC=CC=C3SC3=CC=C(Cl)C=C23)CC1	0.264575131	0.32915841	EVS	reliable	2.597	95.724	-1.05	167.092	13	10	38.9	2.414	2.807	4	12	1.964	0.481	3.66	5.6	1	1	1	3.853	7
Imipramine	c1ccc3c(c1)N(c2ccccc2CC3)CCCN(C)C	C[NH+](C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12	0.273861279	0.3219236674	EVS	reliable	2.827	116.302	0.192	116.302	12.5	13	41.3	2.442	2.807	11	12	1.905	0.595	3.665	4.3	1	1	1	3.728	8
Sufentanil	O=C(N(c1ccccc1)C3(COC)(CCN(CCc2cccs2)CC3))CC	CCC(=O)N(C1=CC=CC=C1)C1(COC)CC[NH+](CCC2=CC=CS2)CC1	0.273861279	0.3358660159	EVS	reliable	1.67	123.558	-0.644	154.836	12	13	37.9	1.456	2.907	6	10	1.91	0.444	3.48	3.4	1	1	1	3.931	7
Zolpidem	O=C(N(C)C)Cc2c(nc1ccc(cn12)C)c3ccc(cc3)C	CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1	0.282842712	0.2058759608	EVS	reliable	3.792	124.373	3.025	124.373	15.5	12	43.2	3.224	3.322	10	13	1.919	0.674	3.713	6.8	0	0	0	3.808	6
Etoricoxib	O=S(=O)(c1ccc(cc1)c3cc(cnc3(c2cnc(cc2)C))Cl)C	CC1=NC=C(C=C1)C1=NC=C(Cl)C=C1C1=CC=C(C=C1)S(C)(=O)=O	0.284604989	0.233677907	EVS	reliable	3.467	120.566	2.933	165.76	21	12	46.2	3.638	3.585	8	16	2.024	0.875	4.19	5.1	0	0	0	4.048	7
Domperidone	O=C2Nc1ccccc1N2CCCN5CCC(N4C(=O)Nc3cc(ccc34)Cl)CC5	ClC1=CC=C2N(C3CCN(CCCN4C(=O)NC5=CC=CC=C45)CC3)C(=O)NC2=C1	0.286356421	0.253999716	EVS	reliable	2.454	105.439	2.533	144.588	17	11	40.7	2.331	3.17	4	12	1.86	0.567	3.952	9.3	0	0	0	3.948	7
Tolamolol	O=C(N)c2ccc(OCCNCC(O)COc1ccccc1C)cc2	CC1=CC=CC=C1OCC(O)C[NH2+]CCOC1=CC=C(C=C1)C(N)=O	0.298328678	0.4924275748	EVS	reliable	0.796	119.594	-2.025	119.594	14.5	11	38	2.008	3	9	12	1.88	0.58	3.756	4	1	1	2	3.851	8
Promethazine	c1ccc3c(c1)N(c2ccccc2S3)CC(N(C)C)C	CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)[NH+](C)C	0.3	0.336375474	EVS	reliable	2.83	112.149	-0.422	144.368	13	10	41.5	2.452	2.807	6	12	1.965	0.65	3.58	4.9	1	1	1	3.686	8
Maprotiline	c1ccc3c(c1)C4c2ccccc2C3(CCCNC)CC4	C[NH2+]CCCC12CCC(C3=CC=CC=C13)C1=CC=CC=C21	0.331662479	0.3057273053	EVS	reliable	2.886	109.192	1.157	109.192	12	18	44.4	2.377	2.807	21	12	2.11	0.571	3.58	2.2	1	1	1	3.686	8
Pirmenol	OC(c1ncccc1)(c2ccccc2)CCCN3C(C)CCCC3C	CC1CCCC(C)[NH+]1CCCC(O)(C1=CC=CC=C1)C1=NC=CC=C1	0.360555128	0.3367606689	EVS	reliable	2.864	123.228	-0.51	123.228	12	16	39.3	1.541	2.807	11	11	1.941	0.48	3.298	3.6	1	1	1	3.825	8
Cefmetazole	N#CCSCC(=O)NC3(OC)(C(=O)N2C(C(=O)O)=C(CSc1nnnn1C)CSC23)	COC1(NC(=O)CSCC#N)C2SCC(CSC3=NN=NN3C)=C(N2C1=O)C([O-])=O	0.387298335	0.5013048661	EVS	reliable	-0.632	62.239	0.996	158.898	13.5	4	32.6	1.295	3.248	0	1	1.867	0.45	3.816	15.2	0	-1	0	3.988	0
Ibandronic Acid (Ibandronate)	O=P(O)(O)C(O)(CCN(C)CCCCC)P(=O)(O)O	CCCCC[NH+](C)CCC(O)(P(O)([O-])=O)P([O-])([O-])=O	0.387298335	0.815465924	EVS	reliable	-3.355	31.571	-4.501	31.571	3	5	22.5	0.177	1.585	3	0	1.826	0.158	3.449	2.5	1	-2	1	4.201	0
Indoramin	O=C(NC3CCN(CCc2c[nH]c1ccccc12)CC3)c4ccccc4	O=C(NC1CC[NH+](CCC2=CNC3=CC=CC=C23)CC1)C1=CC=CC=C1	0.387298335	0.3246232411	EVS	reliable	1.786	124.047	-0.801	124.047	15.5	15	42.3	2.821	3.322	12	14	1.921	0.596	3.674	5.8	1	1	1	3.88	9
Acetylcysteine, N-	O=C(O)C(NC(=O)C)CS	CC(=O)NC(CS)C([O-])=O	0.412310563	0.9507537929	EVS	reliable	-1.174	21.144	-0.349	59.708	3	1	27.8	0.292	1.585	0	0	1.608	0.3	2.599	5.6	0	-1	0	3.455	0
Flunitrazepam	O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2(F)))[N+](=O)[O-])C	CN1C2=CC=C(C=C2C(=NCC1=O)C1=CC=CC=C1F)[N+]([O-])=O	0.412310563	0.3063963653	EVS	reliable	2.82	105.303	2.965	105.303	18.5	9	45.7	2.762	3.459	6	12	1.949	0.804	3.884	8.6	0	0	0	3.832	7
Hydrocortisone	O=C3C=C2CCC1C4CCC(O)(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3)	CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO	0.447213595	0.5167963938	EVS	reliable	1.217	58.321	1.618	58.321	4.5	16	37.5	0.492	2	16	0	2.018	0.173	3.835	0	0	0	0	3.822	0
Zopiclone	O=C(Oc2c3nccnc3(c(O)n2(c1ncc(cc1)Cl)))N4CCN(C)CC4	CN1CCN(CC1)C(=O)OC1=C2NC=CN=C2C(=O)N1C1=NC=C(Cl)C=C1	0.447213595	0.5860594139	EVS	reliable	0.105	90.538	1.009	129.686	14	3	38.6	2.23	3.17	1	5	1.784	0.519	3.597	13.6	0	0	0	3.879	2
Tilidine	O=C(OCC)C2(c1ccccc1)(CCC=CC2(N(C)C))	CCOC(=O)C1(CCC=CC1[NH+](C)C)C1=CC=CC=C1	0.458257569	0.4384695726	EVS	reliable	1.651	111.99	-0.755	111.99	8.5	12	38.6	1.295	2.585	11	6	1.975	0.425	3.105	2.3	1	1	1	3.683	5
Carmustine (BCNU)	O=NN(C(=O)NCCCl)CCCl	ClCCNC(=O)N(CCCl)N=O	0.479583152	0.8851196593	EVS	reliable	1.199	14.186	0.812	92.484	3	2	23.8	0.256	1.585	0	0	1.541	0.25	1.902	14.3	0	0	0	3.759	0
Clarithromycin	O=C3OC(CC)C(O)(C)C(O)C(C(=O)C(C)CC(OC)(C)C(OC1OC(C)CC(N(C)C)C1(O))C(C)C(OC2OC(C)C(O)C(OC)(C)C2)C3C)C	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)[NH+](C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)O)OC	0.479583152	0.4200686715	EVS	reliable	0.5	149.993	-3.648	149.993	3	18	31.1	0.062	1.585	6	0	1.869	0.058	3.502	0.8	1	1	1	3.798	0
Etomidate	O=C(OCC)c1cncn1C(c2ccccc2)C	CCOC(=O)C1=CN=CN1C(C)C1=CC=CC=C1	0.479583152	0.3784166847	EVS	reliable	2.38	100.424	2.37	100.424	11.5	8	41.2	2.095	2.907	6	9	1.903	0.639	3.484	5.9	0	0	0	3.76	5
Mitoxantrone	Oc1ccc(O)c2c(O)c3c(ccc(NCC=NCCO)c3(c(O)c12))NCCNCCO	OCC[NH2+]CCNC1=C2C(O)=C3C(O)=CC=C(O)C3=C(O)C2=C(NCC=NCCO)C=C1	0.5	0.5467026841	EVS	reliable	-0.535	73.286	-4.548	73.286	18.5	8	36.1	3.759	3.322	4	14	2.131	0.578	4.176	6.6	1	1	1	3.765	4
Vecuronium Bromide	O=C(OC5CC6CCC1C(CCC2(C)(C(OC(=O)C)C(CC12)[N+]3(C)(CCCCC3)))C6(C)(CC5(N4CCCCC4)))C	CC(=O)OC1C(CC2C3CCC4CC(OC(C)=O)C(CC4(C)C3CCC12C)[NH+]1CCCCC1)[N+]1(C)CCCCC1	0.5	0.4238572765	EVS	reliable	2.587	99.452	-2.21	99.452	3	23	34.7	0.083	1.585	20	0	2.025	0.075	3.6	2	2	2	2	3.887	0
Quinidine	OC(c2ccnc1ccc(OC)cc12)C3N4CCC(C3)C(C=C)C4	COC1=CC=C2N=CC=C(C(O)C3CC4CC[NH+]3CC4C=C)C2=C1	0.509901951	0.4992538306	EVS	reliable	1.173	105.505	-1.492	105.505	11.5	12	40.8	2.412	2.907	9	9	2.036	0.479	3.268	4.1	1	1	1	3.902	4
Rifabutin	O=C(OC3C(C)C(OC)C=COC1(Oc4c(C1(=O))c5C2=NC6(N=C2C(NC(=O)C(=CC=CC(C)C(O)C(C)C(O)C3(C))C)=C(O)c5(c(O)c4C))(CCN(CC6)CC(C)C))C)C	COC1C=COC2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C([O-])=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C1=NC3(CC[NH+](CC(C)C)CC3)N=C21	0.538516481	0.3734976532	EVS	reliable	3.167	207.523	-2.001	207.523	24	26	37.4	4.543	3.858	14	10	2.098	0.393	4.337	3.3	1	0	1	3.876	0
Penicillin G	O=C(O)C3N2C(=O)C(NC(=O)Cc1ccccc1)C2SC3(C)(C)	CC1(C)SC2C(NC(=O)CC3=CC=CC=C3)C(=O)N2C1C([O-])=O	0.632455532	0.6132275497	EVS	reliable	0.634	86.876	1.821	119.095	10.5	10	40	1.095	2.807	7	6	1.891	0.457	3.477	5	0	-1	0	3.846	5
