ID	CAS	NEUTRALIZED (Kekulized)_VEGA smiles	Set	Exp in Vivo MN
362	556-52-5	OCC1OC1	Training	1
363	62-75-9	O=NN(C)C	Training	1
364	930-55-2	O=NN1CCCC1	Training	0
365	105-11-3	ON=C1C=CC(=NO)C=C1	Training	0
366	96-09-3	O1CC1c2ccccc2	Training	0
367	15805-73-9	O=C(OC=C)N	Training	1
368	75-01-4	C=CCl	Training	1
369	75-35-4	C=C(Cl)Cl	Training	0
370	1937-37-7	O=S(=O)([O-])c5cc6cc(c(N=Nc1ccc(cc1)c3ccc(N=Nc2ccc(N)cc2(N))cc3)c(N)c6(c(O)c5(N=Nc4ccccc4)))S(=O)(=O)[O-]	Training	1
371	3068-88-0	O=C1OC(C)C1	Training	1
372	488-41-5	OC(CBr)C(O)C(O)C(O)CBr	Training	1
373	50-44-2	n1cnc(c2[nH]cnc12)S	Training	1
374	51-75-2	N(C)(CCCl)CCCl	Training	1
375	55-18-5	O=NN(CC)CC	Training	0
376	122-60-1	O(c1ccccc1)CC2OC2	Training	0
378	96-13-9	OCC(CBr)Br	Training	0
379	127-00-4	OC(C)CCl	Training	0
380	62-50-0	O=S(=O)(OCC)C	Training	1
381	23214-92-8	O=C1c5cccc(OC)c5(C(=O)c2c(O)c4c(c(O)c12)CC(O)(C(=O)CO)CC4(OC3OC(C)C(O)C(N)C3))	Training	1
382	5634-39-9	OCC1OC(OC1)C(C)I	Training	0
383	446-86-6	O=[N+]([O-])c1ncn(c1Sc3ncnc2[nH]cnc23)C	Training	1
384	1684-42-0	OC(CNc2c3ccc(cc3(nc1ccc(OC)cc12))Cl)CN(CC)CC	Training	1
385	481-72-1	O=C1c3cccc(O)c3(C(=O)c2c(O)cc(cc12)CO)	Training	0
386	107-05-1	C=CCCl	Training	0
387	82-45-1	O=C1c3ccccc3(C(=O)c2c(N)cccc12)	Training	0
388	110102-85-7	Oc1cc(N)c(cc1C)Cl	Training	0
389	2835-98-5	Oc1cc(ccc1(N))C	Training	1
390	610-81-1	O=[N+]([O-])c1cc(O)ccc1(N)	Training	0
391	188696-80-2	O=C1Nc2cc(cc(c2(NC1(=O)))CNCP(=O)(O)O)[N+](=O)[O-]	Training	0
392	90-04-0/  134-29-2	O(c1ccccc1(N))C	Training	0
393	123-77-3	O=C(N=NC(=O)N)N	Training	0
394	26381-41-9	Oc2ccc3ccc(cc3(c2(N=Nc1ccc(N)cc1)))[N+](C)(C)C	Training	0
395	68391-32-2	O=[N+]([O-])c3cc(N=Nc1c(O)ccc2ccc(cc12)[N+](C)(C)C)ccc3(N)	Training	0
396	97404-02-9	N(=Nc1n(cc[n+]1C)C)c2ccc(N)cc2	Training	0
397	77061-58-6	N(=Nc1n(cc[n+]1C)C)c2ccc(cc2)N(C)C	Training	0
398	24370-25-0	O=C(N)Nc1nc2ccccc2([nH]1)	Training	1
399	95-14-7	n1nc2ccccc2([nH]1)	Training	0
400	90-41-5/ 2185-92-4	Nc1ccccc1c2ccccc2	Training	0
401	111-91-1	O(COCCCl)CCCl	Training	0
402	542-88-1	O(CCl)CCl	Training	1
403	54381-16-7	OCCN(c1ccc(N)cc1)CCO	Training	0
404	84041-77-0	O=[N+]([O-])c1cc(ccc1(NCCO))NCCO	Training	0
405	11056-06-7	O=C(OC1C(O)C(OC(CO)C1(O))OC6C(OC(c2nc[nH]c2)C(NC(=O)c3nc(nc(N)c3C)C(NCC(N)C(=O)N)CC(=O)N)C(=O)NC(C)C(O)C(C(=O)NC(C(=O)NCCc4nc(cs4)c5nc(cs5)C(=O)NCCC[S+](C)C)C(O)C)C)OC(CO)C(O)C6(O))N	Training	1
406	129-17-9	O=S(=O)([O-])c3ccc(C(c1ccc(cc1)N(CC)CC)=C2C=CC(C=C2)=[N+](CC)CC)c(c3)S(=O)(=O)[O-]	Training	1
407	5589-96-8	O=C(O)C(Cl)Br	Training	0
408	109-70-6	C(CCl)CBr	Training	1
409	106-94-5	CCCBr	Training	0
410	75-26-3	CC(C)Br	Training	0
411	930-22-3	O1CC1C=C	Training	1
412	2426-08-6	O(CCCC)CC1OC1	Training	1
413	6804-07-5	O=C(OC)NN=Cc2c[n+]([O-])c1ccccc1[n+]2([O-])	Training	1
414	154-93-8	O=NN(C(=O)NCCCl)CCCl	Training	1
415	58-25-3/438-41-5  	[O-][N+]2=C(c1ccccc1)c3cc(ccc3(N=C(NC)C2))Cl	Training	1
416	532-27-4	O=C(c1ccccc1)CCl	Training	1
417	611-19-8	c1ccc(c(c1)CCl)Cl	Training	0
418	77439-76-0	O=C1OC(O)C(=C1Cl)C(Cl)Cl	Training	1
419	75-45-6	FC(F)Cl	Training	0
420	131657-78-8	O=[N+]([O-])c1cc(NCC)c(O)c(c1)Cl	Training	0
421	13909-09-6	O=NN(C(=O)NC1CCC(C)CC1)CCCl	Training	1
423	100-00-5	O=[N+]([O-])c1ccc(cc1)Cl	Training	1
424	54-05-7	n1ccc(NC(C)CCCN(CC)CC)c2ccc(cc12)Cl	Training	1
425	569-61-9	N=C1C=CC(C=C1)=C(c2ccc(N)cc2)c3ccc(N)cc3	Training	0
426	85721-33-1	O=C(O)C1=CN(c2cc(c(F)cc2(C1(=O)))N3CCNCC3)C4CC4	Training	0
427	123-73-9	O=CC=CC	Training	1
428	156-57-0	NCCS	Training	1
429	66422-95-5	OCCOc1ccc(N)cc1(N)	Training	0
430	631-64-1	O=C(O)C(Br)Br	Training	1
431	3252-43-5	N#CC(Br)Br	Training	0
432	683-18-1	CCCC[Sn](CCCC)(Cl)Cl	Training	1
433	1653-19-6	C=C(C(=C)Cl)Cl	Training	0
434	760-23-6	C=CC(CCl)Cl	Training	1
435	484-23-1	n1nc(NN)c2ccccc2(c1NN)	Training	1
436	149330-25-6	OCCNc1cccc(NCCO)c1C	Training	0
437	29539-03-5	Oc1cc2NCCc2(cc1(O))	Training	0
438	2439-35-2	O=C(OCCN(C)C)C=C	Training	0
440	2524-03-0	O(C)P(OC)(=S)Cl	Training	0
441	39300-45-3	O=C(Oc1ccccc1[N+](=O)[O-])C=CC	Training	0
442	20721-50-0/ 12222-69-4	OCCN(c2ccc(N=Nc1ccc(N)cc1)cc2)CCO	Training	0
443	3179-89-3	O=[N+]([O-])c2ccc(N=Nc1cc(ccc1C)N(CCO)CCO)cc2	Training	0
444	128-95-0	O=C1c3ccccc3(C(=O)c2c(N)ccc(N)c12)	Training	0
446	106-91-2	O=C(OCC1OC1)C(=C)C	Training	1
447	111-90-0	OCCOCCOCC	Training	0
448	151-56-4	N1CC1	Training	1
449	3570-75-0	O=CNNc1nc(cs1)c2oc(cc2)[N+](=O)[O-]	Training	0
450	92118-27-9	O=NN(C(=O)NC(C)P(=O)(OCC)OCC)CCCl	Training	1
451	107-22-2	O=CC=O	Training	0
452	83732-72-3/ 90817-34-8 (base)	n1c(OC)ccc(N)c1NC	Training	0
453	104576-93-0(base)/132885-85-9 	O=[N+]([O-])c1cc(ccc1(NCCO))N(CC)CCO	Training	0
454	99788-75-7	O=C1c3ccccc3(C(=O)c2c(ccc(NCC(O)CO)c12)NCC(O)CO)	Training	0
455	52136-25-1	O=C2C=C(NCCO)C(=O)C=C2(Nc1ccc(cc1)N(CCO)CCO)	Training	0
456	2871-01-4	O=[N+]([O-])c1cc(N)ccc1(NCCO)	Training	0
457	24905-87-1	O=[N+]([O-])c1cc(ccc1(N))NCCO	Training	0
458	82576-75-8	O=[N+]([O-])c1cc(NCCO)c(cc1(N))C	Training	0
459	59820-43-8	O=[N+]([O-])c1ccc(NCCO)c(OCCO)c1	Training	0
460	73388-54-2	O=[N+]([O-])c1ccc(NCCO)c(O)c1	Training	0
461	4926-55-0	O=[N+]([O-])c1ccccc1(NCCO)	Training	0
462	303-33-3	O=C(OCC1=CCN2CCC(O)C12)C(O)(C(OC)C)C(C)C	Training	1
463	3105-97-3	O=C2c1ccccc1Sc3c(ccc(NCCN(CC)CC)c23)CO	Training	1
464	23255-93-8	O=C2c1ccccc1Sc3c(ccc(NCC[NH+](CC)CC)c23)CO	Training	1
465	26021-57-8	Oc1ccc2OCCNc2(c1)	Training	0
466	818-61-1	O=C(OCCO)C=C	Training	0
467	66095-81-6	O=[N+]([O-])c1ccc(NCCO)c(OC)c1	Training	0
468	99610-72-7	O=[N+]([O-])c1cc(NCCO)c(O)c(c1)[N+](=O)[O-]	Training	0
469	25584-83-2	O=C(OCCCO)C=C	Training	0
470	589-41-3	O=C(OCC)NO	Training	1
471	2314-97-8	FC(F)(F)I	Training	1
472	303-34-4	O=C(OC2CCN1CC=C(COC(=O)C(O)(C(OC)C)C(O)(C)C)C12)C(=CC)C	Training	1
473	115-95-7	O=C(OC(C=C)(C)CCC=C(C)C)C	Training	0
474	71628-96-1	O=C3c5cc6c(c(O)c5(C(=O)c4c(O)cc1c(OC2OC1(C)C(O)C(N(C)C)C2(O))c34))C(OC)CC(O)(C)C6	Training	1
475	55-55-0 (hemi sulfate)/  150-75-4 (base)/   1936-57-8 (sulfate)	Oc1ccc(cc1)NC	Training	0
476	75-55-8	N1CC1C	Training	1
477	122-57-6	O=C(C=Cc1ccccc1)C	Training	0
478	13551-87-6	O=[N+]([O-])c1nccn1CC(O)COC	Training	1
480	23256-30-6	O=[N+]([O-])c2oc(C=NN1CCS(=O)(=O)CC1C)cc2	Training	1
481	117907-43-4	O=C(O)c2ccccc2(Nc1ccc(N)cc1[N+](=O)[O-])	Training	0
483	17117-34-9	O=C2c1ccccc1c3ccc(c4cccc2c34)[N+](=O)[O-]	Training	1
484	27080-42-8	O=C(N)NCCNc1ccc(cc1)[N+](=O)[O-]	Training	0
485	570-24-1	O=[N+]([O-])c1cccc(c1(N))C	Training	0
486	5336-53-8	O=NN(Cc1ccccc1)Cc2ccccc2	Training	1
487	16543-55-8	O=NN2CCCC2(c1cnccc1)	Training	1
488	51-98-9	O=C(OC3(C#C)(CCC2C4CCC1=CC(=O)CCC1C4(CCC23(C))))C	Training	1
489	2646-17-5	Oc2ccc3ccccc3(c2(N=Nc1ccccc1C))	Training	1
490	80-51-3	O=S(=O)(NN)c2ccc(Oc1ccc(cc1)S(=O)(=O)NN)cc2	Training	0
491	53910-25-1	OCC3OC(n2cnc1c2(N=CNCC1(O)))CC3(O)	Training	1
492	51-71-8	NNCCc1ccccc1	Training	1
493	108-45-2	Nc1cccc(N)c1	Training	0
494	732-11-6	O=C1c2ccccc2(C(=O)N1CSP(OC)(OC)=S)	Training	0
495	96-91-3 (acid)/ 831-52-7 (salt)	O=[N+]([O-])c1cc(N)c(O)c(c1)[N+](=O)[O-]	Training	0
496	88-89-1	O=[N+]([O-])c1cc(c(O)c(c1)[N+](=O)[O-])[N+](=O)[O-]	Training	0
497	518-28-5	O=C3OCC4C(O)c1cc5OCOc5(cc1C(c2cc(OC)c(OC)c(OC)c2)C34)	Training	1
498	107-19-7	C#CCO	Training	0
499	114-26-1	O=C(Oc1ccccc1(OC(C)C))NC	Training	1
500	115-07-1	C=CC	Training	0
501	57018-52-7	OC(C)COC(C)(C)C	Training	1
502	129-00-0	c1cc2ccc3cccc4ccc(c1)c2c34	Training	0
503	91-22-5	n1cccc2ccccc12	Training	1
504	128-04-1	C(N(C)C)(=S)[S-]	Training	0
505	505-60-2	C(CSCCCl)Cl	Training	1
506	118-75-2	O=C1C(=C(C(=O)C(=C1Cl)Cl)Cl)Cl	Training	0
507	NO CAS	O=[N+]([O-])c1ccc2NCCNc2(c1)	Training	0
508	19387-91-8	O=[N+]([O-])c1cnc(n1CCS(=O)(=O)CC)C	Training	1
510	91-08-7	O=C=Nc1cccc(N=C=O)c1C	Training	0
511	2303-17-5	O=C(N(C(C)C)C(C)C)SCC(=C(Cl)Cl)Cl	Training	0
512	1603-02-7	O=S(=O)(O)Oc1nc(nc(N)c1(N))N	Training	0
513	538-23-8	O=C(OCC(OC(=O)CCCCCCC)COC(=O)CCCCCCC)CCCCCCC	Training	0
514	68-76-8	O=C1C=C(C(=O)C(=C1N2CC2)N3CC3)N4CC4	Training	1
515	52-68-6	O=P(OC)(OC)C(O)C(Cl)(Cl)Cl	Training	0
516	50355-74-3	N(=NN(C)C)c1c(cc(cc1Cl)Cl)Cl	Training	1
517	533-73-3	Oc1ccc(O)c(O)c1	Training	1
518	2451-62-9	O=C1N(C(=O)N(C(=O)N1CC2OC2)CC3OC3)CC4OC4	Training	1
519	82617-23-0	O=C(OC1OC1)N	Training	1
520	118-92-3	O=C(O)c1ccccc1(N)	Training	0
521	103-23-1	O=C(OCC(CC)CCCC)CCCCC(=O)OCC(CC)CCCC	Training	0
522	101-21-3	O=C(OC(C)C)Nc1cccc(c1)Cl	Training	0
523	950-37-8	O=C1N(N=C(OC)S1)CSP(OC)(OC)=S	Training	0
524	72-43-5	O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C	Training	0
525	94-59-7	O1c2ccc(cc2(OC1))CC=C	Training	0
526	98-54-4	Oc1ccc(cc1)C(C)(C)C	Training	0
527	606-20-2	O=[N+]([O-])c1cccc(c1C)[N+](=O)[O-]	Training	0
528	93957-54-1	O=C(O)CC(O)CC(O)C=Cc3c(c1ccc(F)cc1)c2ccccc2n3C(C)C	Training	0
529	57-39-6	O=P(N1CC1C)(N2CC2C)N3CC3C	Training	1
530	79-24-3	O=[N+]([O-])CC	Training	0
531	126-85-2	[O-][N+](C)(CCCl)CCCl	Training	1
532	108-03-2	O=[N+]([O-])CCC	Training	0
533	5522-43-0	O=[N+]([O-])c4ccc1ccc2cccc3ccc4(c1c23)	Training	1
534	143-67-9	O=C(OC2C(O)(C(=O)OC)C5N(c1cc(OC)c(cc1C45(CCN3CC=CC2(CC)C34))C9(C(=O)OC)(c7[nH]c6ccccc6c7CCN8CC(CC(O)(C8)CC)C9))C)C	Training	1
535	58-89-9	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	0
536	62-55-5	NC(C)=S	Training	1
537	5160-02-1	O=S(=O)([O-])c3cc(c(cc3(N=Nc1c(O)ccc2ccccc12))C)Cl	Training	1
538	123-33-1	O=C1C=CC(=O)NN1	Training	0
539	56-04-2	O=C1C=C(NC(N1)=S)C	Training	0
540	68-89-3	O=C1C(=C(N(N1c2ccccc2)C)C)N(C)CS(=O)(=O)[O-]	Training	0
541	10540-29-1	O(c1ccc(cc1)C(c2ccccc2)=C(c3ccccc3)CC)CCN(C)C	Training	0
542	55566-30-8	OC[P+](CO)(CO)CO	Training	0
543	60-56-0	C1=CN(C(N1)=S)C	Training	0
544	57-30-7	O=C1N=C([O-])NC(=O)C1(c2ccccc2)CC	Training	0
545	95-80-7	Nc1ccc(c(N)c1)C	Training	0
546	121-75-5	O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	Training	1
547	52918-63-5	N#CC(OC(=O)C1C(C=C(Br)Br)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	1
548	604-75-1	O=C1Nc3ccc(cc3(C(=NC1(O))c2ccccc2))Cl	Training	0
549	90-43-7	Oc1ccccc1c2ccccc2	Training	0
550	67774-32-7	c2c(c1cc(c(cc1Br)Br)Br)c(cc(c2Br)Br)Br	Training	0
551	100-42-5	C=Cc1ccccc1	Training	1
552	126-72-7	O=P(OCC(CBr)Br)(OCC(CBr)Br)OCC(CBr)Br	Training	1
553	78-42-2	O=P(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC	Training	0
555	2425-06-1	O=C1N(C(=O)C2CC=CCC12)SC(C(Cl)Cl)(Cl)Cl	Training	0
556	306-37-6	N(NC)C	Training	1
557	62450-07-1	n2c(N)cc3[nH]c1ccccc1c3(c2C)	Training	1
559	76-87-9	O[Sn](c1ccccc1)(c2ccccc2)c3ccccc3	Training	1
561	51-21-8	O=C1NC=C(F)C(=O)N1	Training	1
563	4342-03-4	O=C(N)c1[nH]cnc1(N=NN(C)C)	Training	1
564	3564-09-8	O=S(=O)([O-])c2ccc3c(N=Nc1cc(c(cc1C)C)C)c(O)c(cc3(c2))S(=O)(=O)[O-]	Training	0
565	2783-94-0	O=S(=O)([O-])c3ccc(N=Nc1c(O)ccc2cc(ccc12)S(=O)(=O)[O-])cc3	Training	0
566	108-91-8	Nc1ccccc1	Training	1
567	69-65-8	OCC(O)C(O)C(O)C(O)CO	Training	0
568	149-30-4	n2c1ccccc1sc2S	Training	0
569	71-55-6	CC(Cl)(Cl)Cl	Training	0
570	607-57-8	O=[N+]([O-])c2ccc3c1ccccc1Cc3(c2)	Training	0
571	671-16-9	O=C(NC(C)C)c1ccc(cc1)CNNC	Training	1
572	434-07-1	O=C1C(=CO)CC4(C)(C(C1)CCC3C4(CCC2(C)(C3(CCC2(O)(C)))))	Training	0
573	532-32-1	O=C([O-])c1ccccc1	Training	0
574	2611-82-7	O=S(=O)([O-])c4cc3ccc(O)c(N=Nc1ccc(c2ccccc12)S(=O)(=O)[O-])c3c(c4)S(=O)(=O)[O-]	Training	0
575	39148-24-8	O=P([O-])OCC	Training	1
576	12427-38-2	N(C(=S)[S-])CCNC(=S)[S-]	Training	0
577	113-92-8	n1ccccc1C(c2ccc(cc2)Cl)CCN(C)C	Training	0
578	142-47-2	O=C([O-])C(N)CCC(=O)O	Training	0
579	989-51-5	O=C(OC2Cc3c(O)cc(O)cc3(OC2(c1cc(O)c(O)c(O)c1)))c4cc(O)c(O)c(O)c4	Training	0
580	10190-99-5	O=C([O-])c2cc1OCOc1c3c4cccc(OC)c4(cc(c23)[N+](=O)[O-])	Training	0
581	16423-68-0	O=C1OC4(c2ccccc12)(c5cc(c([O-])c(c5(Oc3c4(cc(c([O-])c3I)I)))I)I)	Training	0
583	22260-51-1	O=C(NC1(OC3(O)(N(C1(=O))C(C(=O)N2CCCC23)CC(C)C))C(C)C)C7C=C6c5cccc4[nH]c(c(c45)CC6N(C)C7)Br	Training	0
584	95-80-7	Nc1ccc(c(N)c1)C	Training	1
585	562-10-7	n1ccccc1C(OCCN(C)C)(c2ccccc2)C	Training	0
586	136-40-3	N(=Nc1ccc(nc1(N))N)c2ccccc2	Training	1
587	68844-77-9	Fc1ccc(cc1)Cn3c(nc2ccccc23)NC5CCN(CCc4ccc(OC)cc4)CC5	Training	0
589	52-89-1	O=C(O)C(N)CS	Training	0
590	NO CAS	C(N(C)C)(=S)SSC(N(C)C)=S	Training	1
591	15972-60-8	O=C(N(c1c(cccc1CC)CC)COC)CCl	Training	1
592	120-47-8	O=C(OCC)c1ccc(O)cc1	Training	0
593	63-92-3	O(c1ccccc1)CC(N(Cc2ccccc2)CCCl)C	Training	0
594	318-98-9	OC(COc1cccc2ccccc12)CNC(C)C	Training	1
595	123-54-6	O=C(C)CC(=O)C	Training	1
596	84-16-2	Oc1ccc(cc1)C(CC)C(c2ccc(O)cc2)CC	Training	0
597	147-94-4	O=C1N=C(N)C=CN1C2OC(CO)C(O)C2(O)	Training	1
598	104-55-2	O=CC=Cc1ccccc1	Training	0
599	120-12-7	c1ccc2cc3ccccc3(cc2(c1))	Training	0
600	1910-42-5	c1c[n+](ccc1c2cc[n+](cc2)C)C	Training	1
601	9002-92-0	OCCOCCCCCCCCCCCC	Training	0
602	555-30-6	O=C(O)C(N)(C)Cc1ccc(O)c(O)c1	Training	0
603	18463-85-9	N(=Nc1ccc2ncsc2(c1))c3ccc(cc3)N(C)C	Training	0
604	84418-35-9	O=NN(CC(O)COc1cccc2ccccc12)C(C)C	Training	0
605	96497-86-8	O=NN(CC(O)COc1ccccc1(OCC=C))C(C)C	Training	0
606	134720-04-0	O=NN(CC(O)COc1ccc(cc1)CC(=O)N)C(C)C	Training	0
607	134720-05-1	O=NN(CC(O)COc1ccc(cc1)CCOC)C(C)C	Training	0
608	134720-06-2	O=NN(CC(O)COc1cccc2c1CC(O)C(O)C2)C(C)(C)C	Training	0
609	134720-07-3	O=NN(CC(O)c1ccc(cc1)NS(=O)(=O)C)C(C)C	Training	0
610	50-91-9	O=C1NC(=O)N(C=C1(F))C2OC(CO)C(O)C2	Training	1
611	54-42-2	O=C1NC(=O)N(C=C1I)C2OC(CO)C(O)C2	Training	0
612	554-10-9	OCC(O)CI	Training	0
613	69-05-6	n2c1ccc(OC)cc1c(NC(C)CCCN(CC)CC)c3ccc(cc23)Cl	Training	0
614	21738-42-1	O=[N+]([O-])c1cc2NC(CNC(C)C)CCc2(cc1CO)	Training	0
615	88-09-5	O=C(O)C(CC)CC	Training	0
616	92-70-6	O=C(O)c1cc2ccccc2(cc1(O))	Training	0
617	4602-84-0	OCC=C(C)CCC=C(C)CCC=C(C)C	Training	0
618	137-40-6	O=C([O-])CC	Training	0
619	61-68-7	O=C(O)c2ccccc2(Nc1cccc(c1C)C)	Training	0
620	151-21-3	O=S(=O)([O-])OCCCCCCCCCCCC	Training	0
621	69-09-0	c1ccc3c(c1)N(c2cc(ccc2S3)Cl)CCCN(C)C	Training	0
622	78-08-0	O(CC)[Si](OCC)(OCC)C=C	Training	0
623	367-51-1	O=C([O-])CS	Training	1
624	868-18-8	O=C([O-])C(O)C(O)C(=O)[O-]	Training	0
625	4719-04-4	OCCN1CN(CN(C1)CCO)CCO	Training	0
626	5064-31-3	O=C([O-])CN(CC(=O)[O-])CC(=O)[O-]	Training	0
629	128-62-1	O=C1OC(c2ccc(OC)c(OC)c12)C4c3c(OC)c5OCOc5(cc3CCN4(C))	Training	1
630	86-54-4	N(N)=C1NN=Cc2ccccc12	Training	1
631	146-54-3	FC(F)(F)c1ccc3c(c1)N(c2ccccc2S3)CCCN(C)C	Training	0
632	591-62-8	O=C(OCC)NCCCC	Training	0
633	1406-18-4	Oc2c(c(c1OC(C)(CCc1c2C)CCCC(C)CCCC(C)CCCC(C)C)C)C	Training	0
634	2058-46-0	O=C(N)C=3C(=O)C4(O)(C(O)=C2C(=O)c1c(O)cccc1C(O)(C)C2C(O)C4(C(C=3(O))[NH+](C)C))	Training	1
635	2111-75-3	O=CC1=CCC(C(=C)C)CC1	Training	0
636	2113-61-3	c1ccc(cc1)c2ccc(cc2)[NH3+]	Training	1
637	2508-86-3	[O-][n+]2ccc(N)c1ccccc12	Training	0
638	2650-18-2	O=S(=O)([O-])c1cccc(c1)CN(c2ccc(cc2)C(=C3C=CC(C=C3)=[N+](Cc4cccc(c4)S(=O)(=O)[O-])CC)c5ccccc5S(=O)(=O)[O-])CC	Training	0
639	6055-19-2	O=P1(OCCCN1)N(CCCl)CCCl	Training	1
640	6441-77-6	O=C4OC2(c3cc(c([O-])c(c3(Oc1c2(cc(c([O-])c1Br)Br)))Br)Br)c5c(ccc(c45)Cl)Cl	Training	0
641	11121-48-5	O=C([O-])c4c(C2=C3C=C(C(=O)C(=C3(Oc1c2(cc(c([O-])c1I)I)))I)I)c(c(c(c4Cl)Cl)Cl)Cl	Training	0
642	31431-39-7	O=C(OC)Nc1nc2cc(ccc2([nH]1))C(=O)c3ccccc3	Training	1
643	34381-68-5	O=C(Nc1ccc(OCC(O)CNC(C)C)c(c1)C(=O)C)CCC	Training	1
644	43210-67-9	O=C(OC)Nc1nc2cc(ccc2([nH]1))Sc3ccccc3	Training	0
645	57817-89-7	O=C(OC1OC(CO)C(O)C(O)C1(O))C7(C)(CCCC4(C)(C7(CCC56(CC(=C)C(OC3OC(COC2OC(CO)C(O)C(O)C2(O))C(O)C(O)C3(O))(CCC45)C6))))	Training	0
646	71807-56-2	N#CNC(=NCC#C)NCCSCc1nc[nH]c1C	Training	0
647	20265-96-7	c1cc(ccc1[NH3+])Cl	Training	1
648	154-42-7	n1c[nH]c2N=C(N)NC(c12)=S	Training	1
649	472-61-7	O=C2C(=C(C=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC1=C(C(=O)C(O)CC1(C)C)C)C)C)C)C)C(C)(C)CC2(O))C	Training	0
650	700-06-1	OCc2c[nH]c1ccccc12	Training	0
651	62593-23-1	O=NN(C(=O)Oc2cccc1c2(OC(C)(C)C1))C	Training	1
652	79-06-1	O=C(N)C=C	Training	1
653	313-67-7	O=C(O)c2cc1OCOc1c3c4cccc(OC)c4(cc(c23)[N+](=O)[O-])	Training	1
654	75-65-0	OC(C)(C)C	Training	0
655	1897-45-6	N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl	Training	0
656	72-57-1	O=S(=O)([O-])c5cc(N)c6c(O)c(N=Nc1ccc(cc1C)c4ccc(N=Nc2c(O)c3c(N)cc(cc3(cc2S(=O)(=O)[O-]))S(=O)(=O)[O-])c(c4)C)c(cc6(c5))S(=O)(=O)[O-]	Training	0
657	78-87-5	CC(CCl)Cl	Training	0
658	130-80-3	O=C(Oc1ccc(cc1)C(=C(c2ccc(OC(=O)CC)cc2)CC)CC)CC	Training	0
659	140-67-0	O(c1ccc(cc1)CC=C)C	Training	0
660	21416-87-5	O=C1NC(=O)CN(C1)CC(N2CC(=O)NC(=O)C2)C	Training	1
661	78-59-1	O=C1C=C(C)CC(C)(C)C1	Training	0
662	108-78-1	n1c(nc(nc1N)N)N	Training	0
663	56-49-5	c1ccc5c(c1)ccc3c5(cc2ccc(c4c2c3CC4)C)	Training	1
664	93-15-2	O(c1ccc(cc1(OC))CC=C)C	Training	0
665	298-59-9	O=C(OC)C(c1ccccc1)C2NCCCC2	Training	0
666	98-95-3	O=[N+]([O-])c1ccccc1	Training	0
667	75-52-5	O=[N+]([O-])C	Training	0
668	76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	Training	0
669	59-33-6	n1ccccc1N(Cc2ccc(OC)cc2)CCN(C)C	Training	0
670	58-14-0	n1c(nc(c(c1N)c2ccc(cc2)Cl)CC)N	Training	1
671	10540-29-1	O(c1ccc(cc1)C(c2ccccc2)=C(c3ccccc3)CC)CCN(C)C	Training	1
672	58-22-0	O=C4C=C3CCC1C(CCC2(C)(C(O)CCC12))C3(C)CC4	Training	0
673	127-18-4	C(=C(Cl)Cl)(Cl)Cl	Training	0
674	109-99-9	O1CCCC1	Training	0
675	26471-62-5	O=C=Nc1ccc(c(N=C=O)c1)C	Training	0
676	100-40-3	C=CC1CC=CCC1	Training	0
677	12122-67-7	N(C(=S)[S-])CCNC1=S[Zn+2][SH-]1	Training	0
678	7177-48-2	O=C(O)C3N2C(=O)C(NC(=O)C(N)c1ccccc1)C2SC3(C)(C)	Training	0
679	2698-41-1	N#CC(C#N)=Cc1ccccc1Cl	Training	0
680	1936-15-8	O=S(=O)([O-])c3cc2ccc(O)c(N=Nc1ccccc1)c2c(c3)S(=O)(=O)[O-]	Training	0
681	76-57-3	OC1C=CC5C4N(C)CCC25(c3c(OC12)c(OC)ccc3C4)	Training	0
682	95-50-1	c1ccc(c(c1)Cl)Cl	Training	0
683	120-83-2	Oc1ccc(cc1Cl)Cl	Training	0
684	120-61-6	O=C(OC)c1ccc(cc1)C(=O)OC	Training	0
685	150-38-9	O=C([O-])CN(CC(=O)[O-])CCN(CC(=O)[O-])CC(=O)O	Training	0
686	2164-17-2	O=C(Nc1cccc(c1)C(F)(F)F)N(C)C	Training	0
687	77-47-4	C=1(C(=C(C(C=1Cl)(Cl)Cl)Cl)Cl)Cl	Training	0
688	79-11-8	O=C(O)CCl	Training	1
689	132-98-9	O=C([O-])C3N2C(=O)C(NC(=O)COc1ccccc1)C2SC3(C)(C)	Training	0
690	108-95-2	Oc1ccccc1	Training	1
691	61-76-7	Oc1cccc(c1)C(O)CNC	Training	0
692	108-46-3	Oc1cccc(O)c1	Training	1
693	25013-15-4	C=Cc1cccc(c1)C	Training	1
695	106-93-4	C(CBr)Br	Training	1
696	109-99-9	o1cccc1	Training	1
697	1134-23-2	O=C(N(CC)C1CCCCC1)SCC	Training	0
698	116-06-3	O=C(ON=CC(C)(C)SC)NC	Training	1
699	120-87-6	O=C(O)CCCCCCCC(O)C(O)CCCCCCCC	Training	0
