ID	CAS	NEUTRALIZED (Kekulized)_VEGA smiles	Set	Exp in Vivo MN
105	781-43-1	c1ccc3c(c1)c(c2ccccc2c3C)C	Training	0
106	7681-76-7	O=C(OCc1ncc(n1C)[N+](=O)[O-])N	Training	0
108	431-03-8	O=C(C(=O)C)C	Training	0
109	3930-19-6	O=C(O)c4nc(c1nc2C(=O)C(N)=C(OC)C(=O)c2(cc1))c(N)c(c3ccc(OC)c(OC)c3(O))c4C	Training	1
110	1836-75-5	O=[N+]([O-])c2ccc(Oc1ccc(cc1Cl)Cl)cc2	Training	0
111	28322-02-3	O=C(Nc1cccc3c1c2ccccc2C3)C	Training	0
112	591-27-5	Oc1cccc(N)c1	Training	0
113	7203-90-9	N(=NN(C)C)c1ccc(cc1)Cl	Training	1
114	10605-21-7	O=C(OC)Nc1nc2ccccc2([nH]1)	Training	1
115	621-64-7	O=NN(CCC)CCC	Training	0
116	842-07-9	Oc2ccc3ccccc3(c2(N=Nc1ccccc1))	Training	1
117	90301-59-0	O=C1NC(=O)N(C=C1CCCl)C2OC(CO)C(O)C2	Training	0
118	96-29-7	ON=C(C)CC	Training	0
119	1239-45-8	Nc3ccc4c1ccc(N)cc1[n+](c(c2ccccc2)c4(c3))CC	Training	0
120	117-10-2	O=C1c3cccc(O)c3(C(=O)c2c(O)cccc12)	Training	1
121	67-20-9	O=C2NC(=O)CN2(N=Cc1oc(cc1)[N+](=O)[O-])	Training	0
122	75-25-2	C(Br)(Br)Br	Training	0
123	70-25-7	O=NN(C(=N)N[N+](=O)[O-])C	Training	1
124	305-03-3	O=C(O)CCCc1ccc(cc1)N(CCCl)CCCl	Training	1
125	87-66-1	Oc1cccc(O)c1(O)	Training	1
126	302-17-0	OC(O)C(Cl)(Cl)Cl	Training	1
127	513-37-1	C(=C(C)C)Cl	Training	1
128	99-57-0	O=[N+]([O-])c1ccc(O)c(N)c1	Training	0
129	684-93-5	O=NN(C(=O)N)C	Training	1
130	78-94-4	O=C(C=C)C	Training	1
131	110-69-0	ON=CCCC	Training	1
132	118-71-8	O=C1C=COC(=C1(O))C	Training	1
133	57-06-7	C(=NCC=C)=S	Training	0
134	7481-89-2	O=C1N=C(N)C=CN1C2OC(CO)CC2	Training	1
135	320-67-2	O=C1N=C(N=CN1C2OC(CO)C(O)C2(O))N	Training	1
136	15625-89-5	O=C(OCC(COC(=O)C=C)(COC(=O)C=C)CC)C=C	Training	0
137	100-64-1	ON=C1CCCCC1	Training	0
138	75-21-8	O1CC1	Training	1
139	50-07-7	O=C(OCC4C=1C(=O)C(N)=C(C(=O)C=1N3CC2NC2C34(OC))C)N	Training	1
140	74-83-9	CBr	Training	1
141	19622-55-0	O=[N+]([O-])c2cnc(c1nnc(N)s1)n2C	Training	1
142	66-27-3	O=S(=O)(OC)C	Training	1
143	7220-79-3	n2c1ccc(cc1[s+]c3cc(ccc23)N(C)C)N(C)C	Training	0
144	30516-87-1	[N-]=[N+]=NC1CC(OC1(CO))N2C=C(C(=O)NC2(=O))C	Training	1
146	759-73-9	O=NN(C(=O)N)CC	Training	1
148	148-82-3	O=C(O)C(N)Cc1ccc(cc1)N(CCCl)CCCl	Training	1
149	298-18-0	O1CC1C2OC2	Training	1
150	51-18-3	n1c(nc(nc1N2CC2)N3CC3)N4CC4	Training	1
151	51-79-6	O=C(OCC)N	Training	1
152	106-99-0	C=CC=C	Training	1
