id		smiles	status	exp values
117		n1nc3n(c1C)c2c(cc(Br)s2)C(=NC3)c4ccccc4Cl	Test	0.3033
118		N#CC(c1ccc(OC)c(OC)c1)(CCCN(C)CCc2ccc(OC)c(OC)c2)C(C)C	Test	0.305
119		N=C2NC(=N)C(c1ccc(cc1)Cl)=C(N2)CC	Training	0.3082
120		O=C1C=CC4(C)(C(N1)CCC2C4(CCC3(C)(C(C(=O)NC(C)(C)C)CCC23)))	Test	0.3082
121		OC(c1ccccc1)(CCN2CCCCC2)C4CC3C=CC4(C3)	Test	0.3114
122		O=C(O)c1cccc(c1)NC(=O)C2NCC(C2)SC4=C(C(=O)O)N3C(=O)C(C(O)C)C3C4C	Test	0.3162
123		O=C3OC(CC)C(O)(C)C(O)C(C(=O)C(C)CC(O)(C)C(OC1OC(C)CC(N(C)C)C1(O))C(C)C(OC2OC(C)C(O)C(OC)(C)C2)C3C)C	Test	0.3162
124		O=C1C(=C(N=C2N1CCCC2)C)CCN5CCC(c4noc3cc(F)ccc34)CC5	Test	0.3162
125		n4nc1n(c3ccc(cc3(C(=NC1)c2ccccc2Cl))Cl)c4C	Test	0.3162
126		O=C(OC3(C(=O)SCF)(C(C)CC2C4CC(F)=C1CC(=O)C=CC1(C)C4(F)(C(O)CC23(C))))CC	Test	0.3162
127		O=C4OC2(c3ccc(O)cc3(Oc1cc(O)ccc12))c5ccccc45	Training	0.3317
128		c1ccc3c(c1)N(c2ccccc2S3)CCCN(C)C	Training	0.3317
129		O=C(OC2CC1N(C)C(CC1)C2(C(=O)OC))c3ccccc3	Test	0.3464
130		O=C(N)C3C(=O)C(N(C)C)C4C(O)C2C(C(=O)c1c(O)cccc1C2(C))C(=O)C4(O)(C3(=O))	Test	0.3464
131		N2=C(c1cc(OCC)c(OCC)cc1CC2)Cc3ccc(OCC)c(OCC)c3	Test	0.3464
132		O=C5OCC6C(OC1OC2COC(OC2(C(O)C1(O)))C)c3cc7OCOc7(cc3C(c4cc(OC)c(O)c(OC)c4)C56)	Test	0.3464
133		N(N)=C1NN=Cc2ccccc12	Test	0.3464
134		O=C1N(c3ccc(cc3(C(=NC1(O))c2ccccc2Cl))Cl)C	Test	0.3464
135		c1ccc3c(c1)C(=CCCNC)c2ccccc2CC3	Test	0.3464
136		O=C(OC3C5C6(OC(=O)C)(COC6(CC(O)C5(C(=O)C(OC(=O)C)=C4C(C)C(OC(=O)C(O)C(NC(=O)c1ccccc1)c2ccccc2)CC3(O)C4(C)C)(C))))c7ccccc7	Test	0.3464
137		O=C(OCC(=O)C3(OC(=O)CC)(C(C)CC2C4CC=C1CC(=O)C=CC1(C)C4(C(O)CC23(C))Cl))CC	Test	0.3606
