ID	CAS	SMILES	Status	Exp_class
200	52918-63-5	N#CC(OC(=O)C1C(C=C(Br)Br)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	0
201	131-01-1	O=C(OC3CC4CN2CCc1c5ccccc5([nH]c1C2CC4(C(C(=O)OC)C3(OC))))c6cc(OC)c(OC)c(OC)c6	Test	0
202	50-02-2	O=C1C=CC3(C(=C1)CCC2C4CC(C)C(O)(C(=O)CO)C4(C)(CC(O)C23(F)))(C)	Training	0
203	63019-65-8	O=C(N(c3cccc2c1ccccc1Cc23)C(=O)C)C	Training	1
204	131-17-9	O=C(OCC=C)c1ccccc1(C(=O)OCC=C)	Training	0
205	16338-97-9	O=NN(CC=C)CC=C	Training	1
206	720-69-4	O=[N+]([O-])c1oc(cc1)c2nc(nc(n2)N)N	Test	1
207	95-80-7	Nc1ccc(c(N)c1)C	Training	1
208	439-14-5	O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2))Cl)C	Test	0
209	333-41-5	n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C	Training	0
210	262-12-4	O1c3ccccc3(Oc2ccccc12)	Training	0
211	4106-66-5	o2c1ccccc1c3ccc(N)cc23	Training	1
212	96-12-8	C(C(CBr)Br)Cl	Training	1
213	10318-26-0	OC(CBr)C(O)C(O)C(O)CBr	Training	1
214	106-93-4	C(CBr)Br	Training	1
215	34522-69-5	n1cccc2c1cc(cc2Br)Br	Training	0
216	56654-52-5	O=NN(C(=O)NCCCC)CCCC	Training	1
217	1717-00-6	FC(C)(Cl)Cl	Training	1
218	609-20-1	Nc1cc(c(N)c(c1)Cl)Cl	Test	0
219	79-43-6	O=C(O)C(Cl)Cl	Training	1
220	7572-29-4	C(#CCl)Cl	Training	1
221	95-50-1	c1ccc(c(c1)Cl)Cl	Test	0
222	106-46-7	c1cc(ccc1Cl)Cl	Training	1
223	91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	Training	1
224	33857-26-0	O1c3ccc(cc3(Oc2ccc(cc12)Cl))Cl	Training	0
225	75-71-8	FC(F)(Cl)Cl	Training	0
226	75-34-3	CC(Cl)Cl	Test	0
227	107-06-2	C(CCl)Cl	Training	1
228	120-83-2	Oc1ccc(cc1Cl)Cl	Training	0
229	94-75-7	O=C(O)COc1ccc(cc1Cl)Cl	Test	0
230	78-87-5	CC(CCl)Cl	Training	0
231	62-73-7	O=P(OC=C(Cl)Cl)(OC)OC	Training	1
232	115-32-2	OC(c1ccc(cc1)Cl)(c2ccc(cc2)Cl)C(Cl)(Cl)Cl	Test	0
233	1212-29-9	N(C(NC1CCCCC1)=S)C2CCCCC2	Training	0
234	81-21-0	O3C4CC5C2CC(C1OC12)C5(C34)	Training	0
235	13366-73-9	O1C2C1C3C4C2C5C3C6(C4(C(C5(C6(Cl)Cl)Cl)Cl)Cl)Cl	Training	0
236	298-18-0	O1CC1C2OC2	Test	0
237	2921-88-2	n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl	Training	0
238	685-91-6	O=C(N(CC)CC)C	Test	1
239	N.A.	O=C(NC(=O)C)N(CC)CC	Test	0
240	111-46-6	OCCOCCO	Training	1
241	617-84-5	O=CN(CC)CC	Training	0
242	141-05-9	O=C(OCC)C=CC(=O)OCC	Training	0
243	56-53-1	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	1
244	105-55-5	N(C(NCC)=S)CC	Test	1
245	70052-12-9	O=C(O)C(N)(CCCN)C(F)F	Training	0
246	101-90-6	O(c2cccc(OCC1OC1)c2)CC3OC3	Training	1
247	62488-57-7	O=C1NC(=NCN1C2OC(CO)C(O)C2(O))N	Test	0
248	33389-33-2	O=C1NC(Nc2ccccc12)c3ccc([N+](=O)[O-])s3	Test	1
249	3276-41-3	O=NN1OCC=CC1	Training	1
250	119-84-6	O=C2Oc1ccccc1CC2	Training	1
251	94-58-6	O1c2ccc(cc2(OC1))CCC	Training	1
252	695-53-4	O=C1OC(C(=O)N1)(C)C	Training	0
253	60-51-5	O=C(NC)CSP(OC)(OC)=S	Training	0
254	828-00-2	O=C(OC1OC(OC(C)C1)C)C	Test	1
255	5803-51-0	O(c2ccc(OC)c(C=Cc1ccc(N)cc1)c2)C	Training	1
256	91-93-0	O=C=Nc1ccc(cc1(OC))c2ccc(N=C=O)c(OC)c2	Training	1
257	1146-71-0	O=C2Oc1cc(OC)cc(OC)c1C3=C2CCC3	Training	0
258	1150-37-4	O=C2Oc1cc(OC)cc(OC)c1C=3C(=O)CCC2=3	Training	0
259	1150-42-1	O=C2Oc1cc(OC)cc(OC)c1C3=C2C(=O)CC3	Training	0
260	65176-75-2	O=C1c5c(O)cc(OC)c(OC)c5(Oc3c1c(OC)cc2OC4OC=CC4(c23))	Training	1
261	13265-60-6	O=C(NCCSP(OC)(OC)=S)C	Test	0
262	60-11-7	N(=Nc1ccc(cc1)N(C)C)c2ccccc2	Training	1
263	3851-16-9	O=NN(C(=O)c1ccccc1(C(=O)N(N=O)C))C	Training	0
264	868-85-9	O=[P+](OC)OC	Training	1
265	597-25-1	O=P(OC)(OC)N1CCOCC1	Test	1
266	59-35-8	O=[N+]([O-])c1oc(cc1)c2nc(cc(n2)C)C	Test	1
267	551-92-8	O=[N+]([O-])c1cnc(n1C)C	Training	1
268	120-61-6	O=C(OC)c1ccc(cc1)C(=O)OC	Training	0
269	127-19-5	O=C(N(C)C)C	Training	0
270	55738-54-0	O=[N+]([O-])c2oc(C=Cc1nnc(o1)NCN(C)C)cc2	Training	1
271	121-69-7	c1ccc(cc1)N(C)C	Training	1
272	24448-94-0	O=C1NC(=O)C(C(=O)N1)(C)C	Training	0
273	1643-20-5	[O-][N+](C)(C)CCCCCCCCCCCC	Training	0
274	68-12-2	O=CN(C)C	Training	0
275	57-14-7	NN(C)C	Training	0
276	26049-69-4	O=[N+]([O-])c1oc(cc1)c2nc(NN(C)C)sc2	Training	1
277	4164-28-7	O=[N+]([O-])N(C)C	Training	1
278	513-37-1	C(=C(C)C)Cl	Training	1
279	29110-68-7	O=[N+]([O-])c1cc(c(OS(=O)(=O)C)c(c1)C(C)(C)C)[N+](=O)[O-]	Training	0
280	55557-00-1	O=NN1CCN(N=O)CCC1	Training	1
281	606-20-2	O=[N+]([O-])c1cccc(c1C)[N+](=O)[O-]	Training	1
282	123-91-1	O1CCOCC1	Training	1
283	78-34-2	O1CCOC(C1SP(OCC)(OCC)=S)SP(OCC)(OCC)=S	Training	0
284	13256-06-9	O=NN(CCCCC)CCCCC	Test	1
285	74-31-7	c1ccc(cc1)Nc2ccc(cc2)Nc3ccccc3	Test	0
286	57-41-0	O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3	Training	0
287	142-46-1	NC(NNC(N)=S)=S	Training	0
288	79-40-3	NC(C(N)=S)=S	Test	0
289	N.A.	O=C1OC(C(OCC(=O)CCCCCCCCCCCC)=C1(O))C(O)CO	Training	0
290	63-84-3	O=C(O)C(N)Cc1ccc(O)c(O)c1	Training	0
291	40762-15-0	O=C1N(c3ccc(cc3(C(=NC1(O))c2ccccc2(F)))Cl)CCO	Training	0
292	476-66-4	O=C1Oc3c(O)c(O)cc4C(=O)Oc2c(O)c(O)cc1c2c34	Training	0
293	72-20-8	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	Test	0
294	106-89-8	O1CC1CCl	Training	1
295	106-88-7	O1CC1CC	Test	1
296	29975-16-4	n1nc2n(c1)c4ccc(cc4(C(=NC2)c3ccccc3))Cl	Training	0
297	22966-79-6	O=C(Oc1ccc2c(c1)CCC4C2CCC5(C)(C(OC(=O)Cc3ccc(cc3)N(CCCl)CCCl)CCC45))Cc6ccc(cc6)N(CCCl)CCCl	Training	0
298	57-63-6	C#CC3(O)(CCC2C4CCc1cc(O)ccc1C4(CCC23(C)))	Training	1
299	13073-35-3	O=C(O)C(N)CCSCC	Test	1
300	150-69-6	O=C(N)Nc1ccc(OCC)cc1	Training	1
301	91-53-2	O(c1ccc2NC(C=C(c2(c1))C)(C)C)CC	Training	0
302	140-88-5	O=C(OCC)C=C	Training	1
303	64-17-5	OCC	Test	1
304	16301-26-1	[O-][N+](=NCC)CC	Test	1
305	57497-29-7	[O-][N+](=NC)CC	Training	1
306	2629-59-6	O=C(O)C(N)CSCC	Training	0
307	72-56-0	c1cc(ccc1CC)C(c2ccc(cc2)CC)C(Cl)Cl	Training	0
308	77-83-8	O=C(OCC)C2OC2(c1ccccc1)(C)	Training	0
309	86404-04-8	O=C1OC(C(OCC)=C1(O))C(O)CO	Test	0
310	100-41-4	c1ccc(cc1)CC	Training	1
311	75-21-8	O1CC1	Training	1
312	96-45-7	N1C(NCC1)=S	Training	1
313	106-87-6	O1CC1C2CCC3OC3(C2)	Training	0
314	104-76-7	OCC(CC)CCCC	Training	0
315	103-23-1	O=C(OCC(CC)CCCC)CCCCC(=O)OCC(CC)CCCC	Training	0
316	117-81-7	O=C(OCC(CC)CCCC)c1ccccc1(C(=O)OCC(CC)CCCC)	Training	1
317	96724-44-6	O=NN(C(=O)NCCO)CC	Training	1
318	110559-84-7	O=NN(C(=O)NCC(=O)C)CC	Training	1
319	38434-77-4	N#CN(N=O)CC	Training	1
320	90-49-3	O=C(N)NC(=O)C(c1ccccc1)CC	Training	0
