ID	CAS	SMILES	Status	Exp_class
692	127-47-9	O=C(OCC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C)C	Training	1
693	79-81-2	O=C(OCC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C)CCCCCCCCCCCCCCC	Training	0
694	480-54-6	O=C1OC3CCN2CC=C(COC(=O)C(O)(CO)C(C)CC1(=CC))C23	Training	1
695	13292-46-1	O=C(OC3C(C)C(OC)C=COC1(Oc4c(C1(=O))c5C(=O)C(=CNN2CCN(C)CC2)C(NC(=O)C(=CC=CC(C)C(O)C(C)C(O)C3(C))C)=C(O)c5(c(O)c4C))C)C	Training	0
696	26308-28-1	O=C1Nc3c(nn(c3(C(=NC1)c2ccccc2))CC)C	Test	0
697	83-79-4	O=C3c5ccc1OC(C(=C)C)Cc1c5(OC4COc2cc(OC)c(OC)cc2C34)	Training	0
698	81-07-2	O=C1NS(=O)(=O)c2ccccc12	Training	0
699	94-59-7	O1c2ccc(cc2(OC1))CC=C	Test	1
700	18559-94-9	Oc1ccc(cc1CO)C(O)CNC(C)(C)C	Training	1
701	599-79-1	O=C(O)C3=CC(=NNc1ccc(cc1)S(=O)(=O)Nc2ncccc2)C=CC3(=O)	Training	1
702	55721-11-4	OC3CC(=CC=C1CCCC2(C)(C1CCC2(C(C)CCC(O)C(O)(C)C)))C(=C)CC3	Test	0
703	2318-18-5	O=C2OC1C(=O)C(=CCN(C)CC1)COC(=O)C(O)(C)C(C)CC2(=CC)	Test	1
704	533-31-3	Oc1ccc2OCOc2(c1)	Training	1
705	110-44-1	O=C(O)C=CC=CC	Training	0
706	10048-13-2	O=C1c5c(O)cccc5(Oc3c1c(OC)cc2OC4OC=CC4(c23))	Training	1
707	57817-89-7	O=C(OC1OC(CO)C(O)C(O)C1(O))C7(C)(CCCC4(C)(C7(CCC56(CC(=C)C(OC3OC(CO)C(O)C(O)C3(OC2OC(CO)C(O)C(O)C2(O)))(CCC45)C6))))	Test	0
708	18883-66-4	O=NN(C(=O)NC1C(O)OC(CO)C(O)C1(O))C	Training	1
709	96-09-3	O1CC1c2ccccc2	Training	1
710	108-30-5	O=C1OC(=O)CC1	Training	0
711	95-06-7	C=C(CSC(N(CC)CC)=S)Cl	Training	1
712	127-69-5	O=S(=O)(Nc1onc(c1C)C)c2ccc(N)cc2	Training	0
713	77-79-2	O=S1(=O)(CC=CC1)	Training	0
714	77-46-3	O=C(Nc1ccc(cc1)S(=O)(=O)c2ccc(cc2)NC(=O)C)C	Training	1
715	27470-51-5	O=C(O)CCC(=O)OCC2(C(=O)N(c1ccccc1)N(C2(=O))c3ccccc3)CCCC	Training	0
716	22571-95-5	O=C(OC2CCN1CC=C(COC(=O)C(O)(C(O)C)C(C)C)C12)C(=CC)C	Training	1
717	569-57-3	O(c1ccc(cc1)C(c2ccc(OC)cc2)=C(c3ccc(OC)cc3)Cl)C	Training	0
718	107-35-7	O=S(=O)(O)CCN	Training	0
719	37076-68-9	O=C1NC(=O)N(C=C1(F))C2OCCC2	Training	0
720	23031-25-6	Oc1cc(O)cc(c1)C(O)CNC(C)(C)C	Test	1
721	732-26-3	Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)C(C)(C)C	Training	0
722	2438-88-2	O=[N+]([O-])c1c(c(c(OC)c(c1Cl)Cl)Cl)Cl	Training	0
723	15721-02-5	Nc1cc(c(cc1Cl)c2cc(c(N)cc2Cl)Cl)Cl	Training	0
724	1746-01-6	O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl	Training	1
725	630-20-6	C(C(Cl)(Cl)Cl)Cl	Training	0
726	79-34-5	C(C(Cl)Cl)(Cl)Cl	Training	0
727	127-18-4	C(=C(Cl)Cl)(Cl)Cl	Training	1
728	97-77-8	C(N(CC)CC)(=S)SSC(N(CC)CC)=S	Training	0
729	811-97-2	FCC(F)(F)F	Training	1
730	116-14-3	FC(F)=C(F)F	Training	1
731	40548-68-3	O=NN1OCCCC1	Training	1
732	1972-08-3	Oc1cc(cc2OC(C)(C)C3CCC(=CC3(c12))C)CCCCC	Test	0
733	109-99-9	O1CCCC1	Training	1
734	18771-50-1	O=C1NC(O)CCN1C2OC(CO)C(O)C2(O)	Training	0
735	137-26-8	C(N(C)C)(=S)SSC(N(C)C)=S	Training	0
736	509-14-8	O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]	Training	1
737	91-79-2	n1ccccc1N(Cc2ccsc2)CCN(C)C	Training	0
738	58-55-9	O=C2c1[nH]cnc1N(C(=O)N2C)C	Training	0
739	148-79-8	n1cscc1c2nc3ccccc3([nH]2)	Training	0
740	15318-45-3	O=C(NC(CO)C(O)c1ccc(cc1)S(=O)(=O)C)C(Cl)Cl	Training	0
741	52-24-4	N1(CC1)P(N2CC2)(N3CC3)=S	Training	1
742	62-55-5	NC(C)=S	Training	1
743	96-69-5	Oc1cc(c(cc1C(C)(C)C)Sc2cc(c(O)cc2C)C(C)(C)C)C	Training	0
744	139-65-1	Nc1ccc(cc1)Sc2ccc(N)cc2	Training	1
745	789-61-7	OCC3OC(n2cnc1C(N=C(N)Nc12)=S)CC3(O)	Training	1
746	79-19-6	NNC(N)=S	Training	0
747	141-90-2	O=C1C=CNC(N1)=S	Training	1
748	62-56-6	NC(N)=S	Training	1
749	10191-41-0	Oc2c(c(c1OC(C)(CCc1c2C)CCCC(C)CCCC(C)CCCC(C)C)C)C	Training	0
750	7695-91-2	O=C(Oc2c(c(c1OC(C)(CCc1c2C)CCCC(C)CCCC(C)CCCC(C)C)C)C)C	Training	0
751	1156-19-0	O=C(NN1CCCCCC1)NS(=O)(=O)c2ccc(cc2)C	Test	0
752	64-77-7	O=C(NCCCC)NS(=O)(=O)c1ccc(cc1)C	Training	0
753	88-19-7	O=S(=O)(N)c1ccccc1C	Training	1
754	622-51-5	O=C(N)Nc1ccc(cc1)C	Test	0
755	68-76-8	O=C1C=C(C(=O)C(=C1N2CC2)N3CC3)N4CC4	Training	1
756	76-25-5	O=C1C=CC4(C(=C1)CCC3C5CC2OC(OC2(C(=O)CO)C5(C)(CC(O)C34(F)))(C)C)(C)	Training	1
757	396-01-0	n1c(nc(N)c2nc(c(nc12)N)c3ccccc3)N	Training	0
758	75-25-2	C(Br)(Br)Br	Training	1
759	538-23-8	O=C(OCC(OC(=O)CCCCCCC)COC(=O)CCCCCCC)CCCCCCC	Test	1
760	76-13-1	FC(F)(C(F)(Cl)Cl)Cl	Training	0
761	76-03-9	O=C(O)C(Cl)(Cl)Cl	Test	0
762	634-93-5	Nc1c(cc(cc1Cl)Cl)Cl	Training	0
763	79-00-5	C(C(Cl)Cl)Cl	Training	0
764	71-55-6	CC(Cl)(Cl)Cl	Training	0
765	79-01-6	C(=C(Cl)Cl)Cl	Training	0
766	75-69-4	FC(Cl)(Cl)Cl	Training	0
767	133-07-3	O=C1c2ccccc2(C(=O)N1SC(Cl)(Cl)Cl)	Training	0
768	88-06-2	Oc1c(cc(cc1Cl)Cl)Cl	Training	1
769	93-76-5	O=C(O)COc1cc(c(cc1Cl)Cl)Cl	Training	0
770	52-68-6	O=P(OC)(OC)C(O)C(Cl)(Cl)Cl	Test	0
771	96-18-4	C(C(CCl)Cl)Cl	Training	1
772	102-71-6	OCCN(CCO)CCO	Training	0
773	112-27-6	OCCOCCOCCO	Training	0
774	42011-48-3	O=C(Nc1nc(cs1)c2oc(cc2)[N+](=O)[O-])C(F)(F)F	Training	1
775	1582-09-8	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F	Training	0
776	127-48-0	O=C1OC(C(=O)N1C)(C)C	Training	0
777	112665-43-7	O=C(O)CCCCCC(c1ccccc1)C=2C(=O)C(=C(C(=O)C=2C)C)C	Training	0
778	137-17-7	Nc1cc(c(cc1C)C)C	Training	1
779	95-63-6	c1cc(c(cc1C)C)C	Test	1
780	2489-77-2	N(C(N(C)C)=S)C	Training	1
781	99-35-4	O=[N+]([O-])c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]	Training	0
782	55-63-0	O=[N+]([O-])OCC(O[N+](=O)[O-])CO[N+](=O)[O-]	Training	1
783	126-72-7	O=P(OCC(CBr)Br)(OCC(CBr)Br)OCC(CBr)Br	Training	1
784	78-42-2	O=P(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC	Training	0
785	122-20-3	OC(C)CN(CC(O)C)CC(O)C	Training	0
786	54-12-6	O=C(O)C(N)Cc2c[nH]c1ccccc12	Training	0
787	73-22-3	O=C(O)C(N)Cc2c[nH]c1ccccc12	Training	0
788	458-37-7	O=C(C=Cc1ccc(O)c(OC)c1)CC(=O)C=Cc2ccc(O)c(OC)c2	Training	0
789	66-22-8	O=C1C=CNC(=O)N1	Training	1
790	34661-75-1	O=C3C=C(NCCCN2CCN(c1ccccc1(OC))CC2)N(C(=O)N3C)C	Training	0
791	57-13-6	O=C(N)N	Training	0
792	51-79-6	O=C(OCC)N	Training	1
793	865-21-4	O=C(OC2C(O)(C(=O)OC)C5N(c1cc(OC)c(cc1C45(CCN3CC=CC2(CC)C34))C9(C(=O)OC)(c7[nH]c6ccccc6c7CCN8CC(CC(O)(C8)CC)C9))C)C	Training	0
794	108-05-4	O=C(OC=C)C	Training	1
795	593-60-2	C=CBr	Training	1
796	75-01-4	C=CCl	Test	1
797	75-02-5	FC=C	Training	1
798	75-38-7	FC(F)=C	Test	0
799	88-12-0	O=C1N(C=C)CCC1	Training	1
800	83480-29-9	OCC(NC1CC(O)(CO)C(O)C(O)C1(O))CO	Training	0
801	2832-40-8	O=C2C=CC(=CC2(=NNc1ccc(cc1)NC(=O)C))C	Training	1
802	6358-85-6	O=C(Nc1ccccc1)C(N=Nc2ccc(cc2Cl)c4ccc(N=NC(C(=O)Nc3ccccc3)C(=O)C)c(c4)Cl)C(=O)C	Training	0
803	5979-28-2	O=C(Nc1ccc(cc1C)c3ccc(NC(=O)C(N=Nc2ccc(cc2Cl)Cl)C(=O)C)c(c3)C)C(N=Nc4ccc(cc4Cl)Cl)C(=O)C	Test	0
804	5567-15-7	O=C(Nc1cc(OC)c(cc1(OC))Cl)C(N=Nc2ccc(cc2Cl)c4ccc(N=NC(C(=O)Nc3cc(OC)c(cc3(OC))Cl)C(=O)C)c(c4)Cl)C(=O)C	Test	0
805	128-66-5	O=C3c1ccccc1c4ccc5C(=O)c2ccccc2c6ccc3c4c56	Training	0
806	59820-43-8	O=[N+]([O-])c1ccc(NCCO)c(OCCO)c1	Test	0
807	17924-92-4	O=C1OC(C)CCCC(=O)CCCC=Cc2cc(O)cc(O)c12	Training	0
