ID	CAS	SMILES VEGA	Status	Exp. endpoint
82	000060-57-1	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	Training	3.9472
83	000060-80-0	O=C1C=C(N(N1c2ccccc2)C)C	Training	1.0792
84	000060-87-7	c1ccc3c(c1)N(c2ccccc2S3)CC(N(C)C)C	Training	1.0864
85	000060-99-1	O(c1ccc3c(c1)N(c2ccccc2S3)CC(C)CN(C)C)C	Training	1.4771
86	000061-32-5	O=C(O)C3N2C(=O)C(NC(=O)c1c(OC)cccc1(OC))C2SC3(C)(C)	Training	-0.1938
87	000061-33-6	O=C(O)C3N2C(=O)C(NC(=O)Cc1ccccc1)C2SC3(C)(C)	Training	-0.1549
88	000061-68-7	O=C(O)c2ccccc2(Nc1cccc(c1C)C)	Training	0.301
89	000062-44-2	O=C(Nc1ccc(OCC)cc1)C	Training	-0.0362
90	000063-12-7	O=C(OC2CC3c1cc(OC)c(OC)cc1CCN3(CC2(C(=O)N(CC)CC)))C	Training	0.1139
91	000063-98-9	O=C(N)NC(=O)Cc1ccccc1	Training	1.3711
92	000064-77-7	O=C(NCCCC)NS(=O)(=O)c1ccc(cc1)C	Training	0.8451
93	000064-86-8	O=C1C=C3C(=CC=C1(OC))c2c(OC)c(OC)c(OC)cc2CCC3(NC(=O)C)	Training	1.7634
94	000066-79-5	O=C(O)C4N3C(=O)C(NC(=O)c1c(noc1C)c2ccccc2)C3SC4(C)(C)	Training	-0.1549
95	000067-20-9	O=C2NC(O)=CN2(N=Cc1oc(cc1)[N+](=O)[O-])	Training	-0.0132
96	000067-45-8	O=C2OCCN2(N=Cc1oc(cc1)[N+](=O)[O-])	Training	-0.7782
97	000067-66-3	C(Cl)(Cl)Cl	Training	0.1761
98	000067-73-2	O=C5C=CC3(C(=C(F)CC2C4CC1OC(OC1(C(=O)CO)C4(C)(CC(O)C23(F)))(C)C)C5)(C)	Training	0.1761
99	000067-97-0	OC1C=C(C(=CC1)C)CCC3=C2CCC(C(C)CCCC(C)C)C2(C)CCC3	Training	2.8274
100	000068-22-4	O=C1CC3=C(CC1)C4CCC2(C)(C(CCC2(O)(C#C))C4(CC3))	Training	0.8451
101	000068-35-9	O=S(=O)(Nc1ncccn1)c2ccc(N)cc2	Training	0.8451
102	000068-88-2	OCCOCCN1CCN(CC1)C(c2ccccc2)c3ccc(cc3)Cl	Training	1.3522
103	000069-53-4	O=C(O)C3N2C(=O)C(NC(=O)C(N)c1ccccc1)C2SC3(C)(C)	Training	0.1461
104	000069-65-8	OCC(O)C(O)C(O)C(O)CO	Training	0.2218
105	000070-51-9	O=C(NCCCCCN(O)C(=O)C)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN	Training	0.7782
106	000071-43-2	c1ccccc1	Training	1.3802
107	000071-63-6	Oc1occ(c1)C6CCC7(O)(C8CCC5CC(OC4OC(C)C(OC3OC(C)C(OC2OC(C)C(O)C(O)C2)C(O)C3)C(O)C4)CCC5(C)C8(CCC67(C)))	Training	2.2553
