id	cas	smiles	status	exp value
1		FC(F)(F)c1cc2NCCc2(cc1C)	Training	0
273		FC(F)(F)c3cccc(Oc2c(OC)cc(N)c1nc(OC)cc(c12)C)c3	Training	0
297		N#CC(c2ccc(OC)c(OC1CCCC1)c2)(CCC(=O)OC)CCC(=O)OC	Training	0
275		N#CC3(c2ccc(OC)c(OC1CCCC1)c2)(CCC(=O)CC3)	Training	0
281		N#CC3N(C(=O)C(N)C(c1ccc(F)cc1)c2ccc(F)cc2)CC(F)C3	Training	0
679		N#CCc1cc(OC)c(cc1[N+](=O)[O-])C(F)(F)F	Training	0
392		N#CN(C#N)C(C)C	Training	0
66		n1ccc(c2cc(OC)cc(N)c12)C	Training	0
169		n1ccc(nc1Cl)N(c3ccc2c(nn(c2C)C)c3)C	Training	0
136		n1ccc(nc1Cl)Nc3ccc2c(nn(c2C)C)c3	Training	0
573		n2c1cc(N)ccc1c(n2C)C	Training	0
898		O(c1ccc(cc1)Cc3ccc(OCC2OC2)cc3)CC4OC4	Training	0
400		O=C(O)CC(O)(C(=O)O)C	Training	0
613		O=C(OC(C)(C)C)N1CC(F)CC1(C(=O)N)	Training	0
648		O=C(OC2CC(C=C)(C)C(O)C(C)C13(CCC(=O)C1C2(C)C(C)CC3))CSC5CC4N(C)C(CC4)C5	Training	0
338		O=C(OC2COC1OCCC12)NC(Cc4ccc(OCc3nc(C)sc3)cc4)C(O)CN(CC(C)C)S(=O)(=O)c5ccc6OCOc6(c5)	Training	0
340		O=C(OCC)C(=NOC(C(=O)OC(C)(C)C)(C)C)c4nc(NC(c1ccccc1)(c2ccccc2)c3ccccc3)sc4	Training	0
282		O=C(OCc1ccccc1)N3C=CC(=O)CC3(c2ccc(F)cc2C)	Training	0
887		O=C(OCCOCC(OCCO)C1OCC(OCCO)C1(OCCO))CCCCCCCC=CCCCCCCCC	Training	0
647		O=C1C=CC4(C(=C1)CCC3C4(=CCC2(C)(C3(CC(C)C2(O)(C(=O)COC(=O)C)))))C	Training	0
335		O=C1c5ccccc5(C(=O)N1CCCC(Nc4cc(OC)c(Oc2cccc(c2)C(F)(F)F)c3c4(nc(OC)cc3C))C)	Training	0
945		O=C1OC(C)(C)CC1C(OS(=O)(=O)c2ccccc2)Cl	Training	0
316		O=C2N(c1ccccc1)CCC2[P+](c3ccccc3)(c4ccccc4)c5ccccc5	Training	0
337		O=C3C(=NOCc1ccccc1)C(=O)N(c2ccccc2N3c4ccccc4)CC(=O)N(c5ccccc5)C(C)C	Training	0
315		O=C3NC(C(=O)N(C(c1nc(oc1)C)C(=O)N2CCOCC2)C3C(C)CC)C5Cc4ccccc4C5	Training	0
228		O=CNc2cc(ccc2(OCc1ccccc1))C(O)CBr	Training	0
660		O=S(=O)(C)CCN	Training	0
642		O=S(=O)(c1ccc(cc1)c2c(nn3ncccc23)c4ccc(OCC)cc4)C	Training	0
235		O=S(=O)(N)c1cccc(c1)CCCCOCCCCCCBr	Training	0
946		O=S(=O)(O)OCCCCCCCCCCCCCCCC	Training	0
254		O=S(=O)(OC)CCCCCCCCCCCCCCCC	Training	0
665		O8C9CCC(CC[Si]1(O[Si](O[Si](O[Si](O1)(C)CCC2CCC3OC3(C2))(C)CCC4CCC5OC5(C4))(C)CCC6CCC7OC7(C6))C)CC89	Training	0
670		OB(O)c1c(OC)cc(cc1(OC))COCC	Training	0
836		OC(C=CCC(O)(C=C)C)(C)C	Training	0
640		Oc1ccc(cc1CO)C(O)CN(Cc2ccccc2)C(C)(C)C	Training	0
246		O=C(c1ccc(OC)cc1(O))c2cc(OCCC)ccc2Br	Training	0
111		O=C(c1cccc(c1)C)N(CC)CC	Training	0
135		O=C(c1oc(cc1)Cc2ccc(F)cc2)C	Training	0
314		O=C(N(c1ccccc1)C(C)C)CN4c2ccccc2N(c3ccccc3)C(=O)C(N)C4(=O)	Training	0
402		O=C(N)C1NCC(F)C1	Training	0
61		O=C(O)C(=NOCc1ccccc1)C(=O)O	Training	0
629		[C-]#[N+]C(c1ccc(F)cc1)S(=O)(=O)c2ccc(cc2)C	Training	1
536		C#CC(O)CCCCC	Training	1
216		C(=C(C)C)CCC(=C1CC=C(C)CC1)C	Training	1
334		C(=C(C)C)CCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C	Training	1
155		C(=NC1CCCCC1)=NC2CCCCC2	Training	1
357		C(N(C)C)(=S)S	Training	1
46		C(N(CC)CC)(=S)SSC(N(CC)CC)=S	Training	1
215		C=C2C1CCC3C1C(C)(C)CCCC23(C)	Training	1
515		c1cc(cc(c1)C)C	Training	1
760		c1cc(cc(c1)NC)NC	Training	1
245		c1cc2ccc3ccc(c4ccc(c1)c2c34)CCl	Training	1
516		c1ccc(c(c1)C)C	Training	1
306		c1ccc(cc1)C[N+](C)(C)CCCCCCCCCCCCCC	Training	1
257		c1ccc(cc1)C3(c2ccccc2C(C)(C)C3)(C)	Training	1
497		c1ccc(cc1)CBr	Training	1
498		c1ccc(cc1)CCl	Training	1
209		c1ccc(cc1)Nc2ccc(cc2)NC(C)C	Training	1
278		c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	1
280		c1ccc2c(c1)ccc4c2c(c3ccccc3c4C)C	Training	1
736		c1ccc2c(c1)NC(=S)S2	Training	1
128		CCCCCCCCCCCCBr	Training	1
160		CCCCCCCCCCCCCBr	Training	1
189		CCCCCCCCCCCCCCBr	Training	1
223		CCCCCCCCCCCCCCCBr	Training	1
241		CCCCCCCCCCCCCCCCBr	Training	1
253		CCCCCCCCCCCCCCCCCBr	Training	1
268		CCCCCCCCCCCCCCCCCCBr	Training	1
269		CCCCCCCCCCCCCCCCCCCl	Training	1
242		CCCCCCCCCCCCCCCCCl	Training	1
243		CCCCCCCCCCCCCCCCI	Training	1
191		CCCCCCCCCCCCCCCl	Training	1
52		CCCCCCCCCCI	Training	1
593		CCCCCCCCCI	Training	1
208		N#CC(c1ccc(cc1)Cl)(Cn2ncnc2)CCCC	Training	1
171		N#CC(c1ccccc1)=C2CCCCC2	Training	1
303		N#CC(OC(=O)C1C(C=C(C(F)(F)F)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	1
439		N#CCCC(C#N)(CBr)Br	Training	1
476		N#CSc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]	Training	1
480		N#CSc1ccc(N)c(c1)[N+](=O)[O-]	Training	1
653		N#CSCC1C(=O)OC(C)(C)C1	Training	1
989		N(C(=NC(C)C)N)=C(N)Nc1ccc(c(c1)Cl)Cl	Training	1
255		N(c1ccc(N)cc1)=C3C=C(N)C(=Nc2ccc(N)cc2)C=C3(N)	Training	1
366		N(CC)CC	Training	1
417		N(CC)CCN(C)C	Training	1
323		N1=C(N)NNC1=S	Training	1
426		n1c(cccc1Cl)C(Cl)(Cl)Cl	Training	1
468		n1c(OC)c(N)cc(N)c1OC	Training	1
64		n1cc(N)ccc1Oc2cccnc2C	Training	1
499		n1ccc(C=C)cc1	Training	1
370		n1ccc(nc1Cl)Cl	Training	1
141		n1cccc2cc(ccc12)C(C)CC	Training	1
89		N2(CN1CCCCC1)CCCCC2	Training	1
436		Nc1ccc(c(c1)Cl)Cl	Training	1
461		Nc1ccc(c(N)c1)C	Training	1
462		Nc1ccc(N)c(c1)C	Training	1
455		Nc1cccc(N)c1	Training	1
415		NC1CCCCC1(N)	Training	1
102		Nc2ccccc2(Nc1ccccc1)	Training	1
595		NCCCCC(C)C(N)(C)C	Training	1
389		NCCCN(C)C	Training	1
419		NCCCNCCCN	Training	1
912		ON=C1C(=CCCC1)C	Training	1
755		OCC(CO)C(O)CC	Training	1
957		Oc1ccc(OC)cc1	Training	1
900		O(c1ccccc1)CC2OC2	Training	1
895		O(c1ccccc1)CCC2OC2	Training	1
891		O(CC=CC)CC1OC1	Training	1
976		O=[N+]([O-])c1cccc(F)c1[N+](=O)[O-]	Training	1
986		O=C(c1ccc(cc1C)C)CC(=O)C	Training	1
796		O=C(OCC#CI)NCCCC	Training	1
990		O=C(OCC)C(=CCCCCCCC)C(=O)C	Training	1
903		O=CC1=CCC(C=C)CC1	Training	1
942		O=S(=O)(O)SCCCCCCCCCCCC	Training	1
