id 	cas	smiles	status	exp value
378		O=C(OC)c1ccccc1(C(=O)OC)	Test	1
379		n1cscc1c2nc3ccccc3([nH]2)	Training	1
380		C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	1
381		O=C(N(C)C)Cl	Training	1
382		O=S(=O)(OCC)OCC	Training	1
383		O=C2NN=C(C)CN2(N=Cc1cnccc1)	Test	1
384		O=C(O)CN(CC(=O)O)CC(=O)O	Training	1
385		O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C(=O)C))))C3(C)CC4	Training	1
386		O=C(NC(Cc1ccccc1)C(O)C(=O)N2CC(O)C(O)C2)c3cc4cc(ccc4([nH]3))Cl	Training	1
387		CCCCCCCCCCCCCCCC	Training	1
388		O=C(NC(C(=O)CCl)(C)CC)c1cc(c(c(c1)Cl)C)Cl	Training	1
389		O=C(O)Cc2cc(c(Oc1cc(c(O)c(c1)I)I)c(c2)I)I	Training	1
390		N(=CN(C=Nc1ccc(cc1C)C)C)c2ccc(cc2C)C	Training	1
391		O=C(c1ccc(cc1)c2ccc(cc2C)c3nnc(o3)C)N7c6cc4c(OCC45(CCN(CC)CC5))cc6CC7	Training	1
392		O=C(NCc1ccc(cc1)C(O)(C)C)c4cccnc4(Oc2ccc3nonc3(c2))	Training	1
393		O=C(OC)N(OC)c1ccccc1COc2nn(cc2)c3ccc(cc3)Cl	Training	1
394		O(CCCl)CCCl	Training	1
396		O=C(NCc1ccccc1)C2=CNc3ccc(nc3(C2(=O)))OCC	Training	1
397		O=C1NC(=O)SC1Cc3ccc(OCCc2ncc(cc2)CC)cc3	Training	1
398		O=CCCCC	Training	1
399		O=C(OCCCCCC(C)C)C=C	Training	1
400		O=C1c3ccc(O)cc3(C(=O)N1c2c(cccc2C(C)C)C(C)C)	Training	1
401		O=C3OC(CCC2C(C=CC1=CC(C)CC(OC(=O)C(C)CC)C12)C)CC(O)C3	Test	1
402		O=C(Nc1ccccc1)c2ccccc2I	Training	1
403		OCCCl	Test	1
404		n1cccc(c1)C2N(C)CCC2	Training	1
405		O=C(Nc1cccc(c1)C(F)(F)F)N(C)C	Test	1
406		O1C(C)CN(CCCCCCCCCCCCC)CC1C	Training	1
407		O=C(O)c1nc(c(c(N)c1Cl)Cl)Cl	Training	1
408		C#CC(O)C(CC)CCCC	Training	1
409		O=P(SCCCC)(SCCCC)SCCCC	Training	1
410		O=C(O)c6ccc3c(nc(C(=O)NC1CCN(CC1)C2CC2)n3Cc4noc(c4)c5ccc(Cl)s5)c6	Training	1
411		O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-]	Training	1
412		OC(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C	Training	1
413		n1c(nc(cc1C)C2CC2)Nc3ccccc3	Training	1
414		OC(c1ccc(cc1)Cl)(c2ccc(cc2)Cl)C(Cl)(Cl)Cl	Test	1
415		O=[N+]([O-])c1ccc(cc1)C	Test	1
416		O=C(O)c3cc(N=Nc1ccc(cc1)S(=O)(=O)Nc2ncccc2)ccc3(O)	Training	1
417		O=CCCCC=O	Training	1
418		O=C2N(C)C(c1cnccc1)CC2	Training	1
419		Oc1cc(ccc1C)C	Test	1
420		C(N(CC)CC)(=S)SSC(N(CC)CC)=S	Test	1
421		O=S(=O)(N)c1cc2c(cc1Cl)NCNS2(=O)(=O)	Training	1
422		O=C(c1ccccc1)N3CCOC(c2ccc(c(c2)Cl)Cl)(C3)CCN5CCC(C(=O)N(C)C)(N4CCCCC4)CC5	Training	1
423		O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C))))C3(C)CC4	Training	1
424		O=C(O)c2cc(cnc2(C1=NC(C(=O)N1)(C)C(C)C))COC	Training	1
425		O=C1NCCCCC1	Training	1
426		O=C(O)C3N2C(=O)C(NC(=O)C(C(C)C)SC(=O)C)Cc1ccccc1C2CCC3	Training	1
427		Fc1ccc(cc1)C2(O)(CCN(CC2)C4COc3cc(O)ccc3C4(O))	Training	1
428		O=C(O)CC(O)(C(=O)O)CC(=O)O	Test	1
429		FC(F)C(F)(F)OCC(c1ccc(cc1Cl)Cl)Cn2ncnc2	Training	1
430		O=[N+]([O-])c1cccc(c1C)C	Test	1
431		n1cn[nH]c1	Test	1
434		O=[N+]([O-])c1cccc(c1)C	Training	1
435		O=C1C(=C(O)CC(C1)CC(C)SCC)C(=NOCC)CCC	Training	1
436		Fc3ccc(Oc2ccnc1cc(cc(c12)Cl)Cl)cc3	Training	1
437		Fc1ccc(cc1)CCN2CCC(CC2)C(O)c3cccc(OC)c3(OC)	Training	1
438		O=C(c1nc(c2ccccc2(c1))c3ccccc3Cl)N(C)C(C)CC	Training	1
439		O=C(O)CN2C(=O)N(C(=O)c1ccc(cc12)Cl)Cc3ccc(cc3(F))Br	Training	1
440		n1ccccc1OC(C)COc3ccc(Oc2ccccc2)cc3	Training	1
441		Fc1ccc(cc1)c4ncn(c4(c2nc(ncc2)Oc3ccccc3))C(CO)CO	Training	1
442		O=C1C(=NN=C(N1(N))SC)C(C)(C)C	Training	1
443		O=C(Nc1c(cccc1C)C)C[N+](Cc2ccccc2)(CC)CC	Training	1
444		O=C(OCC)C(Oc1ccc(cc1)Cl)(C)C	Training	1
445		O=[N+]([O-])c1cccc(c1C)[N+](=O)[O-]	Training	1
446		c1cc2cccc3C=Cc(c1)c23	Test	1
447		O=C(C=C(c1ccc(cc1)Cl)c2ccc(OC)c(OC)c2)N3CCOCC3	Training	1
448		n1c(nc(nc1NCC)Cl)NCC	Training	1
449		O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-]	Training	1
450		O=C(N1CCCCCC1)SCC	Training	1
451		O=C(N(c1c(cccc1CC)CC)COCCCC)CCl	Training	1
452		O=C(OC(C)CCCCCC)COc1nc(F)c(c(N)c1Cl)Cl	Training	1
453		O=C1C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	1
454		O=S(=O)(O)c1ccccc1	Training	1
455		c1cc(ccc1Cl)Cl	Training	1
456		OC(c1cncnc1)(c2ccc(cc2)Cl)c3ccccc3Cl	Test	1
457		c1ccc(cc1)N(CC)CC	Test	1
458		Oc1ccccc1C(C)CC	Test	1
459		N#Cc1cnccc1	Test	1
460		O=C(NS(=O)(=O)C=Cc1ccc(OC)cc1)c2ccc(cc2Cl)C	Training	1
461		c1cc(c(c(c1)Cl)Cl)Cl	Training	1
462		O=C(O)C4CCC(NC(=O)C1(CCCC1)CC(C(=O)Oc2ccc3c(c2)CCC3)COCCOC)CC4	Training	1
463		O=C(c1cccc(c1C3(C(=O)N(c2ccc(cc23)Cl)Cc4ccc(OC)cc4(OC))C)Cl)N(Cc5cnccc5)CC	Training	1
464		O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(C)C	Training	1
465		O=C(OCCCCCCCC)c1ccc(C(=O)OCCCCCCCC)c(c1)C(=O)OCCCCCCCC	Training	1
466		O=C1C(=C(O)CC(C1)CC(C)SCC)C(=NOCC=CCl)CC	Training	1
467		O=S(c1ccc(cc1)c3cc(nn3(c2ccc(OC)cc2))C(F)F)C	Test	1
468		O=C(Oc1ccc(cc1)Br)N2CCN3CCC2CC3	Test	1
469		O=[N+]([O-])c1ccc(c(c1)C)C	Training	1
470		O=C(OCCOCCOCCOC(=O)C)C	Training	1
471		O=C(Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-])C(O)(C)C	Training	1
