Id	CAS number	VEGA SMILES	Status	Exp
141	2179-57-9	C=CCSSCC=C	Training	0
142	2179-59-1	C=CCSSCCC	Training	0
143	2050-87-5	C=CCSSSCC=C	Training	0
144	7398-69-8	C=CC[N+](C)(C)CC=C	Training	0
145	65039-10-3	C=CCn1cc[n+](c1)C	Training	0
146	105-06-6	C=Cc1ccc(C=C)cc1	Training	0
147	622-97-9	C=Cc1ccc(cc1)C	Training	0
148	1746-23-2	C=Cc1ccc(cc1)C(C)(C)C	Training	0
149	100-42-5	C=Cc1ccccc1	Training	0
150	7581-97-7	CC(C(C)Cl)Cl	Training	0
151	4532-64-3	CC(C(C)S)S	Training	0
152	598-77-6	CC(C(Cl)Cl)Cl	Training	0
153	507-20-0	CC(C)(C)Cl	Training	0
154	75-66-1	CC(C)(C)S	Training	0
155	594-20-7	CC(C)(Cl)Cl	Training	0
156	75-26-3	CC(C)Br	Training	0
157	25103-58-6	CC(C)C(C)(C)C(C)(C)C(C)(C)S	Training	0
158	79-29-8	CC(C)C(C)C	Training	0
159	540-84-1	CC(C)CC(C)(C)C	Training	0
160	111-01-3	CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C	Training	0
161	13360-78-6	CC(C)CP(CC(C)C)(=S)S	Training	0
162	75-33-2	CC(C)S	Training	0
163	78-87-5	CC(CCl)Cl	Training	0
164	71-55-6	CC(Cl)(Cl)Cl	Training	0
165	75-34-3	CC(Cl)Cl	Training	0
166	828-26-2	CC1(C)(SC(C)(C)SC(C)(C)S1)	Training	0
167	4802-20-4	CC1CCC(CC1S)C(C)CS	Training	0
168	473-55-2	CC1CCC2CC1C2(C)(C)	Training	0
169	96-37-7	CC1CCCC1	Training	0
170	74-96-4	CCBr	Training	0
171	75-83-2	CCC(C)(C)C	Training	0
172	562-49-2	CCC(C)(C)CC	Training	0
173	78-76-2	CCC(C)Br	Training	0
174	78-86-4	CCC(C)Cl	Training	0
175	513-53-1	CCC(C)S	Training	0
176	5943-30-6	CCC(C)SSC(C)CC	Training	0
177	616-21-7	CCC(CCl)Cl	Training	0
178	106-94-5	CCCBr	Training	0
179	107-83-5	CCCC(C)C	Training	0
180	589-34-4	CCCC(C)CC	Training	0
181	109-66-0	CCCCC	Training	0
182	110-53-2	CCCCCBr	Training	0
183	110-54-3	CCCCCC	Training	0
184	111-25-1	CCCCCCBr	Training	0
185	142-82-5	CCCCCCC	Training	0
186	111-65-9	CCCCCCCC	Training	0
187	111-83-1	CCCCCCCCBr	Training	0
188	111-84-2	CCCCCCCCC	Training	0
189	693-58-3	CCCCCCCCCBr	Training	0
190	124-18-5	CCCCCCCCCC	Training	0
191	1120-21-4	CCCCCCCCCCC	Training	0
192	693-67-4	CCCCCCCCCCCBr	Training	0
193	112-40-3	CCCCCCCCCCCC	Training	0
194	143-15-7	CCCCCCCCCCCCBr	Training	0
195	629-50-5	CCCCCCCCCCCCC	Training	0
196	765-09-3	CCCCCCCCCCCCCBr	Training	0
197	629-59-4	CCCCCCCCCCCCCC	Training	0
198	112-71-0	CCCCCCCCCCCCCCBr	Training	0
199	629-62-9	CCCCCCCCCCCCCCC	Training	0
200	629-72-1	CCCCCCCCCCCCCCCBr	Training	0
201	544-76-3	CCCCCCCCCCCCCCCC	Training	0
202	112-82-3	CCCCCCCCCCCCCCCCBr	Training	0
203	629-78-7	CCCCCCCCCCCCCCCCC	Training	0
204	3508-00-7	CCCCCCCCCCCCCCCCCBr	Training	0
205	3386-33-2	CCCCCCCCCCCCCCCCCCCl	Training	0
206	544-77-4	CCCCCCCCCCCCCCCCI	Training	0
207	2425-54-9	CCCCCCCCCCCCCCCl	Training	0
208	112-52-7	CCCCCCCCCCCCCl	Training	0
209	4292-19-7	CCCCCCCCCCCCI	Training	0
210	112-55-0	CCCCCCCCCCCCS	Training	0
211	3698-89-3	CCCCCCCCCCCCSC	Training	0
212	1002-69-3	CCCCCCCCCCCl	Training	0
213	2473-01-0	CCCCCCCCCCl	Training	0
214	4282-42-2	CCCCCCCCCI	Training	0
215	111-85-3	CCCCCCCCCl	Training	0
216	111-88-6	CCCCCCCCS	Training	0
217	3698-94-0	CCCCCCCCSCC	Training	0
218	638-45-9	CCCCCCI	Training	0
219	872-10-6	CCCCCSCCCCC	Training	0
220	109-69-3	CCCCCl	Training	0
221	998-40-3	CCCCP(CCCC)CCCC	Training	0
222	109-79-5	CCCCS	Training	0
223	544-40-1	CCCCSCCCC	Training	0
224	56375-79-2	CCCC[N+](C)(CCCC)CCCC	Training	0
225	1643-19-2	CCCC[N+](CCCC)(CCCC)CCCC	Training	0
226	330671-29-9	CCCC[N+]1(C)(CCCC1)	Training	0
227	37971-78-1	CCCC[N+]1(C)(CCCCC1)	Training	0
228	2304-30-5	CCCC[P+](CCCC)(CCCC)CCCC	Training	0
229	1118-46-3	CCCC[Sn](Cl)(Cl)Cl	Training	0
230	629-19-6	CCCSSCCC	Training	0
231	1941-30-6	CCC[N+](CCC)(CCC)CCC	Training	0
232	327022-58-2	CCC[N+]1(C)(CCCC1)	Training	0
233	17874-63-4	CCC[N+]1(C)(CCCCC1)	Training	0
234	352-93-2	CCSCC	Training	0
235	693-07-2	CCSCCCl	Training	0
236	994-28-5	CC[Ge](CC)(CC)Cl	Training	0
237	10052-47-8	CC[N+](C)(CC)CC	Training	0
238	56-34-8	CC[N+](CC)(CC)CC	Training	0
239	121057-90-7	CC[N+]1(C)(CCCC1)	Training	0
240	624-92-0	CSSC	Training	0
241	75-57-0	C[N+](C)(C)C	Training	0
242	541-22-0	C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C	Training	0
243	60-26-4	C[N+](C)(C)CCCCCC[N+](C)(C)C	Training	0
244	999-81-5	C[N+](C)(C)CCCl	Training	0
245	24307-26-4	C[N+]1(C)(CCCCC1)	Training	0
246	75-76-3	C[Si](C)(C)C	Training	0
247	75-77-4	C[Si](C)(C)Cl	Training	0
248	993-16-8	C[Sn](Cl)(Cl)Cl	Training	0
249	76-12-0	FC(C(F)(Cl)Cl)(Cl)Cl	Training	0
250	75-69-4	FC(Cl)(Cl)Cl	Training	0
251	76-13-1	FC(F)(C(F)(Cl)Cl)Cl	Training	0
252	88485-37-4	FC(F)(F)C(=NOCC1OCCO1)c2ccc(cc2)Cl	Training	0
253	354-58-5	FC(F)(F)C(Cl)(Cl)Cl	Training	0
254	151-67-7	FC(F)(F)C(Cl)Br	Training	0
255	423-55-2	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br	Training	0
256	678-39-7	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO	Training	0
257	2043-57-4	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI	Training	0
258	647-42-7	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO	Training	0
259	355-42-0	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	0
260	678-26-2	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	0
261	2043-55-2	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI	Training	0
262	75-89-8	FC(F)(F)CO	Training	0
263	333-36-8	FC(F)(F)COCC(F)(F)F	Training	0
264	56425-91-3	FC(F)(F)Oc1ccc(cc1)C(O)(c2cncnc2)C(C)C	Training	0
266	54240-36-7	FC(F)(F)c1cc(cc(c1(N))Cl)C(O)CNC(C)(C)C	Training	0
267	328-84-7	FC(F)(F)c1ccc(c(c1)Cl)Cl	Training	0
268	98-56-6	FC(F)(F)c1ccc(cc1)Cl	Training	0
269	320-60-5	FC(F)(F)c1ccc(cc1Cl)Cl	Training	0
270	36167-63-2	FC(F)(F)c1ccc2c(c1)c3cc(cc(c3(cc2C(O)CCN(CCCC)CCCC))Cl)Cl	Training	0
271	98-16-8	FC(F)(F)c1cccc(N)c1	Training	0
272	90494-79-4	FC(F)(F)c1cccc(c1)C4=CCN(CCc2ccc3ccccc3(c2))CC4	Training	0
273	3239-45-0	FC(F)(F)c1cccc(c1)CC(NCC)C	Training	0
274	98-15-7	FC(F)(F)c1cccc(c1)Cl	Training	0
275	88-16-4	FC(F)(F)c1ccccc1Cl	Training	0
276	25371-96-4	FC(F)(F)c1ccccc1n2cncc2	Training	0
277	76-38-0	FC(F)(OC)C(Cl)Cl	Training	0
278	26675-46-7	FC(F)OC(C(F)(F)F)Cl	Training	0
279	13838-16-9	FC(F)OC(F)(F)C(F)Cl	Training	0
280	306-94-5	FC1(F)(C(F)(F)C(F)(F)C2(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)(C1(F)(F))))	Training	0
281	306-91-2	FC1(F)(C(F)(F)C(F)(F)C3(F)(C(F)(C1(F)(F))C(F)(F)C(F)(F)C2(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C23(F))))	Training	0
282	28523-86-6	FCOC(C(F)(F)F)C(F)(F)F	Training	0
283	344-04-7	Fc1c(F)c(F)c(c(F)c1(F))Br	Training	0
284	668981-02-0	Fc1ccc(F)c(c1)c2ncoc2c3ccc4nnc(n4(c3))C(C)C	Training	0
285	367-25-9	Fc1ccc(N)c(F)c1	Training	0
286	371-40-4	Fc1ccc(N)cc1	Training	0
287	137234-62-9	Fc1ccc(c(F)c1)C(O)(Cn2ncnc2)C(c3ncncc3(F))C	Training	0
288	86386-73-4	Fc1ccc(c(F)c1)C(O)(Cn2ncnc2)Cn3ncnc3	Training	0
289	460-00-4	Fc1ccc(cc1)Br	Training	0
290	76674-21-0	Fc1ccc(cc1)C(O)(c2ccccc2(F))Cn3ncnc3	Training	0
291	63284-71-9	Fc1ccc(cc1)C(O)(c2cncnc2)c3ccccc3Cl	Training	0
292	171866-31-2	Fc1ccc(cc1)C2(O)(CCN(CC2)C4COc3cc(O)ccc3C4(O))	Training	0
293	119431-25-3	Fc1ccc(cc1)CC2CCN(CC2)CC(O)c3ccc(cc3)Cl	Training	0
294	139290-65-6	Fc1ccc(cc1)CCN2CCC(CC2)C(O)c3cccc(OC)c3(OC)	Training	0
295	324-93-6	Fc1ccc(cc1)c2ccc(N)cc2	Training	0
296	219790-72-4	Fc1ccc(cc1)c4ncn(c4(c2nc(ncc2)Oc3ccccc3))C(CO)CO	Training	0
297	55117-15-2	Fc1cccc(c1CCl)Cl	Training	0
298	462-06-6	Fc1ccccc1	Training	0
299	367-12-4	Fc1ccccc1(O)	Training	0
300	321-60-8	Fc1ccccc1c2ccccc2	Training	0
301	126-98-7	N#CC(=C)C	Training	0
302	1572-52-7	N#CC(=C)CCC#N	Training	0
303	101530-10-3	N#CC(=C2SCC(c1ccccc1Cl)S2)n3cncc3	Training	0
304	130929-57-6	N#CC(=Cc1cc(O)c(O)c(c1)[N+](=O)[O-])C(=O)N(CC)CC	Training	0
305	57966-95-7	N#CC(=NOC)C(=O)NC(=O)NCC	Training	0
306	14816-18-3	N#CC(=NOP(OCC)(OCC)=S)c1ccccc1	Training	0
307	3252-43-5	N#CC(Br)Br	Training	0
308	670-54-2	N#CC(C#N)=C(C#N)C#N	Training	0
309	10222-01-2	N#CC(C(=O)N)(Br)Br	Training	0
310	5232-99-5	N#CC(C(=O)OCC)=C(c1ccccc1)c2ccccc2	Training	0
311	3333-52-6	N#CC(C)(C)C(C#N)(C)C	Training	0
312	78-82-0	N#CC(C)C	Training	0
313	545-06-2	N#CC(Cl)(Cl)Cl	Training	0
314	19355-69-2	N#CC(N)(C)C	Training	0
315	13893-53-3	N#CC(N)(C)C(C)C	Training	0
316	26842-43-3	N#CC(N)(C)CC(C)C	Training	0
317	1187-42-4	N#CC(N)=C(C#N)N	Training	0
318	78-67-1	N#CC(N=NC(C#N)(C)C)(C)C	Training	0
319	13472-08-7	N#CC(N=NC(C#N)(C)CC)(C)CC	Training	0
320	2638-94-0	N#CC(N=NC(C#N)(C)CCC(=O)O)(C)CCC(=O)O	Training	0
321	32889-48-8	N#CC(Nc1nc(nc(n1)Cl)NC2CC2)(C)C	Training	0
322	21725-46-2	N#CC(Nc1nc(nc(n1)Cl)NCC)(C)C	Training	0
323	75-86-5	N#CC(O)(C)C	Training	0
324	532-28-5	N#CC(O)c1ccccc1	Training	0
325	102851-06-9	N#CC(OC(=O)C(Nc1ccc(cc1Cl)C(F)(F)F)C(C)C)c3cccc(Oc2ccccc2)c3	Training	0
326	70124-77-5	N#CC(OC(=O)C(c1ccc(OC(F)F)cc1)C(C)C)c3cccc(Oc2ccccc2)c3	Training	0
327	51630-58-1	N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3	Training	0
328	52918-63-5	N#CC(OC(=O)C1C(C=C(Br)Br)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	0
329	39515-40-7	N#CC(OC(=O)C1C(C=C(C)C)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	0
330	68359-37-5	N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3ccc(F)c(Oc2ccccc2)c3	Training	0
331	52315-07-8	N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	0
332	120511-73-1	N#CC(c1cc(cc(c1)C(C#N)(C)C)Cn2ncnc2)(C)C	Training	0
333	88671-89-0	N#CC(c1ccc(cc1)Cl)(Cn2ncnc2)CCCC	Training	0
334	86-29-3	N#CC(c1ccccc1)c2ccccc2	Training	0
335	931-97-5	N#CC1(O)(CCCCC1)	Training	0
340	3867-15-0	N#CC2(N1CCCCC1)(CCCCC2)	Training	0
341	2094-98-6	N#CC2(N=NC1(C#N)(CCCCC1))(CCCCC2)	Training	0
342	13647-35-3	N#CC2=C(O)C5OC35(CCC1C4CCC(O)C4(C)(CCC1C3(C)(C2)))	Training	0
343	78415-72-2	N#CC2=CC(c1ccncc1)=C(NC2(=O))C	Training	0
344	1434-54-4	N#CC2CC3C4CC=C1CC(O)CCC1(C)C4(CCC3(C)(C2(C(=O)C)))	Training	0
345	153259-65-5	N#CC3(c2ccc(OC)c(OC1CCCC1)c2)(CCC(C(=O)O)CC3)	Training	0
346	119615-63-3	N#CC3=CC(c1ccc2nccn2(c1))=C(NC3(=O))C	Training	0
347	79547-78-7	N#CC4(c1ccc(F)cc1)(CCC(N3CCC(C(=O)O)(c2ccccc2)C(C)C3)CC4)	Training	0
348	361442-04-8	N#CC4N(C(=O)C(N)C23(CC1CC(CC(O)(C1)C2)C3))C5CC5(C4)	Training	0
349	NOCAS_47346	N#CC4N(C(=O)CNC3CC2N(c1ncccn1)C(CC2)C3)CC(F)(F)C4	Training	0
350	107-13-1	N#CC=C	Training	0
351	31983-27-4	N#CC=C(C)CCC=C(C)C	Training	0
352	25899-50-7	N#CC=CCC	Training	0
353	22629-49-8	N#CC=CCCCCCCCCCC	Training	0
354	590-17-0	N#CCBr	Training	0
355	107-12-0	N#CCC	Training	0
356	140-87-4	N#CCC(=O)NN	Training	0
357	372-09-8	N#CCC(=O)O	Training	0
358	105-34-0	N#CCC(=O)OC	Training	0
359	105-56-6	N#CCC(=O)OCC	Training	0
360	13361-34-7	N#CCC(=O)OCC(CC)CCCC	Training	0
361	5459-58-5	N#CCC(=O)OCCCC	Training	0
362	10258-54-5	N#CCC(=O)OCCOC	Training	0
363	625-28-5	N#CCC(C)C	Training	0
364	4635-87-4	N#CCC=CC	Training	0
365	110-61-2	N#CCCC#N	Training	0
366	4553-62-2	N#CCCC(C#N)C	Training	0
367	592-51-8	N#CCCC=C	Training	0
368	110-59-8	N#CCCCC	Training	0
369	1772-25-4	N#CCCCC(C#N)CCC#N	Training	0
370	111-69-3	N#CCCCCC#N	Training	0
371	629-08-3	N#CCCCCCC	Training	0
372	124-12-9	N#CCCCCCCC	Training	0
373	1975-78-6	N#CCCCCCCCCC	Training	0
374	2437-25-4	N#CCCCCCCCCCCC	Training	0
375	638-65-3	N#CCCCCCCCCCCCCCCCCC	Training	0
376	542-76-7	N#CCCCl	Training	0
377	1738-25-6	N#CCCN(C)C	Training	0
378	17209-72-2	N#CCCN(CCO)CCO	Training	0
379	148-87-8	N#CCCN(c1ccccc1)CC	Training	0
380	111-94-4	N#CCCNCCC#N	Training	0
381	69852-45-5	N#CCCNCCCN(C)C	Training	0
382	110-67-8	N#CCCOC	Training	0
383	10213-75-9	N#CCCOCC(CC)CCCC	Training	0
384	16728-49-7	N#CCCOCCCCCCCC	Training	0
385	3386-87-6	N#CCCOCCOCCC#N	Training	0
386	111-97-7	N#CCCSCCC#N	Training	0
387	919-31-3	N#CCC[Si](OCC)(OCC)OCC	Training	0
388	107-14-2	N#CCCl	Training	0
389	5766-67-6	N#CCN(CC#N)CCN(CC#N)CC#N	Training	0
390	63133-74-4	N#CCN(c1cccc(c1)C)CC	Training	0
391	628-87-5	N#CCNCC#N	Training	0
392	56796-39-5	N#CCSCC(=O)NC3(OC)(C(=O)N2C(C(=O)O)=C(CSc1nnnn1C)CSC23)	Training	0
393	6306-60-1	N#CCc1ccc(cc1Cl)Cl	Training	0
394	2338-76-3	N#CCc1cccc(c1)C(F)(F)F	Training	0
395	140-29-4	N#CCc1ccccc1	Training	0
396	610-66-2	N#CCc1ccccc1[N+](=O)[O-]	Training	0
397	420-04-2	N#CN	Training	0
398	135410-20-7	N#CN=C(N(C)Cc1cnc(cc1)Cl)C	Training	0
399	69014-14-8	N#CN=C(NC)NCCSCc1nc(N=C(N)N)sc1	Training	0
400	51481-61-9	N#CN=C(NC)NCCSCc1nc[nH]c1C	Training	0
401	85371-64-8	N#CN=C(Nc1ccncc1)NC(C)C(C)(C)C	Training	0
402	111988-49-9	N#CN=C2N(Cc1cnc(cc1)Cl)CCS2	Training	0
403	1934-75-4	N#CNC#N	Training	0
404	461-58-5	N#CNC(=N)N	Training	0
405	115344-47-3	N#CNC(=Nc1ccc(cc1)C2=NNC(=O)CC2C)NC	Training	0
406	333-20-0	N#CS	Training	0
407	115-31-1	N#CSCC(=O)OC1CC2CCC1(C)C2(C)(C)	Training	0
408	765-15-1	N#CSCCCCCCCCCCCC	Training	0
409	112-56-1	N#CSCCOCCOCCCC	Training	0
410	3012-37-1	N#CSCc1ccccc1	Training	0
411	68-19-9	N#C[Co+]N5C6=C(C8=NC(=CC7=NC(=C(C1=NC(C(CC(=O)N)C1(C)CCC(=O)NCC(OP(=O)([O-])OC2C(O)C(OC2(CO))n4cnc3cc(c(cc34)C)C)C)C5(C)C(C)(CC(=O)N)C6CCC(=O)N)C)C(CCC(=O)N)C7(C)C)C(CCC(=O)N)C8(C)CC(=O)N)C	Training	0
412	13755-38-9	N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O	Training	0
413	1897-52-5	N#Cc1c(F)cccc1(F)	Training	0
