Id	CAS	SMILES	STATUS	EXP Class
158		CC1(C)COP(=S)(OP2(=S)OCC(C)(C)CO2)OC1	Training	0
159		CC1(C)N(CO)C(=O)N(CO)C1=O	Test	1
160		CC1(C)SC2C(N)C(=O)N2C1C(O)=O	Training	1
161		CC12CCC3C(CCC33CCC(=O)O3)C1CCC1=CC(=O)CCC21C	Training	0
162		CC12CCC3C(CCC4=CC(=O)C=CC34C)C1CCC2O	Training	0
163		CC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O	Test	0
164		CC1=C(C=C(N)C=C1)S(O)(=O)=O	Training	1
165		CC1=C(CC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)C(C)=C(CC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)C(C)=C1CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C	Test	0
166		CC1=C(N)C=CC=C1Cl	Training	0
167		CC1=C(NC(=O)C2=C(O)C=C3C=CC=CC3=C2)C=CC=C1	Test	0
168		CC1=CC(=C(O)C(C)=C1)C(C)(C)C	Training	1
169		CC1=CC(=C(O)C(C)=C1CN1C(=O)N(CC2=C(C)C(O)=C(C=C2C)C(C)(C)C)C(=O)N(CC2=C(C)C(O)=C(C=C2C)C(C)(C)C)C1=O)C(C)(C)C	Training	0
170		CC1=CC(C)=C(C(=O)P(=O)(C2=CC=CC=C2)C2=CC=CC=C2)C(C)=C1	Training	0
171		CC1=CC(C)=C(C=C1)N(=O)=O	Training	0
172		CC1=CC(C)=C(NC2=C3C(=O)C4=C(C=CC=C4)C(=O)C3=C(NC3=C(C)C=C(C)C=C3C)C=C2)C(C)=C1	Training	0
173		CC1=CC(C)=NN1	Training	0
174		CC1=CC(CCC(=O)OCCOCCOCCOC(=O)CCC2=CC(C)=C(O)C(=C2)C(C)(C)C)=CC(=C1O)C(C)(C)C	Training	0
175		CC1=CC(N2N=C3C=CC(Cl)=CC3=N2)=C(O)C(=C1)C(C)(C)C	Training	0
176		CC1=CC(NC(=O)C2=C(O)C(\N=N\C3=C(C)C=CC(Cl)=C3)=C3C=CC=CC3=C2)=C(C)C=C1NC(=O)C1=C(O)C(\N=N\C2=C(C)C=CC(Cl)=C2)=C2C=CC=CC2=C1	Training	0
177		CC1=CC(O)=CC(C)=C1	Training	1
178		CC1=CC=C(C=C1)C1=C(C=CC=C1)C#N	Training	0
179		CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1=CC(OS(=O)(=O)C2=CC=C(C)C=C2)=CC=C1	Training	0
180		CC1=CC=C(C=C1)S(=O)(=O)NCCCCCC(O)=O	Test	0
181		CC1=CC=C(C=C1[N+]([O-])=O)S(C)(=O)=O	Training	0
182		CC1=CC=C(Cl)C=C1N	Training	1
183		CC1=CC=C(N=NC2=C(O)C=CC3=CC=CC=C23)C(=C1)N(=O)=O	Training	0
184		CC1=CC=C(NC2=CC(C(O)=O)=C(NC3=CC=C(C)C=C3)C=C2C(O)=O)C=C1	Training	0
185		CC1=CC=CC(C)=C1O	Test	1
186		CC1=CC=CC=C1S(N)(=O)=O	Training	0
187		CC1=CN2[C@H]3O[C@@H](CO)[C@H](O)[C@H]3OC2=NC1=O	Test	0
188		CC1=NN(C(=O)C1)C1=CC=CC(=C1)S(O)(=O)=O	Training	0
189		CC1=NN(C(=O)C1N=NC1=CC=C(C=C1Cl)C1=CC(Cl)=C(C=C1)N=NC1C(C)=NN(C1=O)C1=CC=C(C)C=C1)C1=CC=C(C)C=C1	Training	0
190		CC1C(C=CC=C1C1=CC(=CC=C1)C1(NC(O)=O)C=CC(=NC(=O)CN)C(NC(O)=O)=C1C)=NC(=O)CN	Test	0
191		CC1CC(C)(C)C2=CC(C(C)=O)=C(C)C=C2C1(C)C	Test	1
192		CC1CC(O)CC(C)(C)C1=O	Training	0
193		CC1CC=C(C)C(=O)C1C	Training	0
194		CC1CCC2C(C)(C)C3CC12CC(C(C)=O)=C3C	Training	0
195		CC1CCCCC1	Training	0
196		CC1COC2=CC=CC=C2N1C(=O)C(Cl)Cl	Training	0
197		CC1OC1C	Training	0
198		CC=C(C)C	Training	0
199		CC=CC=CC(O)=O	Training	1
200		CC=CCC#N	Training	0
201		CCC(=O)CC	Training	1
202		CCC(=O)N[C@H]1CCC2=C(C1)SC(N)=N2	Training	0
203		CCC(=O)OC1C=CC2C3CCC(C3)C12	Training	0
204		CCC(=O)OCC(=O)OC(C)C1CCCC(C)(C)C1	Test	0
205		CCC(=O)OCC(C)(C)OC(C)C1CCCC(C)(C)C1	Test	0
206		CCC(C)(C)C1=CC(=C(O)C(=C1)N1N=C2C=CC=CC2=N1)C(C)(C)CC	Test	0
207		CCC(C)(C)O	Training	1
208		CCC(C)(C)OOC(C)(C)CC	Training	0
209		CCC(C)(N=NC(C)(CC)C#N)C#N	Test	0
210		CCC(C)(O)C#C	Training	1
211		CCC(C)=C	Training	0
212		CCC(C)=CCCC(C)=O	Training	0
213		CCC(C)=NO[Si](ON=C(C)CC)(ON=C(C)CC)C=C	Training	1
214		CCC(C)=NO[Si](ON=C(C)CC)(ON=C(C)CC)ON=C(C)CC	Training	1
215		CCC(C)=O	Training	1
216		CCC(C)C1=CC(=CC(=C1O)N(=O)=O)N(=O)=O	Training	1
217		CCC(C)CO	Training	1
218		CCC(C)O	Test	1
219		CCC(CC)=NO	Test	1
220		CCC(CC1=CC=CC=C1)(N(C)C)C(=O)C1=CC=C(C=C1)N1CCOCC1	Training	0
221		CCC(CO)(CO)COCC(CC)(CO)CO	Training	0
222		CCC(CO)(COCC=C)COCC=C	Training	0
223		CCC(Cl)CCC(Cl)C(Cl)CC(Cl)C(Cl)C(Cl)CCl	Training	0
224		CCC1(CO)COCOC1	Test	1
225		CCC1(COC(=O)C=C)COCOC1	Training	0
226		CCC1=CC2=C(C=C1)C(=O)C1=CC=CC=C1C2=O	Training	0
227		CCC1=NC(C)=CN1	Training	1
228		CCC=CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCO	Training	0
229		CCC=O	Training	1
230		CCCC(C)=O	Training	1
231		CCCC(CC)COC(=O)CCC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C	Training	0
232		CCCC(O)CO	Training	1
233		CCCC=O	Training	1
234		CCCCC(CC)C(=O)OC=C	Training	0
235		CCCCC(CC)C(=O)OOC(C)(C)C	Training	0
