no.	cas	SMILES	Status	Experimental
142	72869-86-4	CC(CNC(=O)OCCOC(=O)C(C)=C)CC(C)(C)CCNC(=O)OCCOC(=O)C(C)=C	Training	0
143	18516-18-2	CC(CO)(CO)C=O	Test	0
144	52408-84-1	CC(COC(=O)C=C)OCC(OC(C)COC(=O)C=C)C(OC(C)COC(=O)C=C)OC(C)COC(=O)C=C	Training	1
145	623-84-7	CC(COC(C)=O)OC(C)=O	Training	0
146	21981-33-9	CC(Cl)(Cl)CC(Cl)(Cl)Cl	Training	0
147	27394-99-6	CC(NC=O)C#N	Training	1
148	6358-85-6	CC(O)=C(N=NC1=CC=C(C=C1Cl)C1=CC=C(N=NC(=C(C)O)C(=O)NC2=CC=CC=C2)C(Cl)=C1)C(=O)NC1=CC=CC=C1	Training	0
149	107898-54-4	CC(O)C(C)(C)C=CC1CC=C(C)C1(C)C	Training	0
150	95718-78-8	CC(O)CC(C)(C)OOC(=O)CCCCCC(C)(C)C	Training	0
151	122-20-3	CC(O)CN(CC(C)O)CC(C)O	Training	1
152	20566-35-2	CC(O)COC(=O)C1=C(C(=O)OCCOCCO)C(Br)=C(Br)C(Br)=C1Br	Training	0
153	770-35-4	CC(O)COC1=CC=CC=C1	Training	1
154	25322-69-4	CC(O)COCC(C)OC(C)COCC(C)OC(C)CO	Test	1
155	67124-09-8	CC(O)CSCCCCCCCCC(C)(C)C	Training	0
156	79-92-5	CC1(C)C2CCC(C2)C1=C	Test	1
157	5888-33-5	CC1(C)C2CCC1(C)C(C2)OC(=O)C=C	Training	0
158	4090-51-1	CC1(C)COP(=S)(OP2(=S)OCC(C)(C)CO2)OC1	Training	0
159	6440-58-0	CC1(C)N(CO)C(=O)N(CO)C1=O	Test	1
160	551-16-6	CC1(C)SC2C(N)C(=O)N2C1C(O)=O	Training	1
161	976-70-5	CC12CCC3C(CCC33CCC(=O)O3)C1CCC1=CC(=O)CCC21C	Training	0
162	846-48-0	CC12CCC3C(CCC4=CC(=O)C=CC34C)C1CCC2O	Training	0
163	118-96-7	CC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O	Test	0
164	118-88-7	CC1=C(C=C(N)C=C1)S(O)(=O)=O	Training	1
165	1709-70-2	CC1=C(CC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)C(C)=C(CC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)C(C)=C1CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C	Test	0
166	87-60-5	CC1=C(N)C=CC=C1Cl	Training	0
167	135-61-5	CC1=C(NC(=O)C2=C(O)C=C3C=CC=CC3=C2)C=CC=C1	Test	0
168	1879-09-0	CC1=CC(=C(O)C(C)=C1)C(C)(C)C	Training	1
169	40601-76-1	CC1=CC(=C(O)C(C)=C1CN1C(=O)N(CC2=C(C)C(O)=C(C=C2C)C(C)(C)C)C(=O)N(CC2=C(C)C(O)=C(C=C2C)C(C)(C)C)C1=O)C(C)(C)C	Training	0
170	75980-60-8	CC1=CC(C)=C(C(=O)P(=O)(C2=CC=CC=C2)C2=CC=CC=C2)C(C)=C1	Training	0
171	89-87-2	CC1=CC(C)=C(C=C1)N(=O)=O	Training	0
172	116-75-6	CC1=CC(C)=C(NC2=C3C(=O)C4=C(C=CC=C4)C(=O)C3=C(NC3=C(C)C=C(C)C=C3C)C=C2)C(C)=C1	Training	0
173	67-51-6	CC1=CC(C)=NN1	Training	0
174	36443-68-2	CC1=CC(CCC(=O)OCCOCCOCCOC(=O)CCC2=CC(C)=C(O)C(=C2)C(C)(C)C)=CC(=C1O)C(C)(C)C	Training	0
175	3896-11-5	CC1=CC(N2N=C3C=CC(Cl)=CC3=N2)=C(O)C(=C1)C(C)(C)C	Training	0
176	79665-24-0	CC1=CC(NC(=O)C2=C(O)C(\N=N\C3=C(C)C=CC(Cl)=C3)=C3C=CC=CC3=C2)=C(C)C=C1NC(=O)C1=C(O)C(\N=N\C2=C(C)C=CC(Cl)=C2)=C2C=CC=CC2=C1	Training	0
177	108-68-9	CC1=CC(O)=CC(C)=C1	Training	1
178	114772-53-1	CC1=CC=C(C=C1)C1=C(C=CC=C1)C#N	Training	0
179	232938-43-1	CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1=CC(OS(=O)(=O)C2=CC=C(C)C=C2)=CC=C1	Training	0
180	78521-39-8	CC1=CC=C(C=C1)S(=O)(=O)NCCCCCC(O)=O	Test	0
181	1671-49-4	CC1=CC=C(C=C1[N+]([O-])=O)S(C)(=O)=O	Training	0
182	95-79-4	CC1=CC=C(Cl)C=C1N	Training	1
183	2425-85-6	CC1=CC=C(N=NC2=C(O)C=CC3=CC=CC=C23)C(=C1)N(=O)=O	Training	0
184	10291-28-8	CC1=CC=C(NC2=CC(C(O)=O)=C(NC3=CC=C(C)C=C3)C=C2C(O)=O)C=C1	Training	0
185	576-26-1	CC1=CC=CC(C)=C1O	Test	1
186	88-19-7	CC1=CC=CC=C1S(N)(=O)=O	Training	0
187	433733-92-7	CC1=CN2[C@H]3O[C@@H](CO)[C@H](O)[C@H]3OC2=NC1=O	Test	0
188	119-17-5	CC1=NN(C(=O)C1)C1=CC=CC(=C1)S(O)(=O)=O	Training	0
189	15793-73-4	CC1=NN(C(=O)C1N=NC1=CC=C(C=C1Cl)C1=CC(Cl)=C(C=C1)N=NC1C(C)=NN(C1=O)C1=CC=C(C)C=C1)C1=CC=C(C)C=C1	Training	0
190	207574-76-3	CC1C(C=CC=C1C1=CC(=CC=C1)C1(NC(O)=O)C=CC(=NC(=O)CN)C(NC(O)=O)=C1C)=NC(=O)CN	Test	0
191	21145-77-7	CC1CC(C)(C)C2=CC(C(C)=O)=C(C)C=C2C1(C)C	Test	1
192	60046-50-6	CC1CC(O)CC(C)(C)C1=O	Training	0
193	20030-30-2	CC1CC=C(C)C(=O)C1C	Training	0
194	32388-55-9	CC1CCC2C(C)(C)C3CC12CC(C(C)=O)=C3C	Training	0
195	108-87-2	CC1CCCCC1	Training	0
196	98730-04-2	CC1COC2=CC=CC=C2N1C(=O)C(Cl)Cl	Training	0
197	3266-23-7	CC1OC1C	Training	0
198	513-35-9	CC=C(C)C	Training	0
199	110-44-1	CC=CC=CC(O)=O	Training	1
