id	cas	smiles	status	exp
67		O=C(NC1CCCCC1)N3C(=O)SC(c2ccc(cc2)Cl)C3C	Test	0.8451
68		O=C1NC(=O)C(N1)(C)C	Test	2.4814
69		O=C(O)C(N)CCP(=O)(O)C	Test	2.0086
70		FC(F)(F)c2cc(ccc2(N=C(n1cncc1)COCCC))Cl	Training	0.6128
71		N#Cc1cc(c(OC(=O)CCCCCCC)c(c1)Br)Br	Test	1.1139
72		O=C(OC(C)C)Nc1cccc(c1)Cl	Test	1.8116
73		N#CC(OC(=O)C1C(C=C(C(F)(F)F)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3	Test	0.8195
74		O=C1OC(=NN1c2cc(OC(C)C)c(cc2Cl)Cl)C(C)(C)C	Test	1.3979
75		O=C1c2ccccc2(NS(=O)(=O)N1C(C)C)	Test	1.935
76		O=C(OCC#C)C(Oc2ccc(Oc1ncc(cc1(F))Cl)cc2)C	Test	-0.0362
77		O=C(NN(C(=O)c1ccccc1)C(C)(C)C)c2ccc(cc2)Cl	Test	0.7427
78		O=C(OCC)COc1cc(c(F)cc1Cl)c2nn(c(OC(F)F)c2Cl)C	Test	2.6585
79		O=[N+]([O-])c1ccc(O)cc1C(F)(F)F	Test	2.419
80		N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3ccc(F)c(Oc2ccccc2)c3	Test	1.5899
81		O=C1C(=C(O)CC(C1)C2CCOCC2)C(=NOCC=CCl)CC	Test	2.5832
82		O1CC(OC12(CCC(CC2)C(C)(C)C))CN(CC)CCC	Test	0.9685
83		N(C(=S)S)CCNC(=S)S	Test	1.7853
84		O=S(=O)(NCC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Test	-0.301
85		O=S1OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Test	1.2553
86		Oc1ccccc1c2ccccc2	Test	3.1915
87		n1c(OP(OC)(OC)=S)c(cc(c1Cl)Cl)Cl	Test	2.3979
88		O=S(=O)(Nc1nc2c(OC)cnc(OC)n2(n1))c3c(OCC(F)F)cccc3C(F)(F)F	Training	2.7125
89		O=C(c1cccc(c1)C)N(CC)CC	Training	2
90		O=C(OC)N(OC)c1ccccc1COc2nn(cc2)c3ccc(cc3)Cl	Test	1.0294
91		O=C1C4=C(C(=O)N1c3cc2c(OCC(=O)N2CC#C)cc3(F))CCCC4	Training	2.2938
92		O=C(c2cccc1nnsc12)SC	Test	2.1004
93		OC(c1ccc(cc1)Cl)(Cn2ncnc2)C(C)C3CC3	Test	1.3304
94		O=[N+]([O-])N=C1N(C)COCN1Cc2cnc(Cl)s2	Test	2.5169
95		O=C1C(=C(C=NN1C(C)(C)C)SCc2ccc(cc2)C(C)(C)C)Cl	Training	1.4101
96		OC(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C	Test	2.0792
97		O=C(OC(C(=O)OCC=C)(C)C)c1cc(ccc1Cl)N2C(=O)C=C(N(C2(=O))C)C(F)(F)F	Test	2.386
98		O=C(O)COc1ccc(cc1C)Cl	Test	1.5315
99		O=C(OCC#CI)NCCCC	Test	1.3979
100		O(Cc1ccccc1C)C3CC2(OC3(C)(CC2))C(C)C	Training	1.699
101		N#CC(OC(=O)C1C(C(C(Br)(Br)Br)Br)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	0
102		O(c1ccccc1)c2cccc(c2)COCC(c3ccc(OCC)cc3)(C)C	Test	1.301
103		Fc2c(ncnc2(Oc1ccccc1Cl))Oc4ccccc4(C(=NOC)C3=NOCCO3)	Training	2.2119
104		O=C(O)c2cccnc2(C(=NNC(=O)Nc1cc(F)cc(F)c1)C)	Test	3.1801
105		O=C(Nc1ccc(O)c(c1Cl)Cl)C2(C)(CCCCC2)	Training	3.0538
106		N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3	Test	1.7459
107		O=[N+]([O-])c1cc(c(c(c1(NC(CC)CC))[N+](=O)[O-])C)C	Training	1.5933
108		n1ccn(c1)CC(OCC=C)c2ccc(cc2Cl)Cl	Training	1.316
109		O=C(NC)C(CC)(CCC)CCC	Test	0.4771
110		O=C3N(Nc1ccccc1)C(=NC3(c2ccccc2)C)SC	Training	0.8075
111		FC(F)C(F)(F)OCC(c1ccc(cc1Cl)Cl)Cn2ncnc2	Training	0.6128
112		O=C4OC(c2ccc(Oc1ccccc1)cc2)(C(=O)N4(Nc3ccccc3))C	Training	0.6274
113		Fc1cccc(F)c1C3=NC(c2ccc(cc2(OCC))C(C)(C)C)CO3	Training	2.4777
