no.	CAS	SMILES	Status	Experimental
205	64-04-0	NCCc1ccccc1	Training	1.41
206	64-10-8	O=C(N)Nc1ccccc1	Training	0.83
207	64-13-1	O(c1ccc(cc1)CC(N)C)C	Training	1.77
208	64-17-5	OCC	Training	-0.31
209	64-18-6	O=CO	Training	-0.54
210	64-19-7	O=C(O)C	Training	-0.17
211	64-39-1	O=C(OC2(c1ccccc1)(CC(N(C)CC2(C))C))CC	Training	3.13
212	64-77-7	O=C(NCCCC)NS(=O)(=O)c1ccc(cc1)C	Training	2.34
213	64-85-7	O=C4C=C3CCC1C(CCC2(C)(C(C(=O)CO)CCC12))C3(C)CC4	Training	2.88
214	64-86-8	O=C1C=C3C(=CC=C1(OC))c2c(OC)c(OC)c(OC)cc2CCC3(NC(=O)C)	Training	1.3
215	65-23-6	Oc1c(ncc(c1CO)CO)C	Training	-0.77
216	65-45-2	O=C(N)c1ccccc1(O)	Training	1.28
217	65-46-3	O=C1N=C(N)C=CN1C2OC(CO)C(O)C2(O)	Training	-2.51
218	65-49-6	O=C(O)c1ccc(N)cc1(O)	Training	0.89
219	65-85-0	O=C(O)c1ccccc1	Training	1.87
220	66-25-1	O=CCCCCC	Training	1.78
221	66-28-4	O=CC45(CCC(O)CC5(O)(CCC2C4(CCC3(C)(C(C1=CC(=O)OC1)CCC23(O)))))	Training	0.64
222	66-71-7	n2cccc3ccc1cccnc1c23	Training	1.78
223	66-79-5	O=C(O)C4N3C(=O)C(NC(=O)c1c(noc1C)c2ccccc2)C3SC4(C)(C)	Training	2.38
224	66-81-9	O=C1NC(=O)CC(C1)CC(O)C2C(=O)C(C)CC(C)C2	Training	0.55
225	66-97-7	O=C1Oc2cc3occc3(cc2(C=C1))	Training	1.67
226	67-20-9	O=C2NC(=O)CN2(N=Cc1oc(cc1)[N+](=O)[O-])	Training	-0.47
227	67-51-6	n1[nH]c(cc1C)C	Training	1.01
228	67-52-7	O=C1NC(=O)CC(=O)N1	Training	-1.47
229	67-56-1	OC	Training	-0.77
230	67-63-0	OC(C)C	Training	0.05
231	67-64-1	O=C(C)C	Training	-0.24
232	67-66-3	C(Cl)(Cl)Cl	Training	1.97
233	67-68-5	O=S(C)C	Training	-1.35
234	67-71-0	O=S(=O)(C)C	Training	-1.41
235	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	4.14
236	67-73-2	O=C1C=CC4(C(=C1)C(F)CC3C5CC2OC(OC2(C(=O)CO)C5(C)(CC(O)C34(F)))(C)C)(C)	Training	2.48
237	67-78-7	O=C(OCC(=O)C3(O)(C(OC(=O)C)CC2C4CCC1=CC(=O)C=CC1(C)C4(F)(C(O)CC23(C))))C	Training	1.92
238	68-11-1	O=C(O)CS	Training	0.09
239	68-12-2	O=CN(C)C	Training	-1.01
240	68-22-4	O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C#C))))C3CC4	Training	2.97
241	68-26-8	OCC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C	Training	5.68
242	68-35-9	O=S(=O)(Nc1ncccn1)c2ccc(N)cc2	Training	-0.09
243	68-36-0	c1cc(ccc1C(Cl)(Cl)Cl)C(Cl)(Cl)Cl	Training	4.62
244	68-76-8	O=C1C=C(C(=O)C(=C1N2CC2)N3CC3)N4CC4	Training	-0.13
245	68-96-2	O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C(=O)C))))C3(C)CC4	Training	3.17
246	69-23-8	FC(F)(F)c1ccc3c(c1)N(c2ccccc2S3)CCCN4CCN(CCO)CC4	Training	4.36
247	69-33-0	OCC3OC(n2ccc1c(ncnc12)N)C(O)C3(O)	Training	-0.8
248	69-53-4	O=C(O)C3N2C(=O)C(NC(=O)C(N)c1ccccc1)C2SC3(C)(C)	Training	0.11
249	69-72-7	O=C(O)c1ccccc1(O)	Training	2.26
250	70-00-8	O=C1NC(=O)N(C=C1C(F)(F)F)C2OC(CO)C(O)C2	Training	-0.46
251	70-11-1	O=C(c1ccccc1)CBr	Training	2.19
252	70-26-8	O=C(O)C(N)CCCN	Training	-4.22
253	70-30-4	Oc1c(cc(c(c1Cc2c(O)c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl	Training	7.54
254	70-47-3	O=C(O)C(N)CC(=O)N	Training	-3.82
255	70-55-3	O=S(=O)(N)c1ccc(cc1)C	Training	0.82
256	70-70-2	O=C(c1ccc(O)cc1)CC	Training	2.03
257	71-00-1	O=C(O)C(N)Cc1nc[nH]c1	Training	-3.32
258	71-23-8	OCCC	Training	0.25
259	71-33-0	O=C1N=CNC(=O)N1	Training	-1.87
260	71-36-3	OCCCC	Training	0.88
261	71-41-0	OCCCCC	Training	1.51
262	71-43-2	c1ccccc1	Training	2.13
263	71-55-6	CC(Cl)(Cl)Cl	Training	2.49
264	71-63-6	O=C1OCC(=C1)C6CCC7(O)(C8CCC5CC(OC4OC(C)C(OC3OC(C)C(OC2OC(C)C(O)C(O)C2)C(O)C3)C(O)C4)CCC5(C)C8(CCC67(C)))	Training	1.85
265	72-14-0	O=S(=O)(Nc1nccs1)c2ccc(N)cc2	Training	0.05
266	72-18-4	O=C(O)C(N)C(C)C	Training	-2.26
267	72-19-5	O=C(O)C(N)C(O)C	Training	-2.94
268	72-43-5	O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C	Training	5.08
269	72-54-8	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)Cl)Cl	Training	6.02
270	72-55-9	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	Training	6.51
271	73-24-5	n1cnc2[nH]cnc2(c1N)	Training	-0.07
272	73-32-5	O=C(O)C(N)C(C)CC	Training	-1.7
273	73-48-3	O=S(=O)(N)c1cc2c(cc1C(F)(F)F)NC(NS2(=O)(=O))Cc3ccccc3	Training	1.89
274	74-11-3	O=C(O)c1ccc(cc1)Cl	Training	2.65
275	74-82-8	C	Training	1.09
276	74-84-0	CC	Training	1.81
277	74-85-1	C=C	Training	1.13
278	74-86-2	C#C	Training	0.37
279	74-87-3	CCl	Training	0.91
280	74-88-4	CI	Training	1.51
281	74-89-5	NC	Training	-0.57
282	74-90-8	N#C	Training	-0.25
283	74-95-3	C(Br)Br	Training	1.7
284	74-96-4	CCBr	Training	1.61
285	74-97-5	C(Cl)Br	Training	1.41
286	74-98-6	CCC	Training	2.36
