ID	CAS	SMILES	STATUS	EXP_VALUE
167	N.A.	CCCCCCC(O)CO	TRAINING	0
168	N.A.	CC(O)CO	TRAINING	0
169	N.A.	CCCCCCCCCCCCCCCCCC(=O)OCCO	TRAINING	0
170	N.A.	BrCC(Br)c1ccccc1	TRAINING	0
171	N.A.	O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1	TRAINING	0
172	N.A.	COc1c(Br)cc(Br)c(C)c1Br	TRAINING	1
173	N.A.	Clc1cc(Cl)cc(Cl)c1	TRAINING	0
174	N.A.	COc1cc(OC)cc(OC)c1	TRAINING	0
175	N.A.	CN1CN(C)CN(C)C1	TRAINING	0
176	N.A.	N#CCCCC(C#N)CCC#N	TRAINING	0
177	N.A.	N#Cc1cccc(C#N)c1	TRAINING	0
178	N.A.	O=C(O)c1cccc(C(=O)O)c1	TRAINING	0
179	N.A.	O=C(O)c1ccc(OCCCOc2ccc(C(=O)O)cc2)cc1	TRAINING	0
180	N.A.	CC(O)CCO	TRAINING	0
181	N.A.	O=C1CCCC(=O)C1	TRAINING	0
182	N.A.	Cc1ccccc1N=C(N)Nc1ccccc1C	TRAINING	0
183	N.A.	CC(Cl)=CCCl	TRAINING	0
184	N.A.	OC(CCl)CCl	TRAINING	0
185	N.A.	Clc1cc(Cl)c2c(c1)N=C1CCCCCN1C2	TRAINING	0
186	N.A.	ClC=CCCl	TRAINING	0
187	N.A.	O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1	TRAINING	0
188	N.A.	N=C1N=C(N)c2cc3ccccc3cc21	TRAINING	1
189	N.A.	COc1cccc(OC)c1	TRAINING	0
190	N.A.	Cc1cccc(C)c1[N+](=O)[O-]	TRAINING	0
191	N.A.	Cc1ccc([N+](=O)[O-])c(C)c1	TRAINING	0
192	N.A.	Cc1cc(C)cc([N+](=O)[O-])c1	TRAINING	0
193	N.A.	Cn1cc[n+](C)c1	TRAINING	0
194	N.A.	O=[N+]([O-])c1cccc([N+](=O)[O-])c1	TRAINING	0
195	N.A.	O=[N+]([O-])c1cc([N+](=O)[O-])c2ccccc2c1	TRAINING	1
196	N.A.	OCC1(CO)COCOC1	TRAINING	0
197	N.A.	O=C1OCCO1	TRAINING	0
198	N.A.	N=C(Nc1ccccc1)Nc1ccccc1	TRAINING	1
199	N.A.	O=C(Nc1ccccc1)Nc1ccccc1	TRAINING	1
200	N.A.	CC(C)NC(=O)NC(C)C	TRAINING	0
201	N.A.	Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1	TRAINING	0
202	N.A.	OCCCO	TRAINING	0
203	N.A.	Nc1ccc(C(=O)OCCCOC(=O)c2ccc(N)cc2)cc1	TRAINING	0
204	N.A.	CC(C)(O)c1ccc(C(C)(C)O)cc1	TRAINING	0
205	N.A.	CC(C)=Nc1ccc(NC(C)C)c2c(O)c3ccccc3c(O)c12	TRAINING	1
206	N.A.	CCCC=Nc1ccc(NCCCC)c2c(O)c3ccccc3c(O)c12	TRAINING	0
207	N.A.	COCc1ccc(COC)cc1	TRAINING	0
208	N.A.	ClC(Cl)(Cl)c1ccc(C(Cl)(Cl)Cl)cc1	TRAINING	0
209	N.A.	OCCCCO	TRAINING	0
210	N.A.	C=CC(=O)OCCCCOC(=O)C=C	TRAINING	0
211	N.A.	C(CCOCC1CO1)COCC1CO1	TRAINING	0
212	N.A.	O=C(O)C1CCC(C(=O)O)CC1	TRAINING	0
213	N.A.	OCC1CCC(CO)CC1	TRAINING	0
214	N.A.	CC(=O)c1ccc(C(C)=O)cc1	TRAINING	0
215	N.A.	Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O	TRAINING	1
216	N.A.	BrCCCCBr	TRAINING	0
217	N.A.	O=[N+]([O-])c1cc(Cl)ccc1Cl	TRAINING	0
218	N.A.	Cc1ccc(C)c([N+](=O)[O-])c1	TRAINING	0
219	N.A.	CN(C)c1ccc(C=Cc2ccc([N+](=O)[O-])cc2)cc1	TRAINING	0
220	N.A.	O=[N+]([O-])c1ccc([N+](=O)[O-])cc1	TRAINING	0
221	N.A.	O=C1CCCCCCCCCCCC(=O)OCCO1	TRAINING	0
222	N.A.	O=C1CCCCCCCCCCC(=O)OCCO1	TRAINING	0
223	N.A.	C1COCCO1	TRAINING	0
224	N.A.	OC1OCCOC1O	TRAINING	0
225	N.A.	C1CSCCS1	TRAINING	0
226	N.A.	OCCN1CCN(CCO)CC1	TRAINING	0
227	N.A.	O=C(C=Cc1ccc(O)c(O)c1)OC1CC(OC(=O)C=Cc2ccc(O)c(O)c2)(C(=O)O)CC(O)C1O	TRAINING	0
228	N.A.	Oc1cccc2c(O)cccc12	TRAINING	0
229	N.A.	O=C=Nc1cccc2c(N=C=O)cccc12	TRAINING	0
230	N.A.	Nc1cccc2c(N)cccc12	TRAINING	1
231	N.A.	O=S(=O)(O)c1cccc2c(S(=O)(=O)O)cccc12	TRAINING	0
232	N.A.	OCCCCCO	TRAINING	0
233	N.A.	N=C(N=C(N)NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1	TRAINING	1
234	N.A.	BrCCCCCCBr	TRAINING	0
235	N.A.	OCCCCCCO	TRAINING	0
