ID	CAS	SMILES	Status	LC50 exp [-log(mol/l)]
236	96182-53-5	CCOP(=S)(OC(C)C)OC1=CN=C(N=C1)C(C)(C)C	Training	11.45
237	34014-18-1	CNC(=O)N(C)C1=NN=C(S1)C(C)(C)C	Training	2.86
238	3383-96-8	COP(=S)(OC)OC1=CC=C(SC2=CC=C(OP(=S)(OC)OC)C=C2)C=C1	Training	12.76
239	5902-51-2	CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C	Training	3.66
240	13071-79-9	CCOP(=S)(OCC)SCSC(C)(C)C	Training	10.63
241	5915-41-3	CCNC1=NC(NC(C)(C)C)=NC(Cl)=N1	Training	4.33
244	117718-60-2	COC(=O)C1=C(N=C(C(C2=NCCS2)=C1CC(C)C)C(F)(F)F)C(F)F	Training	5.31
245	28249-77-6	CCN(CC)C(=O)SCC1=CC=C(Cl)C=C1	Test	7.36
248	66841-25-6	CC1(C)[C@@H](C(Br)C(Br)(Br)Br)[C@H]1C(=O)O[C@H](C#N)C1=CC(OC2=CC=CC=C2)=CC=C1	Training	12.25
254	7673-09-8	ClNC1=NC(NCl)=NC(NCl)=N1	Training	5.92
256	55335-06-3	OC(=O)COC1=NC(Cl)=C(Cl)C=C1Cl	Training	3.37
257	3380-34-5	OC1=CC(Cl)=CC=C1OC1=C(Cl)C=C(Cl)C=C1	Training	6.67
258	58138-08-2	ClC1=CC(=CC(Cl)=C1)C1(CC(Cl)(Cl)Cl)CO1	Training	6.98
262	2686-99-9	CNC(=O)OC1=CC(C)=CC(C)=C1C	Training	8.15
263	126-11-4	OCC(CO)(CO)[N+]([O-])=O	Training	3.36
269	79-09-4	CCC(O)=O	Training	3.65
271	7779-27-3	CCN1CN(CC)CN(CC)C1	Test	4.34
272	26532-25-2	CC1(C)CCC\C(C1)=C/C=O	Training	4.93
273	85264-33-1	CC1=NN(CO)C(C)=C1	Training	3.77
274	643-79-8	O=CC1=CC=CC=C1C=O	Test	7.05
275	94-11-1	CC(C)OC(=O)COC1=C(Cl)C=C(Cl)C=C1	Training	5.57
276	3547-33-9	CCCCCCCCSCCO	Training	6.47
278	1192-52-5	ClC1=C(Cl)C(=O)SS1	Training	8.41
279	135158-54-2	CSC(=O)C1=C2SN=NC2=CC=C1	Training	5.38
280	131860-33-8	CO\C=C(\C(=O)OC)C1=C(OC2=NC=NC(OC3=C(C=CC=C3)C#N)=C2)C=CC=C1	Training	7.08
285	149877-41-8	COC1=CC=C(C=C1NNC(=O)OC(C)C)C1=CC=CC=C1	Training	6.55
286	82657-04-3	CC1=C(C=CC=C1COC(=O)C1C(\C=C(/Cl)C(F)(F)F)C1(C)C)C1=CC=CC=C1	Training	9.93
288	2665-13-6	CC(CCOB1OCCC(C)O1)OB1OCCC(C)O1	Training	2.48
289	56073-10-0	OC1=C(C2CC(CC3=C2C=CC=C3)C2=CC=C(C=C2)C2=CC=C(Br)C=C2)C(=O)OC2=C1C=CC=C2	Test	6.49
290	7166-19-0	[O-][N+](=O)C(\Br)=C/C1=CC=CC=C1	Training	8.09
297	7173-51-5	CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	Training	8.5
300	35367-38-5	FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=CC=C(Cl)C=C1	Training	9.29
302	55290-64-7	CC1=C(C)S(=O)(=O)CCS1(=O)=O	Training	4.27
303	122-39-4	N(C1=CC=CC=C1)C1=CC=CC=C1	Training	5.75
304	136-45-8	CCCOC(=O)C1=CN=C(C=C1)C(=O)OCCC	Training	4.47
305	29873-30-1	CCCCCCCCCCSCCN	Training	7.92
306	91-53-2	CCOC1=CC2=C(NC(C)(C)C=C2C)C=C1	Training	5.61
307	2593-15-9	CCOC1=NC(=NS1)C(Cl)(Cl)Cl	Training	5.17
308	114369-43-6	ClC1=CC=C(CCC(CN2C=NC=N2)(C#N)C2=CC=CC=C2)C=C1	Training	5.77
310	134098-61-6	CN1N=C(C)C(\C=N\OCC2=CC=C(C=C2)C(=O)OC(C)(C)C)=C1OC1=CC=CC=C1	Training	9.48
311	79622-59-6	[O-][N+](=O)C1=C(NC2=NC=C(C=C2Cl)C(F)(F)F)C(=C(Cl)C(=C1)C(F)(F)F)[N+]([O-])=O	Training	7.36
315	103361-09-7	FC1=C(C=C2N(CC#C)C(=O)COC2=C1)N1C(=O)C2=C(CCCC2)C1=O	Training	5.31
317	35554-44-0	ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC=C	Training	5.52
318	143390-89-0	CO\N=C(\C(=O)OC)C1=C(COC2=C(C)C=CC=C2)C=CC=C1	Training	6.81
319	91465-08-6	CC1(C)[C@@H](\C=C(/Cl)C(F)(F)F)[C@H]1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1	Training	11.04
320	556-61-6	CN=C=S	Training	6.99
321	112-12-9	CCCCCCCCCC(C)=O	Training	6.2
322	113-48-4	CCCCC(CC)CN1C(=O)C2C3CC(C=C3)C2C1=O	Test	5.66
323	91-20-3	C1=CC2=CC=CC=C2C=C1	Training	5.43
328	59-50-7	CC1=CC(O)=CC=C1Cl	Training	5.29
329	82-68-8	[O-][N+](=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl	Training	6.3
330	23103-98-2	CN(C)C(=O)OC1=NC(=NC(C)=C1C)N(C)C	Test	8.83
331	29232-93-7	CCN(CC)C1=NC(C)=CC(OP(=S)(OC)OC)=N1	Training	10.88
332	112-80-1	CCCCCCCC\C=C/CCCCCCCC(O)=O	Training	6.52
333	23031-36-9	C\C(C)=C\[C@H]1[C@H](C(=O)OC2CC(=O)C(CC#C)=C2C)C1(C)C	Training	9
334	96489-71-3	CC(C)(C)N1N=CC(SCC2=CC=C(C=C2)C(C)(C)C)=C(Cl)C1=O	Training	10.47
337	57-24-9	[H][C@]12C[C@@]3([H])C4=CCOC5CC(=O)N6C([C@@]35[H])[C@]1(CCN2C4)C1=CC=CC=C61	Training	4.94
338	107534-96-3	CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1	Training	5.42
339	79538-32-2	CC1=C(F)C(F)=C(COC(=O)C2C(\C=C(/Cl)C(F)(F)F)C2(C)C)C(F)=C1F	Training	11.67
340	59669-26-0	CSC(C)=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC	Training	8.27
342	141517-21-7	CO\N=C(\C(=O)OC)C1=C(CO\N=C(/C)C2=CC=CC(=C2)C(F)(F)F)C=CC=C1	Training	8.38
345	1702-17-6	OC(=O)C1=C(Cl)C=CC(Cl)=N1	Training	3.06
346	2782-57-2	ClN1C(=O)NC(=O)N(Cl)C1=O	Training	7.22
347	34375-28-5	OCCNCO	Test	3.72
348	25168-26-7	CC(C)CCCCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1	Training	8.43
349	94-82-6	OC(=O)CCCOC1=C(Cl)C=C(Cl)C=C1	Training	4.28
350	3337-71-1	COC(=O)NS(=O)(=O)C1=CC=C(N)C=C1	Training	4.19
351	86-50-0	COP(=S)(OC)SCN1N=NC2=C(C=CC=C2)C1=O	Training	9.98
352	28772-56-7	OC(CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O)C1=CC=C(C=C1)C1=CC=C(Br)C=C1	Training	6.09
353	63333-35-7	CN(C1=C(Br)C=C(Br)C=C1Br)C1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)C(F)(F)F	Training	9.99
354	16079-88-2	CC1(C)N(Br)C(=O)N(Cl)C1=O	Training	6.21
355	56634-95-8	CCCCCCC(=O)OC1=C(Br)C=C(C=C1Br)C#N	Training	8.24
356	2425-06-1	ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O	Training	5.57
357	10605-21-7	COC(=O)NC1=NC2=C(N1)C=CC=C2	Training	6.5
358	7003-89-6	C[N+](C)(C)CCCl	Training	4.25
359	1897-45-6	ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl	Training	7.58
360	64902-72-3	COC1=NC(NC(=O)NS(=O)(=O)C2=CC=CC=C2Cl)=NC(C)=N1	Training	2.97
361	56-72-4	CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2	Test	11.03
362	21725-46-2	CCNC1=NC(NC(C)(C)C#N)=NC(Cl)=N1	Training	3.88
363	113136-77-9	OC(=O)C1(CC1)C(=O)NC1=C(Cl)C=C(Cl)C=C1	Training	5.23
364	Molecule 207	CC(C1CC1)C(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1	Training	4.34
365	112-30-1	CCCCCCCCCCO	Training	4.78
366	333-41-5	CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C	Training	10.03
368	1918-00-9	COC1=C(Cl)C=CC(Cl)=C1C(O)=O	Training	3.38
369	51338-27-3	COC(=O)C(C)OC1=CC=C(OC2=C(Cl)C=C(Cl)C=C2)C=C1	Training	7.05
370	957-51-7	CN(C)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1	Training	3.79
371	115-29-7	ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl	Training	7.33
372	145-73-3	OC(=O)C1C2CCC(O2)C1C(O)=O	Training	3.97
373	16672-87-0	OP(O)(=O)CCCl	Training	3.84
374	80844-07-1	CCOC1=CC=C(C=C1)C(C)(C)COCC1=CC=CC(OC2=CC=CC=C2)=C1	Test	10.44
375	13194-48-4	CCCSP(=O)(OCC)SCCC	Training	7.37
376	22224-92-6	CCOP(=O)(NC(C)C)OC1=CC(C)=C(SC)C=C1	Training	9.65
377	122-14-5	COP(=S)(OC)OC1=CC(C)=C(C=C1)[N+]([O-])=O	Training	8.63
378	33245-39-5	CCCN(CCCl)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O	Training	6.58
379	98967-40-9	CC1=NC2=NC(=NN2C=C1)S(=O)(=O)NC1=C(F)C=CC=C1F	Test	3.14
380	2164-17-2	CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F	Training	4.75
381	72178-02-0	CS(=O)(=O)NC(=O)C1=C(C=CC(OC2=C(Cl)C=C(C=C2)C(F)(F)F)=C1)[N+]([O-])=O	Training	3.22
382	51276-47-2	CP(O)(=O)CCC(N)C(O)=O	Training	2.32
383	112226-61-6	CC(C)(C)N(NC(=O)C1=CC=C(Cl)C=C1)C(=O)C1=CC=CC=C1	Test	5.51
384	86479-06-3	FC(F)C(F)(F)OC1=C(Cl)C=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1Cl	Test	11.47
385	51235-04-2	CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C	Training	3.28
386	10004-44-1	CC1=CC(=O)NO1	Training	3.65
387	133-32-4	OC(=O)CCCC1=CNC2=C1C=CC=C2	Training	3.7
389	42588-37-4	CC(C)CCCC(C)C\C=C\C(C)=C\C(=O)OCC#C	Training	7.4
390	123-33-1	O=C1NNC(=O)C=C1	Training	3.03
391	2032-65-7	CNC(=O)OC1=CC(C)=C(SC)C(C)=C1	Test	8.2
392	40596-69-8	COC(C)(C)CCCC(C)C\C=C\C(C)=C\C(=O)OC(C)C	Training	6.25
393	161050-58-4	COC1=CC=CC(C(=O)NN(C(=O)C2=CC(C)=CC(C)=C2)C(C)(C)C)=C1C	Training	5.56
394	74-83-9	CBr	Training	4.99
