Id	CAS 	SMILES	SET	 ave log1/LC50(mmol/L) 
214	000106-63-8	O=C(OCC(C)C)C=C	Test	1.789
215	000097-88-1	O=C(OCCCC)C(=C)C	Training	1.405
216	002499-95-8	O=C(OCCCCCC)C=C	Training	2.150
217	000688-84-6	O=C(OCC(CCCC)CC)C(=C)C	Training	1.850
218	000352-87-4	O=C(OCC(F)(F)F)C(=C)C	Training	1.307
219	003066-71-5	O=C(OC(CCCC1)C1)C=C	Training	2.019
220	000818-61-1	O=C(OCCO)C=C	Training	1.316
221	000868-77-9	O=C(OCCO)C(=C)C	Test	-0.242
222	000999-61-1	O=C(OCC(O)C)C=C	Training	1.580
223	002370-63-0	O=C(OCCOCC)C(=C)C	Training	0.757
224	000105-75-9	O=C(OCCCC)C=CC(=O)OCCCC	Test	2.686
225	013048-33-4	O=C(OCCCCCCOC(=O)C=C)C=C	Training	2.775
226	002867-47-2	O=C(OCCN(C)C)C(=C)C	Test	0.918
227	002439-35-2	O=C(OCCN(C)C)C=C	Test	1.226
228	002455-24-5	O=C(OCC(OCC1)C1)C(=C)C	Training	0.691
229	003006-82-4	O=C(OOC(C)(C)C)C(CCCC)CC	Training	1.672
230	000137-40-6	CCC(=O)O	Test	-1.698
231	000142-62-1	O=C(O)CCCCC	Test	-0.440
232	000088-09-5	O=C(O)C(CC)CC	Test	0.136
233	000111-14-8	O=C(O)CCCCCC	Training	0.239
234	000112-05-0	O=C(O)CCCCCCCC	Training	0.182
235	000143-07-7	O=C(O)CCCCCCCCCCC	Test	1.603
236	000144-62-7	O=C(O)C(=O)O	Test	0.523
237	000124-04-9	O=C(O)CCCCC(=O)O	Training	0.178
238	000079-10-7	O=C(O)C=C	Training	0.065
239	005536-61-8	OC(=O)C(=C)C	Test	0.115
240	000110-44-1	O=C(O)C=CC=CC	Training	0.175
241	000079-11-8	O=C(O)CCl	Test	0.118
242	000079-14-1	O=C(O)CO	Training	-0.011
243	000298-12-4	O=CC(=O)O	Test	0.257
244	000060-00-4	O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O	Training	0.597
245	000075-04-7	NCC	Test	-0.700
246	000107-10-8	NCCC	Training	-0.719
247	000109-73-9	NCCCC	Test	-0.562
248	033966-50-6	CCC(N)C	Training	-0.575
249	005813-64-9	CC(C)(C)CN	Training	-0.738
250	000110-58-7	NCCCCC	Training	-0.309
251	000598-74-3	NC(C)C(C)C	Training	-0.512
252	000111-26-2	NCCCCCC	Test	0.251
253	015673-00-4	CC(C)(C)CCN	Test	-0.780
254	000111-68-2	NCCCCCCC	Test	0.722
255	000107-45-9	NC(CC(C)(C)C)(C)C	Training	0.720
256	000111-86-4	NCCCCCCCC	Training	1.398
257	000693-16-3	NC(CCCCCC)C	Training	1.402
258	000112-20-9	NCCCCCCCCC	Training	1.821
259	002016-57-1	NCCCCCCCCCC	Test	2.182
260	007307-55-3	CCCCCCCCCCCN	Test	2.911
261	000124-22-1	NCCCCCCCCCCCC	Test	3.263
262	002869-34-3	NCCCCCCCCCCCCC	Training	3.472
263	000108-91-8	NC(CCCC1)C1	Training	0.478
264	006864-37-5	NC(C(CC(C1)CC(CCC(N)C2C)C2)C)C1	Test	1.035
265	000080-52-4	NC(C(CCC(N)(C1)C)C1)(C)C	Training	0.416
266	000768-94-5	C(N)(CC(CC1CC23)C2)(C1)C3	Training	0.781
267	000109-85-3	O(CCN)C	Test	-0.842
268	000109-89-7	N(CC)CC	Training	-0.346
269	000143-16-8	N(CCCCCC)CCCCCC	Training	2.376
270	052829-07-9	O=C(OC(CC(NC1(C)C)(C)C)C1)CCCCCCCCC(=O)OC(CC(NC2(C)C)(C)C)C2	Training	1.958
271	000101-83-7	N(C(CCCC1)C1)C(CCCC2)C2	Training	1.179
272	000141-91-3	O(C(CNC1)C)C1C	Test	-0.526
273	000121-44-8	N(CC)(CC)CC	Test	0.625
274	000102-69-2	N(CCC)(CCC)CCC	Training	0.449
275	000124-28-7	N(CCCCCCCCCCCCCCCCCC)(C)C	Test	3.576
276	000091-65-6	N(C(CCCC1)C1)(CC)CC	Training	0.861
277	007250-67-1	N1(CCCl)CCCC1	Test	0.046
278	006921-29-5	C#CCN(CC#C)CC#C	Test	-0.352
279	006948-86-3	CCOC(CN(C)CC(OCC)OCC)OCC	Training	-0.382
280	000105-14-6	CCN(CC)CCCC(C)=O	Test	-0.330
281	022104-62-7	O=C(C(C)CN(C)C)C	Training	1.182
282	005407-04-5	ClCCCN(C)C	Training	0.075
283	000057-09-0	CCCCCCCCCCCCCCCCN(Br)(C)(C)C	Training	3.114
284	000141-43-5	OCCN	Test	-1.193
285	000078-96-6	OC(CN)C	Training	-1.523
286	000110-73-6	OCCNCC	Test	1.220
287	000111-42-2	OCCNCCO	Training	-2.650
288	000102-81-8	OCCN(CCCC)CCCC	Training	0.776
289	000100-37-8	OCCN(CC)CC	Training	-1.181
290	000096-80-0	OCCN(C(C)C)C(C)C	Training	-0.141
291	000102-71-6	OCCN(CCO)CCO	Training	-1.898
292	000622-40-2	O(CCN(C1)CCO)C1	Training	-1.318
293	000107-15-3	NCCN	Training	-0.564
294	000109-76-2	NCCCN	Test	-1.210
295	000078-90-0	NCC(N)C	Test	-1.132
296	000124-09-4	NCCCCCCN	Test	0.214
297	000109-07-9	N(CCNC1C)C1	Training	-1.350
298	000109-01-3	N(CCNC1)(C1)C	Training	-1.361
299	000140-31-8	N(CCNC1)(C1)CCN	Test	-1.229
300	000103-76-4	OCCN(CCNC1)C1	Test	-1.692
301	004067-16-7	N(CCNCCNCCNCCN)CCN	Test	0.044
302	003030-47-5	N(CCN(C)C)(CCN(C)C)C	Training	0.197
303	007209-38-3	N(CCN(C1)CCCN)(C1)CCCN	Training	-1.190
304	000280-57-9	C(CN(C1)C2)N(C1)C2	Training	-1.188
305	000100-97-0	N13CN2CN(CN(C1)C2)C3	Test	-2.551
306	000076-06-2	[O-][N+](=O)C(Cl)(Cl)Cl	Training	4.216
307	000075-05-8	C(#N)C	Training	1.602
308	000107-12-0	C(#N)CC	Training	-1.441
309	002243-27-8	N#CCCCCCCCC	Training	1.435
310	002437-25-4	N#CCCCCCCCCCCC	Training	2.476
311	000107-14-2	N#CCCl	Test	1.748
312	000545-06-2	C(#N)C(Cl)(Cl)Cl	Test	3.302
313	000109-75-1	N#CCC=C	Training	-0.433
314	000109-77-3	C(#N)CC(#N)	Training	2.072
315	000111-69-3	C(#N)CCCCC(#N)	Training	-1.251
316	000629-40-3	N#CCCCCCCC#N	Test	-0.600
317	000107-13-1	C(#N)C=C	Training	1.017
318	001855-63-6	C1(C#N)=CCCCC1	Training	0.417
319	000406-86-0	N#CC=CC(F)(F)F	Training	2.782
320	000920-37-6	N#CC(=C)Cl	Training	3.018
321	001118-61-2	N#CC=C(N)C	Training	0.684
322	000764-42-1	N#CC=CC#N	Training	2.336
323	000068-12-2	O=CN(C)C	Test	-2.161
324	000761-65-9	O=CN(CCCC)CCCC	Test	0.248
325	000683-72-7	O=C(N)C(Cl)Cl	Training	-0.273
326	000947-04-6	O=C(NCCCCCCCCCC1)C1	Training	0.555
327	000093-83-4	O=C(N(CCO)CCO)CCCCCCCC=CCCCCCCCC	Training	2.392
328	016669-59-3	O=C(NCOCC(C)C)C=C	Test	0.418
329	000868-63-3	O=C(NC(O)C(O)NC(=O)C=C)C=C	Training	0.260
330	000110-26-9	O=C(NCNC(=O)C=C)C=C	Training	-0.192
331	000060-34-4	N(N)C	Test	2.084
332	000057-14-7	N(N)(C)C	Test	0.882
