Id	CAS 	SMILES	SET	 ave log1/LC50(mmol/L) 
792	000932-16-1	O=C(C(N(C=C1)C)=C1)C	Training	-0.108
793	000693-93-6	Cc1cocn1	Test	-1.222
794	020662-84-4	O(C(=N1)C)C(=C1C)C	Training	-0.610
795	000693-98-1	N(C=CN1)=C1C	Training	-0.541
796	002034-22-2	BrC1=NC(Br)=C(Br)N1	Training	1.640
797	000674-82-8	O=C(OC1=C)C1	Training	0.980
798	040220-08-4	O=C1N(CCOC(=O)C=C)C(=O)N(C(=O)N1CCOC(=O)C=C)CCOC(=O)C=C	Training	1.794
799	000314-40-9	N1C(=O)N(C(C)CC)C(=O)C(Br)=C1C	Training	0.149
800	000077-71-4	O=C(NC(C1=O)(C)C)N1	Training	-2.109
801	000057-43-2	CCC1(CCC(C)C)C(=O)NC(=O)NC1=O	Training	0.423
802	005217-47-0	O=C(N(C(N(C1=O)CC)=S)CC)C1	Test	-1.353
803	000309-43-3	C1(=O)NC(=O)NC(=O)C1(C(CCC)C)CC=C	Test	1.043
804	000071-73-8	C1(=O)N=C(S)NC(=O)C1(C(CCC)C)CC	Training	1.004
805	006165-51-1	c(cccc1)(c1)C(c(c(ccc2C)C)c2)C	Training	2.832
806	000901-44-0	O(c(ccc(c1)C(c(ccc(OCCO)c2)c2)(C)C)c1)CCO	Training	1.178
807	000115-32-3	OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl	Test	2.954
808	003923-52-2	c1ccccc1C(C#C)(O)c1ccccc1	Test	1.273
809	000101-84-8	O(c(cccc1)c1)c(cccc2)c2	Test	1.742
810	000103-50-4	O(Cc(cccc1)c1)Cc(cccc2)c2	Test	1.465
811	068972-96-3	c1ccccc1COCC=CCOCc2ccccc2	Training	1.766
812	000080-43-3	O(OC(c(cccc1)c1)(C)C)C(c(cccc2)c2)(C)C	Training	2.760
813	000330-93-8	Fc2ccc(Oc1ccc(F)cc1)cc2	Test	2.250
814	013826-35-2	O(c(cccc1CO)c1)c(cccc2)c2	Training	1.722
815	000067-36-7	O=Cc2ccc(Oc1ccccc1)cc2	Training	1.632
816	069770-23-6	CC(C)(C)c2ccc(Oc1cccc(C=O)c1)cc2	Test	2.839
817	079124-76-8	Clc2ccc(Oc1cccc(C=O)c1)cc2Cl	Training	2.950
818	000119-61-9	O=C(c(cccc1)c1)c(cccc2)c2	Test	1.080
819	000620-92-8	Oc(ccc(c1)Cc(ccc(O)c2)c2)c1	Training	1.188
820	000599-64-4	Oc(ccc(c1)C(c(cccc2)c2)(C)C)c1	Test	2.248
821	000080-05-7	Oc(ccc(c1)C(c(ccc(O)c2)c2)(C)C)c1	Training	1.578
822	006807-17-6	CC(c1ccc(cc1)O)(c2ccc(cc2)O)CC(C)C	Test	2.001
823	000070-30-4	Oc(c(c(c(c1)Cl)Cl)Cc(c(c(cc2Cl)Cl)Cl)c2O)c1Cl	Test	4.289
824	000097-23-4	Oc(c(cc(c1)Cl)Cc(c(O)ccc2Cl)c2)c1	Test	2.940
825	000079-95-8	Oc(c(cc(c1)C(c(cc(c(O)c2Cl)Cl)c2)(C)C)Cl)c1Cl	Training	2.440
826	000079-94-7	Oc(c(cc(c1)C(c(cc(c(O)c2Br)Br)c2)(C)C)Br)c1Br	Training	1.772
827	000101-77-9	Nc(ccc(c1)Cc(ccc(N)c2)c2)c1	Test	0.975
828	000101-14-4	Nc(c(cc(c1)Cc(ccc(N)c2Cl)c2)Cl)c1	Test	2.641
829	000831-82-3	O(c(ccc(O)c1)c1)c(cccc2)c2	Training	1.579
830	001965-09-9	O(c(ccc(O)c1)c1)c(ccc(O)c2)c2	Test	1.588
831	003380-34-5	O(c(c(O)cc(c1)Cl)c1)c(c(cc(c2)Cl)Cl)c2	Training	2.636
832	001484-26-0	Nc2cccc(Oc1ccccc1)c2	Training	1.340
833	000620-88-2	c1ccccc1Oc2ccc([N+](=O)[O-])cc2	Test	1.910
834	039145-47-6	[O-][N+](=O)c1c(Oc2c(Cl)cccc2)cccc1	Training	2.112
835	000131-57-7	O=C(c(cccc1)c1)c(c(O)cc(OC)c2)c2	Training	1.779
836	031127-54-5	Oc1c(O)c(O)c(C(=O)c2ccc(O)cc2)cc1	Training	0.835
837	002894-51-1	Nc1ccccc1C(=O)c2ccc(Cl)cc2	Training	2.040
838	000118-55-8	O=C(Oc(cccc1)c1)c(c(O)ccc2)c2	Test	2.259
839	000133-11-9	Oc1cc(N)ccc1C(=O)Oc2ccccc2	Training	1.744
840	000122-39-4	N(c(cccc1)c1)c(cccc2)c2	Training	1.530
841	000620-93-9	Cc1ccc(cc1)Nc2ccc(cc2)C	Training	2.662
842	000793-24-8	N(c(ccc(Nc(cccc1)c1)c2)c2)C(CC(C)C)C	Test	3.966
843	000087-17-2	O=C(Nc(cccc1)c1)c(c(O)ccc2)c2	Test	1.731
844	000086-30-6	O=NN(c(cccc1)c1)c(cccc2)c2	Test	1.297
845	000097-39-2	N=C(Nc(c(ccc1)C)c1)Nc(c(ccc2)C)c2	Test	1.100
846	000102-06-7	N=C(Nc(cccc1)c1)Nc(cccc2)c2	Training	1.094
847	000607-00-1	O=CN(c(cccc1)c1)c(cccc2)c2	Training	0.843
848	002465-27-2	CN(C)c1ccc(cc1)C(=N)c2ccc(cc2)N(C)C	Training	1.649
849	001689-82-3	Oc(ccc(N=Nc(cccc1)c1)c2)c2	Training	2.235
850	000060-09-3	N(=Nc(cccc1)c1)c(ccc(N)c2)c2	Test	2.751
851	000782-74-1	N(Nc(c(ccc1)Cl)c1)c(c(ccc2)Cl)c2	Training	3.403
852	000122-66-7	N(Nc(cccc1)c1)c(cccc2)c2	Training	3.632
853	000882-33-7	S(Sc(cccc1)c1)c(cccc2)c2	Test	3.440
854	000945-51-7	O=S(c(cccc1)c1)c(cccc2)c2	Training	0.363
855	000621-08-9	O=S(Cc(cccc1)c1)Cc(cccc2)c2	Training	0.460
856	002104-64-5	CCOP(=S)(Oc1ccc(cc1)N(=O)=O)c2ccccc2	Training	3.614
857	014548-46-0	O=C(c(cccc1)c1)c(ccnc2)c2	Training	0.250
858	014548-45-9	Brc1ccc(cc1)C(=O)c2cccnc2	Training	1.110
859	001151-97-9	[O-][N+](=O)c(ccc(c1[N+](=O)[O-])Cc(nccc2)c2)c1	Test	1.052
860	004916-57-8	C(Cc1ccncc1)c2ccncc2	Test	0.088
861	002232-08-8	Cc1ccc(cc1)S(=O)(=O)n2ccnc2	Training	0.726
862	000092-52-4	c(c(cccc1)c1)(cccc2)c2	Test	1.597
863	005707-44-8	CCc2ccc(cc2)c1ccccc1	Test	2.483
864	000092-69-3	Oc(ccc(c(cccc1)c1)c2)c2	Test	1.700
865	000092-88-6	Oc(ccc(c(ccc(O)c1)c1)c2)c2	Training	1.156
866	000090-43-7	Oc(c(c(cccc1)c1)ccc2)c2	Test	1.601
867	000119-93-7	Nc(c(cc(c(ccc(N)c1C)c1)c2)C)c2	Training	1.213
868	000091-94-1	Nc(c(cc(c(ccc(N)c1Cl)c1)c2)Cl)c2	Training	2.696
869	000939-23-1	n(ccc(c1)c(cccc2)c2)c1	Test	0.982
870	000096-09-3	O(C1c(cccc2)c2)C1	Training	1.135
871	030171-80-3	Brc2c(c(cc(c2)OCC1OC1)C)Br	Training	2.394
872	000050-06-6	CCC1(C(=O)NC(=O)NC1(=O))c2ccccc2	Training	-0.319
873	000827-43-0	N(C(=CN1)C)=C1c(cccc2)c2	Test	0.546
874	002759-28-6	C1CN(CCN1)Cc2ccccc2	Training	0.570
875	000091-20-3	c(c(ccc1)ccc2)(c1)c2	Training	1.320
876	000091-57-6	c(c(ccc1C)ccc2)(c2)c1	Training	1.874
877	000090-12-0	c(c(c(cc1)C)ccc2)(c2)c1	Training	1.397
878	000573-98-8	Cc2ccc1ccccc1c2C	Test	1.832
879	000575-41-7	Cc2cc(C)c1ccccc1c2	Training	1.938
880	000582-16-1	c(cc(ccc1C)c2c1)c(c2)C	Training	1.938
881	029253-36-9	CC(c1cccc2c1cccc2)C	Test	2.362
882	000090-13-1	c(c(c(cc1)Cl)ccc2)(c2)c1	Training	1.981
883	000085-01-8	c(c(c(c(c1)ccc2)c2)ccc3)(c1)c3	Training	2.105
884	000129-00-0	c(c(c(cc1)ccc2)c2cc3)(c1ccc4)c34	Training	2.306
885	000083-32-9	c(c(ccc1)ccc2)(c1CC3)c23	Training	1.950
886	000090-15-3	Oc(c(c(ccc1)cc2)c1)c2	Training	1.496
887	000135-19-3	Oc(ccc(c1ccc2)c2)c1	Test	1.557
888	101836-92-4	c1cc2c(O)c([N+](=O)[O-])cc([N+](=O)[O-])c2cc1	Test	1.838
889	000091-59-8	c(c(ccc1N)ccc2)(c2)c1	Training	1.565
890	002243-62-1	Nc1cccc2c(N)cccc12	Test	0.969
891	000479-27-6	c(c(c(N)cc1)c(N)cc2)(c1)c2	Test	1.451
892	000063-25-2	O=C(Oc(c(c(ccc1)cc2)c1)c2)NC	Training	1.353
893	000091-22-5	n(c(c(ccc1)cc2)c1)c2	Training	0.418
894	000148-24-3	n(c(c(ccc1)cc2)c1O)c2	Training	1.764
895	000091-53-2	O(c(ccc(NC(C=C1C)(C)C)c12)c2)CC	Test	1.511
896	000085-41-6	O=C(NC(=O)c1cccc2)c12	Training	0.168
897	005394-18-3	c12C(=O)N(CCCCBr)C(=O)c1cccc2	Training	1.658
898	022509-74-6	O=C(OCC)N(C(=O)c(c1ccc2)c2)C1=O	Training	2.195
899	000089-40-7	O=C(NC(=O)c1ccc([N+](=O)[O-])c2)c12	Training	1.242
900	000095-31-8	N(c(c(S1)ccc2)c2)=C1SNC(C)(C)C	Test	2.231
901	005331-91-9	S(C(S)=N1)c(ccc2Cl)c1c2	Training	1.799
902	000095-16-9	c1ccc2ncsc2c1	Training	0.540
903	000095-33-0	N(c(c(S1)ccc2)c2)=C1SNC(CCCC3)C3	Training	2.100
904	000095-32-9	O(CCN(SSC(=Nc(c1ccc2)c2)S1)C3)C3	Test	2.764
905	000496-16-2	O(c(c(ccc1)C2)c1)C2	Test	0.169
906	000271-89-6	c1ccc2ccoc2c1	Training	0.928
907	022720-75-8	c12SC(C(=O)C)=Cc1cccc2	Training	1.246
908	000094-62-2	O=C(N(CCCC1)C1)C=CC=Cc(ccc(OCO2)c23)c3	Training	1.561
909	000083-34-1	c1ccc2c(C)cnc2c1	Test	1.171
910	000058-27-5	c1cc2C(=O)C=C(C)C(=O)c2cc1	Training	3.193
911	000117-80-6	c1ccc2C(=O)C(Cl)=C(Cl)C(=O)c2c1	Training	3.865
912	000058-08-2	CN1C(=O)N(C)c2ncn(C)c2C1(=O)	Test	0.109
913	000086-50-0	S=P(OC)(OC)SCN1N=Nc2ccccc2C1(=O)	Test	3.695
914	000716-79-0	N(c(c(N1)ccc2)c2)=C1c(cccc3)c3	Training	1.354
915	000525-82-6	c1ccc2C(=O)C=C(c3ccccc3)Oc2c1	Training	1.802
916	000090-30-2	N(c(c(c(ccc1)cc2)c1)c2)c(cccc3)c3	Test	2.496
917	000066-76-2	O=C1Oc2ccccc2C(O)=C1CC3=C(O)c4ccccc4OC3=O	Test	1.818
918	000092-06-8	c(c(cccc1)c1)(cccc2c(cccc3)c3)c2	Training	1.871
919	000084-15-1	c(c(c(cccc1)c1)ccc2)(c(cccc3)c3)c2	Test	3.283
920	002479-46-1	Nc2ccc(cc2)Oc3cc(ccc3)Oc1ccc(cc1)N	Training	2.187
921	003558-69-8	c1ccc(cc1)c2cccc(n2)c3ccccc3	Test	3.041
922	000084-62-8	O=C(Oc(cccc1)c1)c(c(ccc2)C(=O)Oc(cccc3)c3)c2	Test	3.000
923	051630-58-1	CC(C)C(C(=O)OC(C#N)c2cccc(Oc1ccccc1)c2)c3ccc(Cl)cc3	Training	4.916
924	070124-77-5	CC(C)C(C(=O)OC(C#N)c2cccc(Oc1ccccc1)c2)c3ccc(OC(F)F)cc3	Training	6.376
925	000843-55-0	Oc(ccc(c1)C(CCC(c(ccc(O)c2)c2)C3)C3)c1	Test	2.173
926	052645-53-1	CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc3cccc(Oc2ccccc2)c3	Test	4.388
927	010453-86-8	CC(C)=CC3C(C(=O)OCc2coc(Cc1ccccc1)c2)C3(C)C	Training	4.740
928	000569-64-2	CN(C)c1ccc(cc1)C(=C2C=CC(C=C2)=N(Cl)(C)C)c3ccccc3	Training	3.416
929	000115-86-6	O=P(Oc(cccc1)c1)(Oc(cccc2)c2)Oc(cccc3)c3	Training	2.487
930	001330-78-5	O=P(Oc1ccccc1C)(Oc2ccccc2C)Oc3ccccc3C	Training	2.642
931	025155-23-1	O=P(Oc1(c(C)cc(C)cc1))(Oc2(cc(C)cc(C)c2))Oc3(c(C)c(C)ccc3)	Training	1.383
932	000791-28-6	O=P(c(cccc1)c1)(c(cccc2)c2)c(cccc3)c3	Training	0.713
933	000132-64-9	o(c(c(c1cccc2)ccc3)c3)c12	Test	1.959
934	001484-13-5	N(c(c(c1cccc2)ccc3)c3)(c12)C=C	Test	4.780
935	000132-65-0	s(c(c(c1cccc2)ccc3)c3)c12	Training	2.119
936	000514-10-3	O=C(O)C(C(C(C(C(=C1)C=C(C2)C(C)C)C2)(CC3)C)C1)(C3)C	Training	2.104
937	000471-77-2	C(C(CC1)=C(C)C)=C(CCC2C(C3)(C(=O)O)C)C1C2(CC3)C	Test	2.248
938	005835-26-7	CC3(CCC1C(=CCC2C1(C)CCCC2(C)C(=O)(O))C3)C=C	Training	2.541
939	001740-19-8	O=C(O)C(C(C(c(c(cc(c1)C(C)C)C2)c1)(CC3)C)C2)(C3)C	Test	2.156
940	000083-79-4	COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C	Training	4.943
941	000060-41-3	O=C1(CC2OCC=C3CN4CCC56C4CC3C2C5N1C7=CC=CC=C67)	Training	2.839
942	000597-64-8	CC[Sn](CC)(CC)CC	Training	4.330
943	001461-25-2	CCCC[Sn](CCCC)(CCCC)CCCC	Training	3.885
944	000123-46-6	NNC(=O)CN(C)(C)(C)	Training	-2.025
945	069723-94-0	C1C(=CC=C[N+]=1CC2C=CC=CC=2)S(=O)(=O)[O-]	Training	-0.985
946	000683-10-3	O=C(O)CN(CCCCCCCCCCCC)(C)C	Training	2.390
