no.	cas	SMILES	Status	Experimental
251	134-62-3	O=C(c1cccc(c1)C)N(CC)CC	Training	0
252	1405-10-3	OCC4OC(OC2C(O)C(N)CC(N)C2(OC1OC(CN)C(O)C(O)C1(N)))C(O)C4(OC3OC(CN)C(O)C(O)C3(N))	Training	0
253	124-12-9	N#CCCCCCCC	Training	0
254	108-95-2	Oc1ccccc1	Training	0
255	122-99-6	OCCOc1ccccc1	Training	0
256	123-11-5	O=Cc1ccc(OC)cc1	Training	0
257	515-03-7	OC(C=C)(C)CCC1C(O)(C)CCC2C(C)(C)CCCC12(C)	Training	0
258	35192-74-6	O=S(=O)(O)CCCCCCCCC	Training	0
259	110-15-6	O=C(O)CCC(=O)O	Training	0
260	9005-65-6	O=C(OCCOCC1(OCCOC)(OCC(OCCOC)C1(OCCOC)))CCCCCCCC=CCCCCCCCC	Training	0
261	15128-82-2	O=[N+]([O-])c1ncccc1(O)	Training	0
262	619-14-7	O=C(O)c1ccc(c(O)c1)[N+](=O)[O-]	Training	0
263	8001-54-5	c1ccc(cc1)[N+](C)(C)CCCCCCCCCCCCCC	Training	0
264	555-16-8	O=Cc1ccc(cc1)[N+](=O)[O-]	Training	0
265	514-10-3	O=C(O)C2(C)(CCCC3(C)(C1C(C=C(CC1)C(C)C)=CCC23))	Test	1
266	140-67-0	O(c1ccc(cc1)CC=C)C	Test	1
267	552-30-7	O=C(O)c1ccc2C(=O)OC(=O)c2(c1)	Test	1
268	2634-33-5	O=C1NSc2ccccc12	Test	1
269	122-57-6	O=C(C=Cc1ccccc1)C	Test	1
270	112-82-3	CCCCCCCCCCCCCCCCBr	Test	1
271	431-03-8	O=C(C(=O)C)C	Test	1
272	26172-55-4	O=C1C=C(Cl)SN1C	Test	1
273	104-54-1	OCC=Cc1ccccc1	Test	1
274	23593-75-1	n1ccn(c1)C(c2ccccc2)(c3ccccc3)c4ccccc4Cl	Test	1
275	111-40-0	NCCNCCN	Test	1
276	141-05-9	O=C(OCC)C=CC(=O)OCC	Test	1
277	2785-87-7	Oc1ccc(cc1(OC))CCC	Test	1
278	111-30-8	O=CCCCC=O	Test	1
279	101-86-0	O=CC(=Cc1ccccc1)CCCCCC	Test	1
280	111-80-8	O=C(C#CCCCCCC)OC	Test	1
281	2277-19-2	O=CCCCCC=CCC	Test	1
282	93-99-2	O=C(Oc1ccccc1)c2ccccc2	Test	1
283	108-45-2	Nc1cccc(N)c1	Test	1
284	57-57-8	O=C1OCC1	Test	1
285	100-43-6	n1ccc(C=C)cc1	Test	1
286	1628499	O=[N+]([O-])c1cc(N)c(O)c(c1)Cl	Test	1
287	154750-20-6	O=C1OC(C)(C)CC1CBr	Test	1
288	176665-02-4	O=C1OC(=NC1(C)C)CCCCCC	Test	1
289	1081180	CCCCCCCCCCCCCCCCCl	Test	1
290	167998-76-7	O=C(c1cc(ccc1CC)CC)CC(=O)C	Test	1
291	4282-42-2	CCCCCCCCCI	Test	1
292	19218-94-1	CCCCCCCCCCCCCCI	Test	1
293	2374-65-4	O=S(=O)(OC)CCCCCCCCCCCC	Test	1
294	186743-29-3	Oc1ccc(C=CC)c(c1(OC))C	Test	1
295	35709-09-2	O=S(=O)(OCCCCCCCCC=CCCCCCCCC)C	Test	1
296	13557-75-0	O=C(O)C(OC(=O)C(OC(=O)CCCCCCCCCCC)C)C	Test	1
297	6668-24-2	O=C(c1ccccc1)C(C(=O)C)C	Test	1
298	167998-73-4	O=C(c1cc(c(c(c1C)C)C)C)CC(=O)C	Test	1
299	488-17-5	Oc1cccc(c1(O))C	Test	1
300	21834-92-4	O=CC(=CCC(C)C)c1ccccc1	Test	1
301	20048-27-5	N(c1ccc(N)cc1)=C3C=C(N)C(=Nc2ccc(N)cc2)C=C3(N)	Test	1
302	871465-49-5	O1C(C=CC1(CCC)C(C)(C)C)C	Test	1
303	127-65-1	O=S(=O)(NCl)c1ccc(cc1)C	Test	1
304	111-12-6	O=C(C#CCCCCC)OC	Test	1
305	80-62-6	O=C(OC)C(=C)C	Test	1
306	112-05-0	O=C(O)CCCCCCCC	Test	1
307	2892-51-5	O=C1C(=O)C(O)=C1(O)	Test	1
308	5231-87-8	O=C1C(=O)C(OCC)=C1(OCC)	Test	1
309	10191-41-0	Oc2c(c(c1OC(C)(CCc1c2C)CCCC(C)CCCC(C)CCCC(C)C)C)C	Test	1
310	1594-56-5	N#CSc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]	Test	1
311	67-63-0	OC(C)C	Test	0
312	81-07-2	O=C1NS(=O)(=O)c2ccccc12	Test	0
313	69-72-7	O=C(O)c1ccccc1(O)	Test	0
314	121-57-3	O=S(=O)(O)c1ccc(N)cc1	Test	0
315	121-33-5	O=Cc1ccc(O)c(OC)c1	Test	0
316	111-46-6	OCCOCCO	Test	0
317	696-71-9	OC1CCCCCCC1	Test	0
318	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Test	0
319	18479-58-8	OC(C)(C)CCCC(C=C)C	Test	0
320	1459-93-4	O=C(OC)c1cccc(c1)C(=O)OC	Test	0
321	105-95-3	O=C1OCCOC(=O)CCCCCCCCCCC1	Test	0
