id	cas	smiles	status	exp
110		O=C3N(Nc1ccccc1)C(=NC3(c2ccccc2)C)SC	Training	1.5167
111		FC(F)C(F)(F)OCC(c1ccc(cc1Cl)Cl)Cn2ncnc2	Training	1.3784
112		O=C4OC(c2ccc(Oc1ccccc1)cc2)(C(=O)N4(Nc3ccccc3))C	Training	1.2201
113		Fc1cccc(F)c1C3=NC(c2ccc(cc2(OCC))C(C)(C)C)CO3	Training	2.4777
114		O=C2N(C(=O)C3C1C=CC(C1)C23)CC(CC)CCCC	Test	2.415
115		O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])S(=O)(=O)N	Training	2.4414
116		O=C(NCc1ccc(cc1)C(C)(C)C)c2c(c(nn2C)CC)Cl	Test	1.4624
117		N#CC(OC(=O)C(Nc1ccc(cc1Cl)C(F)(F)F)C(C)C)c3cccc(Oc2ccccc2)c3	Test	1.699
118		O=[N+]([O-])c1cc(c(N)c(c1)Cl)Cl	Training	2.1761
119		O=C1c3ccccc3(C(=O)c2c1c(N)c(cc2Br)Br)	Test	2.1761
120		O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F	Test	2.5933
121		N#Cc1nn(c(N)c1C(F)(F)F)c2c(cc(cc2Cl)C(F)(F)F)Cl	Test	0.3224
122		Oc1ccc(N)cc1(N)	Test	2.301
123		n1cnn(c1)CC2(OCC(O2)C)c4ccc(Oc3ccc(cc3)Cl)cc4Cl	Test	1
124		O=C2NN=C(C)CN2(N=Cc1cnccc1)	Test	2.5563
125		O=C(OC1C(=C(C(=O)C1)CC=C)C)C2C(C=C(C)C)C2(C)(C)	Training	2.7736
126		n1c(nc(nc1Cl)Cl)Nc2ccccc2Cl	Training	2.7782
127		O=C(O)c3c(Oc1nc(OC)cc(n1)OC)cccc3(Oc2nc(OC)cc(n2)OC)	Training	2.8597
128		n1c(nc(cc1C)C2CC2)Nc3ccccc3	Test	2.7292
129		O=[N+]([O-])c1cc(cc(c1(NC(C)CC))[N+](=O)[O-])C(C)(C)C	Test	1.699
130		O=C(Nc2ccccc2(c1ccc(cc1)Cl))c3cccnc3Cl	Test	3.0233
131		O=P(OC=C(Cl)Cl)(OC)OC	Test	1.1761
132		O=S(=O)(Oc1ccc2OC(OCC)C(c2(c1))(C)C)C	Training	3.2788
133		O=C(Oc1cccc(c1)NC(=O)OCC)Nc2ccccc2	Test	2.3802
134		O=C1N(N=C(N1C(F)F)C)c2cc(NS(=O)(=O)C)c(cc2Cl)Cl	Test	2.6067
135		O=S(=O)(NCCSP(OC(C)C)(OC(C)C)=S)c1ccccc1	Test	2
